MSG yamo-carry-regen-transit-idle-harvest-rust;PICK 0 BANANA;MOVE 2 4 7
MOVE 0 0 5;MOVE 2 3 7
PLANT 0 BANANA;MOVE 2 3 6
WAIT;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
MOVE 0 1 5;CHOP 2
DROP 0;CHOP 2
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
