MSG yamo-carry-regen-transit-idle-harvest-rust;MOVE 0 0 2;DROP 2
MOVE 0 0 3;MOVE 2 0 0
MOVE 0 0 4;MOVE 2 0 1
MOVE 0 0 5;MOVE 2 0 2
MOVE 0 1 5;MOVE 2 1 2
MOVE 0 2 5;MOVE 2 2 2
CHOP 0;MOVE 2 2 1
CHOP 0;MOVE 2 3 1
CHOP 0;MOVE 2 3 0
CHOP 0;MOVE 2 4 0
CHOP 0;MOVE 2 5 0
CHOP 0;MOVE 2 6 0
CHOP 0;MOVE 2 7 0
CHOP 0;MOVE 2 8 0
CHOP 0;MOVE 2 9 0
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
MOVE 0 1 5;CHOP 2
MOVE 0 1 4;CHOP 2
MOVE 0 1 3;CHOP 2
MOVE 0 1 2;CHOP 2
DROP 0;CHOP 2
MOVE 0 1 3;CHOP 2
MOVE 0 1 4;CHOP 2
MOVE 0 1 5;CHOP 2
MOVE 0 2 5;CHOP 2
MOVE 0 3 5;MOVE 2 8 0
MOVE 0 4 5;MOVE 2 7 0
MOVE 0 5 5;MOVE 2 6 0
MOVE 0 6 5;MOVE 2 5 0
MOVE 0 7 5;MOVE 2 4 0
CHOP 0;MOVE 2 3 0
CHOP 0;MOVE 2 3 1
CHOP 0;MOVE 2 2 1
CHOP 0;DROP 2
WAIT;MOVE 2 2 2
WAIT;MOVE 2 2 3
WAIT;MOVE 2 2 4
WAIT;MOVE 2 2 5
WAIT;MOVE 2 3 5
WAIT;MOVE 2 4 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
WAIT;MOVE 2 6 5
WAIT;MOVE 2 5 5
