seed,preferred_flip_label,default_species,flip_species,delta_dist_sum,primary_ridge_oof_score,primary_ridge_oof_pred,nested_top1_oof_score,nested_top1_oof_pred,nested_rule_oof_pred,default_is_lemon,delta_bank,delta_count,delta_health_sum,delta_fruits_sum,delta_eta_health,delta_eta_fruits,delta_eta_newfr50,delta_water_adj_count
0,0,PLUM,LEMON,2,0.791056109025,1,0.338140858586,1,0,0,4,0,-4,-4,2.70476190476,-0.05,0.764285714286,2
1,0,LEMON,PLUM,20,-0.230960333364,0,-0.389018183512,0,0,1,3,2,28,0,12.7725490196,0,3.00147058824,0
2,0,PLUM,LEMON,20,-0.52898191161,0,-0.389018183512,0,0,0,4,2,36,10,3.5637254902,1.25,-0.988970588235,4
3,1,PLUM,LEMON,14,-0.149476305165,0,-0.194741439682,0,0,0,2,2,32,2,9.71428571429,0.4,1.74285714286,2
4,0,PLUM,LEMON,6,0.131535728892,1,0.162322389719,1,0,0,5,2,32,6,17.5670995671,3.27272727273,1.0380952381,0
5,0,LEMON,PLUM,30,-0.859566270995,0,-0.76843875169,0,0,1,8,4,36,4,6.61666666667,0.425,1.75,2
6,0,LEMON,PLUM,20,-0.378759897047,0,-0.389018183512,0,0,1,4,2,32,6,17.0538011696,0.916666666667,3.22456140351,0
7,0,PLUM,LEMON,2,0.623028108397,1,0.338140858586,1,0,0,-6,0,0,0,1.1,0.0916666666667,0.183333333333,0
8,1,PLUM,LEMON,24,-0.493679481175,0,-0.603664174388,0,0,0,-4,4,44,0,11.3076923077,0,2.625,2
9,0,LEMON,PLUM,20,-0.394779478741,0,-0.389018183512,0,0,1,2,2,24,0,1.69090909091,-0.109090909091,0.531818181818,0
10,0,LEMON,PLUM,22,-0.583039034275,0,-0.464173483973,0,0,1,7,2,20,4,2.3080155139,0.369505494505,0.336910148675,2
11,0,LEMON,PLUM,16,-0.593892513472,0,-0.237586375203,0,0,1,-1,2,20,8,7.55952380952,2.3869047619,-0.619047619048,0
12,0,PLUM,LEMON,10,-0.333947872116,0,-0.00294902337479,0,0,0,-3,2,24,10,-3.2,3.86666666667,-4.66666666667,0
13,0,LEMON,PLUM,18,-0.518774481785,0,-0.313592073456,0,0,1,-1,4,32,6,8.54945054945,1.25,1.70357142857,0
14,0,LEMON,PLUM,16,-0.446220698746,0,-0.237586375203,0,0,1,0,2,40,4,5.70127323657,0.45,-0.0501718869366,0
15,1,PLUM,LEMON,28,-0.664722200009,0,-0.788093728128,0,0,0,-8,4,32,0,2.74358974359,-0.480769230769,1.8,2
16,1,PLUM,LEMON,14,0.0861365339185,1,-0.194741439682,0,0,0,-3,2,4,-4,0.312087912088,-0.888888888889,1.7648962149,-2
17,1,LEMON,PLUM,6,0.10358319469,1,0.102269369434,1,1,1,1,0,-16,-2,-3.0427960928,-0.225,0.389102564103,0
18,1,LEMON,PLUM,4,0.0682974006385,1,0.174921259546,1,1,1,2,0,8,0,4.34884559885,0,0.826893939394,0
19,1,LEMON,PLUM,16,-0.356561406982,0,-0.272095922561,0,0,1,5,2,16,-2,13.1267470146,0.816217013121,2.66636259767,2
20,1,LEMON,PLUM,6,-0.00511375460791,0,0.102269369434,1,1,1,-4,0,-20,-2,-12.8813852814,-1.09090909091,-1.39848484848,0
21,0,PLUM,LEMON,24,-0.347000709676,0,-0.539369082678,0,0,0,-2,2,12,4,0.742567958357,0.667143821091,0.0184981684982,2
22,0,LEMON,PLUM,28,-0.418440778479,0,-0.691164088592,0,0,1,-7,4,28,-2,5.03113553114,-0.285714285714,2.26648351648,-2
23,0,LEMON,PLUM,34,-0.646672305781,0,-0.927590452272,0,0,1,-4,4,32,-2,6.2367965368,-0.444444444444,2.54990981241,0
24,0,PLUM,LEMON,20,0.935730055892,1,-0.389018183512,0,0,0,-1,0,0,-8,-14.2614718615,-5.01818181818,1.28138528139,0
25,1,LEMON,PLUM,0,0.296601608529,1,0.320408631578,1,1,1,-1,2,20,-6,5.74675324675,-0.545454545455,2.15357142857,0
26,1,PLUM,LEMON,14,-0.052981318103,0,-0.194741439682,0,0,0,2,2,16,-2,-5.10476190476,-1.11111111111,0.434920634921,0
27,0,LEMON,PLUM,2,0.431506057859,1,0.338140858586,1,1,1,1,0,4,-4,-0.5,-0.958333333333,0.708333333333,0
28,1,LEMON,PLUM,16,-0.601528705105,0,-0.272095922561,0,0,1,6,2,8,-2,-7.08250572956,-0.795836516425,-0.403361344538,-2
29,0,LEMON,PLUM,2,0.180452899017,1,0.338140858586,1,1,1,3,0,-12,0,-8.81121427592,0,-2.70392646569,0
30,0,LEMON,PLUM,20,-0.355323745276,0,-0.389018183512,0,0,1,-1,2,24,0,3.12905982906,0,0.906730769231,0
31,0,PLUM,LEMON,38,-1.09823612342,0,-1.09571927173,0,0,0,5,4,52,8,6.47340372046,0.893715434892,0.696857717446,0
32,1,LEMON,PLUM,0,0.287616651013,1,0.320408631578,1,1,1,-2,0,-12,-2,-1.63333333333,-0.291666666667,0.35,0
33,0,PLUM,LEMON,32,-0.610996252315,0,-0.847115124854,0,0,0,3,4,48,2,10.6269230769,0.658653846154,1.99807692308,2
34,1,PLUM,LEMON,12,-0.54527635579,0,-0.118932600414,0,0,0,-3,2,28,8,6.16282051282,1.50769230769,-0.0711538461538,4
35,0,LEMON,PLUM,8,0.190230725897,1,0.078566518715,1,1,1,3,0,-8,-2,-5.10353535354,-0.718614718615,-0.216991341991,2
36,0,LEMON,PLUM,16,-0.166345544578,0,-0.237586375203,0,0,1,-4,2,12,0,3.91226551227,0.234920634921,1.30447330447,0
37,1,PLUM,LEMON,4,-0.379235613079,0,0.174921259546,1,0,0,2,0,4,10,-0.607670760612,1.06397058824,-1.32005494505,-2
38,0,PLUM,LEMON,16,-0.197461901346,0,-0.237586375203,0,0,0,0,2,28,4,0.358441558442,0.15,-0.122727272727,0
39,1,PLUM,LEMON,2,0.599581894825,1,0.247531036036,1,0,0,-6,0,-12,-6,-10.8369408369,-2.41991341991,0.159090909091,-2
40,0,LEMON,PLUM,24,-0.695471257334,0,-0.539369082678,0,0,1,-1,2,24,6,-0.133333333333,0.202777777778,-0.236111111111,0
41,0,LEMON,PLUM,12,-0.356689687842,0,-0.0825870824751,0,0,1,1,4,56,6,14.2326673327,1.66666666667,1.67171994672,-2
42,1,LEMON,PLUM,18,-0.893760259847,0,-0.351316782256,0,0,1,1,2,44,8,7.38848308554,1.09838396897,0.198141564318,2
43,1,PLUM,LEMON,18,-0.55068856456,0,-0.351316782256,0,0,0,5,2,36,6,5.42380952381,1.10615079365,-0.0251984126984,0
44,0,PLUM,LEMON,20,-0.686528800087,0,-0.389018183512,0,0,0,4,4,48,10,17.5168831169,4.11428571429,0.187012987013,0
45,1,LEMON,PLUM,8,0.171688819328,1,0.0292742434483,1,1,1,3,2,0,-6,5.72380952381,-0.55,3.9619047619,2
46,0,LEMON,PLUM,16,-0.142056354569,0,-0.237586375203,0,0,1,-3,2,12,0,-2.11147186147,-0.902867965368,0.75,2
47,0,LEMON,PLUM,10,-0.116003276197,0,-0.00294902337479,0,0,1,-2,2,24,2,5.31948051948,0.285714285714,1.04415584416,0
48,0,PLUM,LEMON,16,0.119265035419,1,-0.237586375203,0,0,0,0,2,16,0,-1.19047619048,-1.25,1.42857142857,2
49,0,LEMON,PLUM,16,-0.388669362852,0,-0.237586375203,0,0,1,5,2,12,4,1.18837828838,0.40404040404,0.259088134088,2
50,1,LEMON,PLUM,8,-0.00257227959045,0,0.0292742434483,1,1,1,2,0,-4,-2,-2.55,-0.4,-0.125,0
51,0,PLUM,LEMON,4,0.315133561303,1,0.248707069403,1,0,0,0,2,20,2,5.99761904762,0.59126984127,1.09563492063,0
52,1,LEMON,PLUM,4,0.112536752614,1,0.174921259546,1,1,1,1,0,-8,0,0.766666666667,0,0.754166666667,0
53,0,LEMON,PLUM,40,-1.20634783527,0,-1.18438884119,0,0,1,1,4,36,6,7.56298920378,0.886032388664,1.84846491228,0
54,0,PLUM,LEMON,28,-0.159304622548,0,-0.691164088592,0,0,0,-4,2,8,-2,1.11577964519,-0.25,1.09103641457,0
55,1,PLUM,LEMON,20,-0.276337925113,0,-0.432741405507,0,0,0,2,2,28,-2,1.08795518207,-0.417857142857,0.493767507003,0
56,1,LEMON,PLUM,0,0.179242151268,1,0.320408631578,1,1,1,4,0,-4,-2,-2.20936220642,-0.299956008044,-0.323904690081,0
57,1,LEMON,PLUM,0,0.16527413457,1,0.320408631578,1,1,1,-3,0,8,0,0.707142857143,-0.1375,0.114285714286,0
58,1,PLUM,LEMON,2,0.241337305898,1,0.247531036036,1,0,0,-3,0,4,2,2.42943722944,0.6,-0.231168831169,0
59,0,LEMON,PLUM,14,-0.475353479634,0,-0.160690359047,0,0,1,7,2,12,8,2.42264402264,1.04590964591,-0.0116772116772,0
