variant_leg,leg,game_id,deployed_variant,deployed_first_mismatch_turn,seat,opponent_agent_id,opponent_submission_id,margin,win,catastrophe,initial_fingerprint,static_fingerprint,current_apple_activation_turn,apple_idle_activation_turn,banana_activation_turn,banana_idle_activation_turn,starter_base_verb,starter_base_command,starter_cell,mother_cell,starter_to_mother_turns,enemy_eta,apple_enemy_kill_eta,banana_enemy_kill_eta,apple_kill_safe,banana_kill_safe,apple_first_bank_eta,banana_first_bank_eta,apple_payback_safe,banana_payback_safe,apple_projected_banked_fruit,banana_projected_banked_fruit,bank_apple,bank_banana,actual_mother_planted,actual_first_plant_turn,actual_first_harvest_turn,actual_first_bank_turn,actual_banked_fruit,actual_harvested_fruit,actual_mother_survived
leg-01-no-orchard,1,897937209,no-orchard,,1,6480540,40709131,-205,False,True,45a6b53e0582feca23b49d729dad959f96ed173f860c345fdbce1f6f010a0fcb,e9a58381aeddb08f23f5a974322eab066de3abc1cc41cdfb5db60d1ce2bb2dfd,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937210,no-orchard,,1,6479657,40706152,-60,False,False,124536b1f177a6cb363a93ad654a157e1090ec87925e0c760db5355bef29a401,5caaa215fbcec2e087d35a8163078118f8dbb26c57fc0000606dd099e93bf9b2,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937211,no-orchard,115,0,6481139,40709105,340,True,False,fe4ef17b3b001e10b12c5938b34021877ceea66f918604ff7f2a804d0b58b1a1,695f22bebb7767f57779233971fbeaaab3ea781d4fa617c225a83c53d9e7aae8,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937212,no-orchard,,0,6479842,40701933,77,True,False,e822b69951fb79dc145639ecca7166bf0557ab20ae30ca375cec02fdb2c8d361,ffd662612bd2d195c1e512f6a6945890aeec6ff3fe6ae89303c64b1a7506a61d,16,,16,,MOVE,MOVE 0 6 6,5:6,5:6,0,15,35,21,True,True,11,19,True,False,137,67,3,2,False,,,,0,0,False
leg-01-no-orchard,1,897937213,no-orchard,,0,6588479,40992511,10,True,False,a68f201dfa0c2bf97fb2384ad852deff7d75dc620ad4f7c0d8a73159d560b42e,8b6096715e2a57a0e9a83ef719126df61e5ded21a73ddcd3af2e52baf156ce85,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937214,no-orchard,,1,6502964,40823799,-10,False,False,38a7fb6b393d5b351e66ec3ffac901daa029bc67b06aca0d417077c86f895439,aef33461eb209954a1a114e0536670aac8c178499d786985669330c28644b3cd,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937215,no-orchard,71,1,6480944,40707936,105,True,False,accba7d4d744c638e202c1495766ac7037183b23cabab172f4bd1a81a053a48d,f60b57ea0dab20a296f55d06466a9f21a5469d2051293f591bccc9de721e68ff,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937216,no-orchard,64,0,6488464,40703958,15,True,False,4bfd7336914f3c8368e99019db07ac19ea3e8a54c8da6d46421a9b9f092a2030,03ad86fa0f5c75531335244cb0f713e602d890a58368186fb7ae045b03682a88,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937217,no-orchard,74,1,6591734,40699068,32,True,False,b86af49d352fa2971e4fca84bd162df109ba270e7eccc00ab79f3f77f42b745c,cfa5919bfad7f69e02e04b4a4d29aee38c1742e071d9da6fec8df5bdc1e870ec,2,,2,,MOVE,MOVE 1 14 5,14:4,13:3,2,17,37,23,True,True,13,21,True,False,143,70,7,7,False,,,,0,0,False
leg-01-no-orchard,1,897937218,no-orchard,67,0,6493051,40786446,99,True,False,b95cdde94a04b2d098582dc4ef306e92555f789c6f54894dbcce09bc4fbcbe95,b7c681cc66fa7bb18b04441dac0f90e4461a320349c99a659e90eac6218eaac1,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937277,no-orchard,28,1,6592324,41086779,-70,False,False,b89129137658fb5b1fb1474f7784925198ca4523e301e6ac989fa6e89d9d9580,97048d8c3ae0d1c84be814ed63d9444a0962b8fe1bfbb861ea49df462fe3a2b1,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937326,no-orchard,1,1,6559646,40706861,8,True,False,68b85838c29219f27ec344ebc57ea112fdb6897ce0f1f7592f4f87b90250761a,e9e4ca0377b9994cad278a6cb54a89d976e1df856482df906b0603120ac1629f,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937359,no-orchard,196,1,6483514,40756960,79,True,False,14245b9dbeb901f2bd0b64876643a0de2daadcd1f46a254736cc58830df1fdb4,f6feac0a680e41923d4b8a36040f6aa62dd7b404234d1f927341986c503e3587,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937390,no-orchard,,1,6480951,40707059,76,True,False,0ea588a835ee385db45700892b1e09660674bbd4dfe02a757c572e616cb291a9,159052d354169c30f882bcb05042e87d3a757bdf48e7a160f8fdb3715af1ad35,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937421,no-orchard,190,0,6479931,40709544,-101,False,True,260f5ade23088f441a16d9b18f6e674e8b570745ef285bdc4038d56898f306af,0db58b037ede308bec41ad8fa0134ad822c913fba4b2061786c9fea1de9acda2,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937451,no-orchard,59,1,6480951,40707059,28,True,False,d4b1066598964380ab709ae6cec64bb7f0009df9a893ecfcd53a407a264b152b,a668433f84b174cd169ec16411610f4bf23cc04cd4f9869a9e2ff12023eceac9,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
