MSG yamo-carry-regen-transit-idle-harvest-rust;PICK 0 BANANA;DROP 2
MOVE 0 6 4;MOVE 2 7 1
PLANT 0 BANANA;MOVE 2 7 0
WAIT;MOVE 2 8 0
WAIT;MOVE 2 9 0
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;MOVE 2 8 0
WAIT;MOVE 2 8 1
WAIT;MOVE 2 8 2
WAIT;MOVE 2 8 3
WAIT;DROP 2
WAIT;MOVE 2 8 4
WAIT;MOVE 2 7 4
WAIT;MOVE 2 7 5
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
HARVEST 0;CHOP 2
MOVE 0 7 4;CHOP 2
PLANT 0 BANANA;CHOP 2
WAIT;MOVE 2 6 5
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;MOVE 2 6 3
WAIT;DROP 2
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
WAIT;MOVE 2 5 4
WAIT;MOVE 2 6 4
