MSG yamo-carry-regen-transit-idle-harvest-rust;PICK 0 BANANA;MOVE 2 6 2
MOVE 0 12 3;MOVE 2 6 1
PLANT 0 BANANA;MOVE 2 7 1
WAIT;MOVE 2 8 1
WAIT;MOVE 2 9 1
WAIT;MOVE 2 10 1
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
MOVE 0 11 3;WAIT
MOVE 0 10 3;WAIT
MOVE 0 10 2;WAIT
MOVE 0 9 2;WAIT
MOVE 0 9 1;WAIT
MOVE 0 8 1;WAIT
WAIT;CHOP 2
WAIT;MOVE 2 11 1
WAIT;MOVE 2 12 1
WAIT;MOVE 2 13 1
MOVE 0 8 2;DROP 2
MOVE 0 9 2;PICK 2 PLUM
WAIT;PLANT 2 PLUM
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;CHOP 2
WAIT;DROP 2
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
WAIT;WAIT
