MSG yamo-carry-regen-transit-idle-harvest-rust;MOVE 0 8 3;MOVE 2 3 0
MOVE 0 7 3;MOVE 2 5 0
MOVE 0 6 3;MOVE 2 6 1
CHOP 0;MOVE 2 8 1
CHOP 0;MOVE 2 10 1
CHOP 0;MOVE 2 11 1
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;MOVE 2 11 3
CHOP 0;DROP 2
MOVE 0 6 2;MOVE 2 10 2
MOVE 0 7 2;MOVE 2 8 2
MOVE 0 8 2;MOVE 2 6 2
MOVE 0 9 2;MOVE 2 6 3
MOVE 0 10 2;CHOP 2
MOVE 0 11 2;CHOP 2
MOVE 0 11 3;CHOP 2
MOVE 0 12 3;CHOP 2
CHOP 0;CHOP 2
CHOP 0;MOVE 2 8 3
CHOP 0;MOVE 2 9 3
CHOP 0;DROP 2
WAIT;MOVE 2 10 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
