MSG yamo-carry-regen-transit-idle-harvest-rust;MOVE 0 11 1;MOVE 2 4 2
MOVE 0 11 2;MOVE 2 5 2
MOVE 0 11 3;MOVE 2 6 2
MOVE 0 11 4;MOVE 2 7 2
CHOP 0;MOVE 2 8 2
CHOP 0;MOVE 2 8 1
CHOP 0;MOVE 2 9 1
CHOP 0;MOVE 2 10 1
CHOP 0;MOVE 2 11 1
CHOP 0;MOVE 2 12 1
CHOP 0;DROP 2
MOVE 0 11 3;MOVE 2 11 1
MOVE 0 12 3;MOVE 2 11 2
CHOP 0;MOVE 2 11 3
CHOP 0;MOVE 2 11 4
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;CHOP 2
CHOP 0;MOVE 2 11 3
CHOP 0;MOVE 2 11 2
CHOP 0;MOVE 2 12 2
CHOP 0;MOVE 2 13 2
CHOP 0;DROP 2
WAIT;MOVE 2 12 2
WAIT;MOVE 2 11 2
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
WAIT;MOVE 2 10 3
WAIT;MOVE 2 11 3
