maps from the slice local_claude_1/third-troll/smoke-maps-seed0.jsonl: 24
  OK  7b515d6db8085355 harvester          draw [2, 3, 8, 8, 4]  arm 2nd 1 2 0 1 @18  3rd 1 3 0 3 @138 (funding 120 turns, idle max arm/resident [0, 0] after horizon [0, 0])  plants 13 (first @241)  resident 2nd 1 2 0 1 @18  own 168 vs 154  telemetry 0
  OK  64b1d4b14f026f9f chopper_aggressor  draw [7, 8, 6, 6, 6]  arm 2nd 2 2 0 2 @1  3rd 1 2 0 3 @61 (funding 60 turns, idle max arm/resident [1, 0] after horizon [0, 50])  plants 9 (first @111)  resident 2nd 2 2 0 2 @1  own 108 vs 130  telemetry 0
  OK  c84154d29ea19fbc harvester          draw [10, 2, 2, 2, 6]  arm 2nd 3 1 0 3 @10  3rd 1 1 0 3 @90 (funding 80 turns, idle max arm/resident [4, 0] after horizon [0, 50])  plants 4 (first @109)  resident 2nd 3 1 0 3 @10  own 64 vs 60  telemetry 0
  OK  b086e0e6163a45ac chopper_aggressor  draw [3, 4, 4, 4, 7]  arm 2nd 1 2 0 2 @8  3rd 1 2 0 3 @105 (funding 97 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 7 (first @252)  resident 2nd 1 2 0 2 @8  own 104 vs 96  telemetry 0
  OK  89e906123ff36a86 harvester          draw [7, 7, 10, 10, 8]  arm 2nd 2 2 0 3 @14  3rd 1 2 0 3 @96 (funding 82 turns, idle max arm/resident [0, 0] after horizon [0, 0])  plants 19 (first @221)  resident 2nd 2 2 0 3 @14  own 208 vs 212  telemetry 0
  OK  a6062948c27575a8 chopper_aggressor  draw [7, 5, 6, 3, 3]  arm 2nd 3 2 0 1 @21  3rd 1 2 0 3 @155 (funding 134 turns, idle max arm/resident [4, 0] after horizon [0, 80])  plants 6 (first @168)  resident 2nd 3 2 0 1 @21  own 108 vs 116  telemetry 0
  OK  50bcce5e7ae4a14c harvester          draw [5, 2, 6, 4, 8]  arm 2nd 2 2 0 2 @20  3rd 1 2 0 3 @110 (funding 90 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 7 (first @132)  resident 2nd 2 2 0 2 @20  own 104 vs 112  telemetry 0
  OK  daadbfd7e8423f86 chopper_aggressor  draw [7, 3, 2, 8, 4]  arm 2nd 2 1 0 2 @10  3rd 1 2 0 3 @115 (funding 105 turns, idle max arm/resident [1, 0] after horizon [0, 50])  plants 12 (first @139)  resident 2nd 2 1 0 2 @10  own 96 vs 100  telemetry 0
  OK  b6a5501980dd849a harvester          draw [6, 2, 4, 8, 6]  arm 2nd 2 1 0 2 @1  3rd 1 2 0 3 @152 (funding 151 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 9 (first @178)  resident 2nd 2 1 0 2 @1  own 92 vs 96  telemetry 0
  OK  19111bc9b90011bb chopper_aggressor  draw [5, 7, 3, 10, 5]  arm 2nd 2 2 0 2 @1  3rd - @- (funding None turns, idle max arm/resident [79, 123] after horizon [50, 50])  plants 15 (first @252)  resident 2nd 2 2 0 2 @1  own 116 vs 121  telemetry 0
  OK  b91f102962423ddd harvester          draw [2, 2, 2, 3, 8]  arm 2nd 1 1 0 2 @1  3rd 1 3 0 2 @106 (funding 105 turns, idle max arm/resident [0, 0] after horizon [0, 71])  plants 3 (first @208)  resident 2nd 1 1 0 2 @1  own 100 vs 80  telemetry 0
  OK  6d81a00871f22f23 chopper_aggressor  draw [9, 10, 9, 9, 9]  arm 2nd 2 3 0 3 @16  3rd 2 2 0 3 @94 (funding 78 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 17 (first @146)  resident 2nd 2 3 0 3 @16  own 188 vs 198  telemetry 0
  BAD c14dea6aa5d28951 harvester          draw [2, 9, 9, 8, 5]  arm 2nd 1 2 0 2 @1  3rd - @- (funding None turns, idle max arm/resident [30, 0] after horizon [50, 47])  plants 16 (first @123)  resident 2nd 1 2 0 2 @1  own 128 vs 148  telemetry 0
