seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
0,0,300,365,257,17,87,9,62,0,0
0,1,300,371,337,19,88,9,82,0,0
1,0,300,388,366,12,94,14,88,0,0
1,1,300,386,389,18,92,13,94,0,0
2,0,300,410,409,10,100,13,99,0,0
2,1,300,408,411,12,99,11,100,0,0
3,0,300,398,379,6,98,15,91,0,0
3,1,300,383,408,19,91,4,101,0,0
4,0,300,272,298,16,64,10,72,0,0
4,1,300,221,306,21,50,10,74,0,0
5,0,300,306,321,14,73,5,79,0,0
5,1,300,367,325,7,90,5,80,0,0
6,0,300,377,355,29,87,7,87,0,0
6,1,300,355,316,11,86,8,77,0,0
7,0,300,211,248,63,37,24,56,0,0
7,1,300,185,257,81,26,41,54,0,0
8,0,300,406,427,10,99,7,105,0,0
8,1,300,430,359,10,105,7,88,0,0
9,0,300,300,378,20,70,18,90,0,0
9,1,300,242,234,18,56,18,54,0,0
10,0,300,386,359,2,96,3,89,0,0
10,1,300,410,387,2,102,3,96,0,0
11,0,300,491,460,11,120,16,111,0,0
11,1,300,459,492,15,111,12,120,0,0
12,0,300,320,200,56,66,8,48,0,0
12,1,300,267,173,63,51,5,42,0,0
13,0,300,414,467,22,98,19,112,0,0
13,1,300,466,415,18,112,23,98,0,0
14,0,300,365,386,13,88,18,92,0,0
14,1,300,385,366,17,92,14,88,0,0
15,0,300,346,361,34,78,25,84,0,0
15,1,300,360,343,24,84,35,77,0,0
16,0,300,405,194,13,98,18,44,0,0
16,1,300,398,202,10,97,18,46,0,0
17,0,300,303,332,31,68,20,78,0,0
17,1,300,213,332,49,41,20,78,0,0
18,0,300,335,347,11,81,11,84,0,0
18,1,300,341,336,17,81,12,81,0,0
19,0,300,392,421,20,93,21,100,0,0
19,1,300,384,404,24,90,20,96,0,0
20,0,300,474,390,10,116,10,95,0,0
20,1,300,383,362,11,93,10,88,0,0
21,0,300,436,454,12,106,14,110,0,0
21,1,300,453,437,13,110,13,106,0,0
22,0,300,409,422,5,101,6,104,0,0
22,1,300,421,387,5,104,7,95,0,0
23,0,300,427,398,15,103,14,96,0,0
23,1,300,398,428,14,96,16,103,0,0
24,0,300,303,320,23,70,16,76,0,0
24,1,300,373,359,13,90,15,86,0,0
25,0,300,350,311,22,82,15,74,0,0
25,1,300,311,334,23,72,14,80,0,0
26,0,300,364,343,20,86,23,80,0,0
26,1,300,352,340,24,82,12,82,0,0
27,0,300,394,21,18,94,21,0,0,0
27,1,300,21,395,21,0,19,94,0,0
28,0,300,29,339,29,0,27,78,0,0
28,1,300,319,29,35,71,29,0,0,0
29,0,300,286,280,46,60,8,68,0,0
29,1,300,305,296,61,61,8,72,0,0
30,0,279,260,301,36,56,13,72,0,0
30,1,267,245,268,29,54,16,63,0,0
31,0,300,424,432,8,104,8,106,0,0
31,1,300,367,360,19,87,8,88,0,0
32,0,300,339,377,3,84,1,94,0,0
32,1,300,376,340,0,94,4,84,0,0
33,0,300,191,252,47,36,36,54,0,0
33,1,300,251,214,51,50,6,52,0,0
34,0,300,355,334,23,83,10,81,0,0
34,1,300,365,362,17,87,10,88,0,0
35,0,300,388,329,12,94,9,80,0,0
35,1,300,373,392,17,89,12,95,0,0
