seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
0,0,300,301,261,9,73,9,63,0,0
0,1,300,257,337,9,62,9,82,0,0
1,0,300,340,366,4,84,14,88,0,0
1,1,300,339,389,7,83,13,94,0,0
2,0,300,396,409,20,94,13,99,0,0
2,1,300,376,411,20,89,11,100,0,0
3,0,300,425,382,13,103,14,92,0,0
3,1,300,426,439,10,104,11,107,0,0
4,0,294,216,244,12,51,12,58,0,0
4,1,289,236,228,12,56,12,54,0,0
5,0,300,301,377,5,74,5,93,0,0
5,1,287,281,307,9,68,7,75,0,0
6,0,239,242,268,10,58,8,65,0,0
6,1,244,303,275,7,74,7,67,0,0
7,0,300,257,237,17,60,21,54,0,0
7,1,300,257,262,17,60,22,60,0,0
8,0,300,359,427,7,88,7,105,0,0
8,1,291,304,353,8,74,9,86,0,0
9,0,300,214,297,18,49,13,71,0,0
9,1,293,220,206,20,50,22,46,0,0
10,0,300,275,372,3,68,4,92,0,0
10,1,300,331,387,3,82,3,96,0,0
11,0,300,483,460,7,119,16,111,0,0
11,1,300,469,470,9,115,10,115,0,0
12,0,241,158,156,14,36,12,36,0,0
12,1,271,153,182,9,36,6,44,0,0
13,0,300,433,467,25,102,19,112,0,0
13,1,300,442,415,22,105,23,98,0,0
14,0,300,356,386,16,85,18,92,0,0
14,1,300,384,366,16,92,14,88,0,0
15,0,300,330,361,26,76,25,84,0,0
15,1,300,326,343,22,76,35,77,0,0
16,0,231,167,159,15,38,15,36,0,0
16,1,255,175,183,15,40,15,42,0,0
17,0,173,155,152,19,34,16,34,0,0
17,1,235,201,245,17,46,21,56,0,0
18,0,300,351,347,11,85,11,84,0,0
18,1,300,383,336,11,93,12,81,0,0
19,0,300,392,421,16,94,21,100,0,0
19,1,300,431,393,19,103,21,93,0,0
20,0,300,342,366,10,83,10,89,0,0
20,1,300,319,355,11,77,11,86,0,0
21,0,300,451,454,11,110,14,110,0,0
21,1,300,452,437,12,110,13,106,0,0
22,0,300,374,422,6,92,6,104,0,0
22,1,300,482,387,6,119,7,95,0,0
23,0,300,409,398,17,98,14,96,0,0
23,1,300,407,428,15,98,16,103,0,0
24,0,300,307,328,19,72,16,78,0,0
24,1,300,318,359,14,76,15,86,0,0
25,0,300,305,311,5,75,15,74,0,0
25,1,300,340,334,4,84,14,80,0,0
26,0,300,323,343,11,78,23,80,0,0
26,1,300,323,340,11,78,12,82,0,0
27,0,300,408,21,16,98,21,0,0,0
27,1,300,21,395,21,0,19,94,0,0
28,0,300,29,339,29,0,27,78,0,0
28,1,300,317,29,21,74,29,0,0,0
29,0,300,272,280,8,66,8,68,0,0
29,1,300,284,296,8,69,8,72,0,0
30,0,209,218,202,14,51,14,47,0,0
30,1,205,194,170,14,45,14,39,0,0
31,0,300,304,376,8,74,8,92,0,0
31,1,300,348,376,8,85,8,92,0,0
32,0,300,339,377,3,84,1,94,0,0
32,1,300,323,340,3,80,4,84,0,0
33,0,300,194,244,6,47,36,52,0,0
33,1,300,238,214,18,55,6,52,0,0
34,0,300,326,334,10,79,10,81,0,0
34,1,300,294,334,10,71,10,81,0,0
35,0,300,376,329,8,92,9,80,0,0
35,1,300,370,392,10,90,12,95,0,0
36,0,300,653,431,17,159,11,105,0,0
36,1,300,396,399,12,96,11,97,0,0
37,0,300,473,428,9,116,12,104,0,0
37,1,300,421,458,9,103,10,112,0,0
38,0,220,249,297,9,60,9,72,0,0
38,1,218,309,273,9,75,9,66,0,0
39,0,300,333,347,13,80,11,84,0,0
39,1,300,336,380,8,82,16,91,0,0
40,0,300,382,370,18,91,18,88,0,0
40,1,300,365,390,17,87,14,94,0,0
41,0,300,382,286,6,94,6,70,0,0
41,1,300,326,342,6,80,6,84,0,0
42,0,300,22,21,22,0,21,0,0,0
42,1,300,21,22,21,0,22,0,0,0
43,0,300,360,383,8,88,7,94,0,0
43,1,300,341,381,17,81,13,92,0,0
44,0,300,268,339,12,64,11,82,0,0
44,1,300,275,297,11,66,13,71,0,0
45,0,300,386,413,10,94,13,100,0,0
45,1,300,419,417,11,102,13,101,0,0
46,0,300,418,399,14,101,15,96,0,0
46,1,300,397,397,13,96,13,96,0,0
47,0,300,440,399,8,108,7,98,0,0
47,1,300,435,418,7,107,10,102,0,0
48,0,285,241,242,9,58,10,58,0,0
48,1,298,234,234,6,57,6,57,0,0
49,0,300,285,309,5,70,1,77,0,0
49,1,300,286,274,2,71,10,66,0,0
50,0,300,411,468,3,102,4,116,0,0
50,1,300,371,419,3,92,3,104,0,0
51,0,300,354,415,14,85,15,100,0,0
51,1,300,343,422,15,82,14,102,0,0
