seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
0,0,300,337,249,9,82,9,60,0,0
0,1,300,257,229,9,62,9,55,0,0
1,0,300,389,344,13,94,8,84,0,0
1,1,300,366,380,14,88,4,94,0,0
2,0,300,411,400,11,100,8,98,0,0
2,1,300,409,428,13,99,8,105,0,0
3,0,300,408,387,4,101,3,96,0,0
3,1,300,379,395,15,91,3,98,0,0
4,0,300,272,271,12,65,11,65,0,0
4,1,300,271,271,11,65,11,65,0,0
5,0,300,329,377,5,81,5,93,0,0
5,1,300,429,333,5,106,5,82,0,0
6,0,254,259,260,7,63,8,63,0,0
6,1,244,280,259,8,68,11,62,0,0
7,0,300,247,235,31,54,19,54,0,0
7,1,300,249,222,25,56,30,48,0,0
8,0,300,359,427,7,88,7,105,0,0
8,1,300,427,359,7,105,7,88,0,0
9,0,300,188,256,20,42,16,60,0,0
9,1,300,256,188,16,60,20,42,0,0
10,0,300,387,363,3,96,3,90,0,0
10,1,300,359,371,3,89,3,92,0,0
11,0,300,492,450,12,120,6,111,0,0
11,1,300,460,482,16,111,6,119,0,0
12,0,260,177,145,9,42,9,34,0,0
12,1,273,153,168,9,36,8,40,0,0
13,0,300,415,458,23,98,14,111,0,0
13,1,300,467,398,19,112,14,96,0,0
14,0,300,366,363,14,88,7,89,0,0
14,1,300,386,384,18,92,8,94,0,0
15,0,300,343,340,35,77,12,82,0,0
15,1,300,361,336,25,84,24,78,0,0
16,0,260,184,207,16,42,15,48,0,0
16,1,265,176,213,16,40,13,50,0,0
17,0,200,182,184,22,40,16,42,0,0
17,1,244,217,258,17,50,18,60,0,0
18,0,300,336,355,12,81,11,86,0,0
18,1,300,347,336,11,84,12,81,0,0
19,0,300,393,373,21,93,9,91,0,0
19,1,300,421,385,21,100,9,94,0,0
20,0,300,362,387,10,88,11,94,0,0
20,1,300,390,434,10,95,10,106,0,0
21,0,300,437,449,13,106,9,110,0,0
21,1,300,454,437,14,110,9,107,0,0
22,0,300,387,425,7,95,5,105,0,0
22,1,300,422,350,6,104,6,86,0,0
23,0,300,428,394,16,103,6,97,0,0
23,1,300,398,423,14,96,7,104,0,0
24,0,300,309,336,21,72,16,80,0,0
24,1,300,320,299,16,76,19,70,0,0
25,0,300,334,325,14,80,5,80,0,0
25,1,300,311,327,15,74,7,80,0,0
26,0,300,340,300,12,82,8,73,0,0
26,1,300,343,280,23,80,8,68,0,0
27,0,300,395,408,19,94,8,100,0,0
27,1,300,21,408,21,0,8,100,0,0
28,0,300,29,367,29,0,7,90,0,0
28,1,300,339,371,27,78,7,91,0,0
29,0,300,296,260,8,72,8,63,0,0
29,1,300,280,272,8,68,8,66,0,0
30,0,227,264,240,12,63,12,57,0,0
30,1,227,240,264,12,57,12,63,0,0
31,0,300,408,408,8,100,8,100,0,0
31,1,300,448,409,8,110,9,100,0,0
32,0,300,340,345,4,84,1,86,0,0
32,1,300,377,345,1,94,1,86,0,0
33,0,300,214,282,6,52,6,69,0,0
