seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
0,0,300,166,295,10,39,11,71,0,0
0,1,299,174,247,14,40,15,58,0,0
1,0,300,360,344,4,89,8,84,0,0
1,1,300,316,368,4,78,4,91,0,0
2,0,300,410,400,14,99,8,98,0,0
2,1,300,401,400,13,97,8,98,0,0
3,0,300,415,359,3,103,3,89,0,0
3,1,300,457,395,9,112,3,98,0,0
4,0,290,248,244,12,59,12,58,0,0
4,1,286,236,245,12,56,13,58,0,0
5,0,300,274,355,6,67,7,87,0,0
5,1,275,273,259,9,66,11,62,0,0
6,0,202,231,249,7,56,9,60,0,0
6,1,220,260,243,8,63,7,59,0,0
7,0,300,274,177,34,60,21,39,0,0
7,1,300,241,200,13,57,20,45,0,0
8,0,300,399,427,7,98,7,105,0,0
8,1,300,463,359,7,114,7,88,0,0
9,0,300,296,358,16,70,14,86,0,0
9,1,300,200,209,16,46,17,48,0,0
10,0,300,296,341,4,73,5,84,0,0
10,1,300,451,371,3,112,3,92,0,0
11,0,300,378,430,6,93,6,106,0,0
11,1,300,376,510,8,92,6,126,0,0
12,0,273,177,154,9,42,10,36,0,0
12,1,241,170,141,10,40,13,32,0,0
13,0,300,398,458,30,92,14,111,0,0
13,1,300,466,398,22,111,14,96,0,0
14,0,300,264,316,16,62,12,76,0,0
14,1,300,357,384,13,86,8,94,0,0
15,0,300,354,340,18,84,12,82,0,0
15,1,300,331,336,19,78,24,78,0,0
16,0,262,183,207,15,42,15,48,0,0
16,1,270,230,222,14,54,14,52,0,0
17,0,300,327,366,15,78,14,88,0,0
17,1,234,222,250,14,52,18,58,0,0
18,0,300,255,339,11,61,11,82,0,0
18,1,300,263,331,11,63,11,80,0,0
19,0,300,364,385,8,89,9,94,0,0
19,1,300,297,388,9,72,8,95,0,0
20,0,300,354,390,10,86,10,95,0,0
20,1,288,276,364,12,66,12,88,0,0
21,0,300,424,449,16,102,9,110,0,0
21,1,300,470,437,14,114,9,107,0,0
22,0,300,343,425,7,84,5,105,0,0
22,1,300,371,358,7,91,6,88,0,0
23,0,300,382,394,6,94,6,97,0,0
23,1,300,409,423,9,100,7,104,0,0
24,0,300,269,290,21,62,18,68,0,0
