seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
0,0,300,220,249,0,55,9,60,0,0
0,1,300,214,233,2,53,9,56,0,0
1,0,300,201,344,9,48,8,84,0,0
1,1,300,242,376,2,60,4,93,0,0
2,0,300,303,400,7,74,8,98,0,0
2,1,300,351,428,7,86,8,105,0,0
3,0,300,282,367,2,70,3,91,0,0
3,1,300,334,387,2,83,3,96,0,0
4,0,300,266,309,2,66,9,75,0,0
4,1,300,233,267,1,58,11,64,0,0
5,0,300,318,413,2,79,5,102,0,0
5,1,300,320,353,0,80,5,87,0,0
6,0,245,237,279,1,59,7,68,0,0
6,1,226,192,243,0,48,7,59,0,0
7,0,300,222,220,46,44,12,52,0,0
7,1,300,217,229,25,48,13,54,0,0
8,0,300,298,427,2,74,7,105,0,0
8,1,300,442,359,2,110,7,88,0,0
9,0,300,212,319,12,50,15,76,0,0
9,1,300,285,380,13,68,12,92,0,0
10,0,300,244,355,0,61,3,88,0,0
10,1,300,305,371,1,76,3,92,0,0
11,0,300,321,430,5,79,6,106,0,0
11,1,300,369,454,5,91,6,112,0,0
12,0,269,163,153,11,38,9,36,0,0
12,1,270,126,158,10,29,10,37,0,0
13,0,300,275,458,3,68,14,111,0,0
13,1,300,397,398,13,96,14,96,0,0
14,0,300,337,363,5,83,7,89,0,0
14,1,300,297,399,9,72,7,98,0,0
15,0,300,270,329,22,62,5,81,0,0
15,1,300,264,322,24,60,10,78,0,0
16,0,300,224,225,0,56,17,52,0,0
16,1,300,248,231,0,62,15,54,0,0
17,0,246,199,214,7,48,22,48,0,0
17,1,300,261,322,13,62,18,76,0,0
18,0,300,274,355,2,68,11,86,0,0
18,1,300,305,336,5,75,12,81,0,0
19,0,300,199,373,27,43,9,91,0,0
19,1,300,320,385,8,78,9,94,0,0
20,0,300,268,366,4,66,10,89,0,0
20,1,300,289,359,1,72,11,87,0,0
21,0,300,351,449,7,86,9,110,0,0
21,1,300,299,437,3,74,9,107,0,0
22,0,300,339,425,3,84,5,105,0,0
22,1,300,314,358,2,78,6,88,0,0
23,0,300,307,394,7,75,6,97,0,0
23,1,300,303,423,7,74,7,104,0,0
24,0,300,271,366,95,44,14,88,0,0
24,1,300,342,335,46,74,15,80,0,0
25,0,300,260,325,4,64,5,80,0,0
25,1,300,250,327,2,62,7,80,0,0
26,0,300,235,316,3,58,8,77,0,0
26,1,300,223,284,7,54,8,69,0,0
27,0,300,303,408,7,74,8,100,0,0
27,1,300,315,408,11,76,8,100,0,0
28,0,300,255,367,39,54,7,90,0,0
28,1,300,263,371,23,60,7,91,0,0
29,0,300,228,264,12,54,8,64,0,0
29,1,300,201,240,13,47,8,58,0,0
30,0,256,259,277,7,63,13,66,0,0
30,1,250,264,292,8,64,12,70,0,0
31,0,294,293,304,5,72,8,74,0,0
31,1,300,326,348,2,81,8,85,0,0
32,0,300,267,345,3,66,1,86,0,0
32,1,300,272,345,0,68,1,86,0,0
33,0,300,225,282,89,34,6,69,0,0
33,1,300,190,274,118,18,6,67,0,0
34,0,300,140,330,12,32,10,80,0,0
34,1,300,170,306,10,40,10,74,0,0
35,0,300,306,383,2,76,3,95,0,0
35,1,300,298,387,2,74,3,96,0,0
36,0,300,336,413,4,83,13,100,0,0
36,1,300,359,411,7,88,11,100,0,0
37,0,300,288,425,0,72,9,104,0,0
37,1,300,297,401,1,74,9,98,0,0
38,0,259,276,298,0,69,10,72,0,0
38,1,235,228,233,0,57,5,57,0,0
39,0,300,251,324,11,60,8,79,0,0
39,1,300,256,372,16,60,8,91,0,0
40,0,300,278,366,6,68,6,90,0,0
40,1,300,264,378,12,63,6,93,0,0
41,0,300,252,394,0,63,6,97,0,0
41,1,300,281,342,1,70,6,84,0,0
42,0,300,238,296,30,52,32,66,0,0
42,1,300,232,281,24,52,25,64,0,0
43,0,300,293,383,5,72,7,94,0,0
43,1,300,301,356,5,74,8,87,0,0
44,0,300,144,289,24,30,9,70,0,0
44,1,300,213,289,5,52,9,70,0,0
45,0,300,351,436,7,86,8,107,0,0
45,1,300,339,412,7,83,8,101,0,0
46,0,300,283,385,11,68,9,94,0,0
46,1,300,271,417,7,66,9,102,0,0
47,0,300,292,439,0,73,7,108,0,0
47,1,300,320,423,0,80,7,104,0,0
48,0,293,220,202,0,55,10,48,0,0
48,1,300,240,358,0,60,6,88,0,0
49,0,300,204,277,20,46,1,69,0,0
49,1,300,214,285,46,42,1,71,0,0
50,0,300,320,403,0,80,3,100,0,0
50,1,300,405,435,1,101,3,108,0,0
51,0,300,298,370,2,74,14,89,0,0
51,1,300,302,387,2,75,15,93,0,0
52,0,300,430,469,18,103,13,114,0,0
52,1,300,428,528,12,104,12,129,0,0
53,0,300,224,467,0,56,7,115,0,0
53,1,300,331,479,3,82,7,118,0,0
54,0,300,236,269,12,56,21,62,0,0
54,1,300,251,369,11,60,17,88,0,0
55,0,300,272,451,8,66,11,110,0,0
55,1,300,287,411,7,70,11,100,0,0
56,0,300,288,394,0,72,2,98,0,0
56,1,300,329,374,1,82,2,93,0,0
57,0,244,262,272,6,64,16,64,0,0
57,1,292,278,339,2,69,19,80,0,0
58,0,300,253,367,29,56,7,90,0,0
58,1,300,240,370,24,54,14,89,0,0
59,0,287,228,249,12,54,25,56,0,0
59,1,271,204,239,12,48,23,54,0,0
60,0,300,172,189,0,43,9,45,0,0
60,1,300,204,194,0,51,6,47,0,0
61,0,300,243,304,7,59,8,74,0,0
61,1,300,238,306,6,58,10,74,0,0
62,0,300,275,373,3,68,5,92,0,0
62,1,300,331,324,3,82,4,80,0,0
63,0,300,247,279,15,58,11,67,0,0
63,1,300,227,282,27,50,10,68,0,0
64,0,300,259,332,3,64,4,82,0,0
64,1,300,315,364,3,78,4,90,0,0
65,0,300,271,362,7,66,10,88,0,0
65,1,300,240,338,8,58,10,82,0,0
66,0,300,249,343,25,56,11,83,0,0
66,1,300,265,347,9,64,11,84,0,0
67,0,204,248,248,4,61,8,60,0,0
67,1,225,226,304,2,56,8,74,0,0
68,0,300,273,399,9,66,11,97,0,0
68,1,300,320,379,8,78,11,92,0,0
69,0,300,317,356,5,78,4,88,0,0
69,1,300,292,332,0,73,4,82,0,0
70,0,300,270,364,6,66,12,88,0,0
70,1,300,270,340,6,66,12,82,0,0
71,0,243,250,262,2,62,10,63,0,0
71,1,251,264,309,0,66,9,75,0,0
72,0,300,219,357,3,54,5,88,0,0
72,1,300,234,349,2,58,5,86,0,0
73,0,300,297,430,1,74,6,106,0,0
73,1,300,433,418,1,108,6,103,0,0
74,0,166,163,182,3,40,10,43,0,0
74,1,180,187,194,3,46,10,46,0,0
75,0,300,303,432,7,74,8,106,0,0
75,1,300,411,468,7,101,8,115,0,0
76,0,300,286,370,2,71,14,89,0,0
76,1,300,280,374,4,69,14,90,0,0
77,0,300,168,287,0,42,7,70,0,0
77,1,300,182,215,2,45,7,52,0,0
78,0,300,287,367,15,68,11,89,0,0
78,1,300,262,370,14,62,10,90,0,0
79,0,300,278,350,6,68,10,85,0,0
79,1,300,222,371,18,51,11,90,0,0
80,0,300,301,383,1,75,3,95,0,0
80,1,300,306,395,2,76,3,98,0,0
81,0,270,187,182,3,46,18,41,0,0
81,1,294,192,210,0,48,22,47,0,0
82,0,300,235,346,11,56,10,84,0,0
82,1,300,206,306,14,48,10,74,0,0
83,0,300,343,430,7,84,10,105,0,0
83,1,300,342,434,6,84,10,106,0,0
84,0,300,249,271,5,61,11,65,0,0
84,1,300,270,287,6,66,11,69,0,0
85,0,300,276,379,84,48,11,92,0,0
85,1,300,271,322,47,56,10,78,0,0
86,0,300,281,352,1,70,4,87,0,0
86,1,300,289,352,1,72,4,87,0,0
87,0,300,207,233,7,50,9,56,0,0
87,1,300,220,241,4,54,9,58,0,0
88,0,300,221,306,13,52,2,76,0,0
88,1,300,224,290,0,56,2,72,0,0
89,0,300,255,368,15,60,8,90,0,0
89,1,300,258,372,10,62,8,91,0,0
90,0,300,352,416,8,86,8,102,0,0
90,1,300,326,357,6,80,9,87,0,0
91,0,300,291,371,19,68,11,90,0,0
91,1,300,284,412,16,67,12,100,0,0
92,0,300,320,378,8,78,10,92,0,0
92,1,300,256,363,8,62,11,88,0,0
93,0,243,219,310,15,51,10,75,0,0
93,1,300,280,371,4,69,11,90,0,0
94,0,300,304,379,8,74,11,92,0,0
94,1,300,367,407,79,72,11,99,0,0
95,0,300,222,297,6,54,9,72,0,0
95,1,300,258,297,6,63,9,72,0,0
96,0,300,184,242,0,46,2,60,0,0
96,1,300,187,171,3,46,7,41,0,0
97,0,300,206,256,2,51,12,61,0,0
97,1,300,198,220,6,48,12,52,0,0
98,0,300,326,383,6,80,11,93,0,0
98,1,300,335,423,7,82,11,103,0,0
99,0,300,253,374,5,62,10,91,0,0
99,1,300,242,345,2,60,9,84,0,0
100,0,300,236,279,0,59,11,67,0,0
100,1,300,220,290,4,54,10,70,0,0
101,0,300,188,228,16,43,12,54,0,0
101,1,292,185,194,17,42,10,46,0,0
102,0,300,299,418,11,72,10,102,0,0
102,1,300,320,411,8,78,11,100,0,0
103,0,300,154,221,2,38,17,51,0,0
103,1,289,228,238,0,57,14,56,0,0
104,0,300,271,384,7,66,8,94,0,0
104,1,300,344,336,8,84,8,82,0,0
105,0,300,171,203,3,42,15,47,0,0
105,1,300,175,221,7,42,9,53,0,0
106,0,300,262,359,6,64,7,88,0,0
106,1,300,292,416,4,72,8,102,0,0
107,0,300,348,396,8,85,8,97,0,0
107,1,300,319,417,3,79,9,102,0,0
108,0,300,183,271,23,40,7,66,0,0
108,1,300,182,243,18,41,7,59,0,0
109,0,300,216,396,0,54,4,98,0,0
109,1,300,233,349,1,58,5,86,0,0
110,0,300,192,234,0,48,18,54,0,0
110,1,300,217,273,9,52,9,66,0,0
111,0,263,248,364,0,62,12,88,0,0
111,1,259,278,372,6,68,12,90,0,0
112,0,300,175,217,3,43,9,52,0,0
112,1,300,192,193,8,46,9,46,0,0
113,0,300,312,358,12,75,14,86,0,0
113,1,300,295,371,11,71,15,89,0,0
114,0,288,249,223,1,62,27,49,0,0
114,1,295,279,239,15,66,23,54,0,0
115,0,300,248,346,8,60,6,85,0,0
115,1,300,236,338,28,52,6,83,0,0
116,0,165,144,163,0,36,11,38,0,0
116,1,164,165,167,1,41,11,39,0,0
117,0,300,180,244,0,45,16,57,0,0
117,1,300,240,259,64,44,19,60,0,0
118,0,300,383,407,7,94,7,100,0,0
118,1,300,302,391,6,74,7,96,0,0
119,0,300,254,359,22,58,7,88,0,0
119,1,300,288,336,8,70,16,80,0,0
120,0,300,272,393,0,68,9,96,0,0
120,1,300,282,373,10,68,9,91,0,0
121,0,300,186,212,130,14,156,14,0,0
121,1,300,323,211,3,80,155,14,0,0
122,0,300,242,383,10,58,7,94,0,0
122,1,300,259,322,35,56,6,79,0,0
123,0,234,238,267,6,58,19,62,0,0
123,1,239,231,321,7,56,17,76,0,0
124,0,300,203,387,11,48,11,94,0,0
124,1,300,280,344,8,68,12,83,0,0
125,0,300,88,232,16,18,8,56,0,0
125,1,300,185,232,33,38,8,56,0,0
126,0,300,156,264,0,39,8,64,0,0
126,1,300,248,321,0,62,9,78,0,0
127,0,300,331,430,3,82,6,106,0,0
127,1,300,394,453,2,98,5,112,0,0
128,0,300,224,253,4,55,13,60,0,0
128,1,300,235,349,3,58,13,84,0,0
129,0,300,312,422,16,74,14,102,0,0
129,1,300,320,406,24,74,14,98,0,0
130,0,300,304,374,4,75,6,92,0,0
130,1,300,292,378,4,72,6,93,0,0
131,0,289,192,223,8,46,15,52,0,0
131,1,284,191,217,11,45,17,50,0,0
132,0,300,265,361,13,63,13,87,0,0
132,1,300,294,365,6,72,13,88,0,0
133,0,300,234,311,22,53,7,76,0,0
133,1,300,229,293,21,52,17,69,0,0
134,0,300,222,260,30,48,36,56,0,0
134,1,300,216,277,24,48,37,60,0,0
135,0,300,187,235,7,45,15,55,0,0
135,1,300,194,227,10,46,15,53,0,0
136,0,300,235,310,3,58,10,75,0,0
136,1,300,234,302,6,57,10,73,0,0
137,0,300,294,414,6,72,2,103,0,0
137,1,300,271,401,7,66,1,100,0,0
138,0,300,196,359,0,49,3,89,0,0
138,1,292,225,176,1,56,8,42,0,0
139,0,300,240,319,8,58,11,77,0,0
139,1,300,244,316,4,60,12,76,0,0
140,0,300,244,359,0,61,3,89,0,0
140,1,300,216,371,0,54,3,92,0,0
141,0,300,295,352,7,72,8,86,0,0
141,1,300,271,384,7,66,8,94,0,0
142,0,300,249,341,17,58,13,82,0,0
142,1,300,286,336,10,69,12,81,0,0
143,0,297,344,372,32,78,36,84,0,0
143,1,300,328,392,16,78,44,87,0,0
144,0,300,274,285,106,42,5,70,0,0
