seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
0,0,300,141,238,9,33,14,56,0,0
0,1,300,138,299,10,32,11,72,0,0
1,0,283,161,301,5,39,5,74,0,0
1,1,199,129,208,9,30,4,51,0,0
2,0,300,215,297,3,53,13,71,0,0
2,1,300,237,321,5,58,13,77,0,0
3,0,300,296,307,0,74,7,75,0,0
3,1,245,269,246,9,65,6,60,0,0
4,0,231,161,118,13,37,14,26,0,0
4,1,235,161,117,13,37,13,26,0,0
5,0,194,178,145,10,42,9,34,0,0
5,1,198,206,145,10,49,9,34,0,0
6,0,300,166,255,2,41,11,61,0,0
6,1,214,172,232,0,43,12,55,0,0
7,0,257,196,169,12,46,13,39,0,0
7,1,251,212,169,12,50,13,39,0,0
8,0,220,160,303,4,39,7,74,0,0
8,1,265,153,292,1,38,12,70,0,0
9,0,218,125,124,13,28,20,26,0,0
9,1,210,133,114,13,30,18,24,0,0
10,0,267,208,324,0,52,4,80,0,0
10,1,242,196,247,0,49,7,60,0,0
11,0,253,231,342,11,55,6,84,0,0
11,1,265,220,335,0,55,11,81,0,0
12,0,211,127,118,11,29,6,28,0,0
12,1,300,118,154,6,28,14,35,0,0
13,0,300,263,361,7,64,17,86,0,0
13,1,300,256,325,4,63,21,76,0,0
14,0,300,183,245,7,44,13,58,0,0
14,1,300,170,197,10,40,13,46,0,0
15,0,283,188,257,8,45,9,62,0,0
15,1,300,195,262,11,46,6,64,0,0
16,0,300,132,178,4,32,14,41,0,0
16,1,291,117,181,5,28,13,42,0,0
17,0,171,158,152,6,38,16,34,0,0
17,1,172,170,160,6,41,16,36,0,0
18,0,288,217,289,5,53,13,69,0,0
18,1,300,213,301,1,53,13,72,0,0
19,0,209,204,220,12,48,12,52,0,0
19,1,184,166,203,14,38,11,48,0,0
20,0,231,161,231,5,39,15,54,0,0
20,1,271,157,272,5,38,16,64,0,0
21,0,300,160,435,12,37,11,106,0,0
21,1,300,152,441,12,35,9,108,0,0
22,0,300,216,337,0,54,13,81,0,0
22,1,273,224,301,0,56,13,72,0,0
23,0,300,150,303,6,36,15,72,0,0
23,1,300,161,390,9,38,6,96,0,0
24,0,194,152,137,16,34,17,30,0,0
24,1,201,160,146,16,36,18,32,0,0
25,0,300,137,330,9,32,18,78,0,0
25,1,300,146,360,10,34,8,88,0,0
26,0,300,140,321,12,32,13,77,0,0
26,1,300,133,278,9,31,10,67,0,0
27,0,300,200,18,16,46,18,0,0,0
27,1,300,190,353,10,45,9,86,0,0
28,0,300,210,292,10,50,8,71,0,0
28,1,281,240,92,16,56,8,21,0,0
29,0,300,160,239,12,37,11,57,0,0
29,1,300,163,263,11,38,11,63,0,0
30,0,129,154,107,10,36,11,24,0,0
30,1,119,138,119,10,32,11,27,0,0
31,0,184,168,144,16,38,8,34,0,0
31,1,189,176,153,16,40,9,36,0,0
32,0,300,156,329,4,38,1,82,0,0
32,1,300,158,314,2,39,2,78,0,0
33,0,294,137,266,13,31,6,65,0,0
33,1,293,143,193,7,34,9,46,0,0
34,0,284,207,279,7,50,15,66,0,0
34,1,262,196,232,8,47,16,54,0,0
35,0,258,222,291,6,54,3,72,0,0
35,1,288,224,299,0,56,3,74,0,0
36,0,288,211,397,19,48,13,96,0,0
36,1,270,236,332,8,57,12,80,0,0
37,0,262,164,279,8,39,15,66,0,0
37,1,280,181,287,9,43,15,68,0,0
