seed,opponent,control_species,delta_paired_margin,delta_seat_margins,delta_policy_score,delta_opponent_score,delta_paired_wood_edge
0,chopharvest,PLUM,-127.0,"[-148,-106]",1.5,128.5,-28.5
0,motion,PLUM,-54.5,"[-65,-44]",-18,36.5,-13.5
0,race,PLUM,-19,"[-26,-12]",18.5,37.5,-5.0
0,ringfix3,PLUM,-139.5,"[-174,-105]",13.5,153,-35.0
0,taskplan,PLUM,-18.5,"[-39,2]",-10,8.5,-5.0
0,yield,PLUM,-11.0,"[-4,-18]",-12,-1.0,-2.5
1,chopharvest,LEMON,-253.0,"[-254,-252]",-2.0,251,-65
1,motion,LEMON,-219.5,"[-205,-234]",-4.5,215,-55.5
1,race,LEMON,-220.5,"[-222,-219]",3.5,224,-55.5
1,ringfix3,LEMON,-200.5,"[-225,-176]",-9.5,191,-50.5
1,taskplan,LEMON,-200.5,"[-224,-177]",4,204.5,-50.5
1,yield,LEMON,-91,"[-87,-95]",-22,69,-25
2,chopharvest,PLUM,-18,"[-32,-4]",2.5,20.5,-5.0
2,motion,PLUM,6,"[0,12]",0,-6,1.5
2,race,PLUM,-78.5,"[-3,-154]",9,87.5,-20
2,ringfix3,PLUM,38,"[57,19]",-2,-40,10.0
2,taskplan,PLUM,-89,"[-16,-162]",13,102,-22.5
2,yield,PLUM,-48,"[-7,-89]",8,56,-13
3,chopharvest,PLUM,31.5,"[65,-2]",6,-25.5,8
3,motion,PLUM,-6.5,"[14,-27]",12,18.5,-2.0
3,race,PLUM,16.0,"[12,20]",6,-10.0,4
3,ringfix3,PLUM,30.5,"[64,-3]",-12,-42.5,7.5
3,taskplan,PLUM,-18.5,"[-14,-23]",-4,14.5,-5.5
3,yield,PLUM,10.0,"[16,4]",-8,-18.0,2.5
4,chopharvest,PLUM,-69.0,"[7,-145]",-4,65.0,-18.5
4,motion,PLUM,-22,"[-4,-40]",-14,8,-5.5
4,race,PLUM,-117,"[-28,-206]",18,135,-30.5
4,ringfix3,PLUM,-75.5,"[-5,-146]",2,77.5,-20
4,taskplan,PLUM,-97,"[-12,-182]",12,109,-25.5
4,yield,PLUM,-2.5,"[3,-8]",10,12.5,-0.5
5,chopharvest,LEMON,-72.5,"[-21,-124]",-0.5,72,-21
5,motion,LEMON,-34.5,"[0,-69]",8,42.5,-10.5
5,race,LEMON,-40.5,"[-12,-69]",-8,32.5,-12
5,ringfix3,LEMON,-71,"[-21,-121]",-6.5,64.5,-21.5
5,taskplan,LEMON,-62.5,"[-28,-97]",4,66.5,-17.5
5,yield,LEMON,-49.5,"[-19,-80]",2,51.5,-14.5
6,chopharvest,LEMON,-102.5,"[-209,4]",4,106.5,-28.0
6,motion,LEMON,-34,"[-40,-28]",6,40,-8.5
6,race,LEMON,6,"[-44,56]",2,-4,1.5
6,ringfix3,LEMON,-104.0,"[-206,-2]",-2,102.0,-28.5
6,taskplan,LEMON,4,"[-24,32]",0,-4,1.0
6,yield,LEMON,-11.5,"[-9,-14]",0,11.5,-2.5
7,chopharvest,PLUM,-24.0,"[-20,-28]",-18,6.0,-6
7,motion,PLUM,-0.5,"[7,-8]",-8,-7.5,0.5
7,race,PLUM,-0.5,"[-8,7]",-6,-5.5,-0.5
7,ringfix3,PLUM,-16.5,"[-13,-20]",-12,4.5,-4
7,taskplan,PLUM,-10.0,"[-7,-13]",14,24.0,-2.5
7,yield,PLUM,1.5,"[8,-5]",14,12.5,0.5
8,chopharvest,PLUM,4.5,"[14,-5]",-12.5,-17.0,0.5
8,motion,PLUM,14.5,"[8,21]",-14,-28.5,3.5
8,race,PLUM,-4.0,"[1,-9]",0,4.0,-1
8,ringfix3,PLUM,25.0,"[19,31]",-20,-45.0,6.0
8,taskplan,PLUM,10,"[24,-4]",4,-6,2.5
8,yield,PLUM,-0.5,"[19,-20]",-4,-3.5,-0.5
9,chopharvest,LEMON,-18.5,"[-19,-18]",-28,-9.5,-6.0
9,motion,LEMON,-10.0,"[-4,-16]",4,14.0,-3.0
9,race,LEMON,-0.5,"[11,-12]",-4,-3.5,-0.5
9,ringfix3,LEMON,-12.5,"[-13,-12]",-20,-7.5,-3.5
9,taskplan,LEMON,-6,"[-3,-9]",2,8,-2.0
9,yield,LEMON,-9.0,"[-20,2]",0,9.0,-2.5
10,chopharvest,LEMON,-292.5,"[-300,-285]",0.5,293.0,-73.0
10,motion,LEMON,-103,"[-117,-89]",-21,82,-27
10,race,LEMON,-157.5,"[-142,-173]",-21.5,136,-40.5
10,ringfix3,LEMON,-204,"[-183,-225]",-9.5,194.5,-52.0
10,taskplan,LEMON,-92,"[-82,-102]",-18,74,-24
10,yield,LEMON,-139,"[-167,-111]",-24,115,-36
11,chopharvest,LEMON,-15.5,"[-10,-21]",22,37.5,-5.5
11,motion,LEMON,18,"[28,8]",28,10,4.5
11,race,LEMON,-8,"[0,-16]",-8,0,-2.0
11,ringfix3,LEMON,-8,"[-3,-13]",0,8,-2
11,taskplan,LEMON,-6,"[-4,-8]",-4,2,-1.5
11,yield,LEMON,-8.5,"[-10,-7]",-6,2.5,-2.0
12,chopharvest,PLUM,-14.0,"[13,-41]",14,28.0,-2.5
12,motion,PLUM,-18,"[-16,-20]",32,50,-4.5
12,race,PLUM,-14,"[-32,4]",22,36,-3.5
12,ringfix3,PLUM,-4.5,"[47,-56]",8,12.5,-1.5
12,taskplan,PLUM,-46,"[-40,-52]",-16,30,-11.5
12,yield,PLUM,3,"[-7,13]",-2,-5,0.5
13,chopharvest,LEMON,-5.5,"[-37,26]",20,25.5,-3.0
13,motion,LEMON,0,"[12,-12]",-14,-14,0
13,race,LEMON,-8,"[4,-20]",-8,0,-2
13,ringfix3,LEMON,-15.5,"[-33,2]",14,29.5,-4.0
13,taskplan,LEMON,-12,"[-16,-8]",-8,4,-3
13,yield,LEMON,18.5,"[-4,41]",4,-14.5,4.5
14,chopharvest,LEMON,15.5,"[22,9]",5,-10.5,3.5
14,motion,LEMON,-30.5,"[-36,-25]",8,38.5,-8
14,race,LEMON,-27.5,"[-29,-26]",10,37.5,-7
14,ringfix3,LEMON,-69.5,"[-18,-121]",19.5,89.0,-18
14,taskplan,LEMON,-65.5,"[-99,-32]",16,81.5,-16.5
14,yield,LEMON,-18.0,"[5,-41]",0,18.0,-5
15,chopharvest,PLUM,-4.5,"[-6,-3]",0,4.5,-1
15,motion,PLUM,26,"[4,48]",-2,-28,6.5
15,race,PLUM,22,"[40,4]",-16,-38,5.5
15,ringfix3,PLUM,-4.5,"[-6,-3]",0,4.5,-1
15,taskplan,PLUM,34,"[40,28]",-22,-56,8.5
15,yield,PLUM,8.5,"[5,12]",0,-8.5,2.0
16,chopharvest,PLUM,3,"[14,-8]",20,17,1.5
16,motion,PLUM,-4,"[-4,-4]",-20,-16,-1
16,race,PLUM,0,"[36,-36]",-26,-26,0
16,ringfix3,PLUM,5,"[-7,17]",-8,-13,1
16,taskplan,PLUM,20,"[28,12]",-22,-42,5.0
