game_id,opp,result,my_score,opp_score,ohe_t75,ce_t75,ohe_t150,ce_t150,ohe_t225,ce_t225
895549831,plcc,loss,265.0,355.0,39,0,20,0,20,0
895549851,plcc,loss,322.0,403.0,78,0,98,20,43,0
895562897,plcc,loss,196.0,313.0,79,0,40,0,20,0
895562919,plcc,loss,275.0,531.0,137,0,189,52,78,0
895562929,plcc,loss,293.0,403.0,79,0,87,0,79,0
895562937,plcc,loss,214.0,358.0,39,0,39,0,39,0
895562949,plcc,loss,211.0,361.0,19,0,38,0,0,0
895562963,plcc,loss,218.0,427.0,20,0,105,0,20,0
895562977,plcc,loss,343.0,398.0,39,0,39,0,39,0
895562988,plcc,win,232.0,228.0,78,0,59,0,44,4
895562999,plcc,win,323.0,36.0,136,0,79,0,60,0
895563010,plcc,loss,261.0,269.0,58,0,44,24,80,56
895563035,plcc,win,250.0,245.0,96,0,96,0,39,0
895563041,plcc,loss,217.0,394.0,20,0,20,0,0,0
895563051,plcc,loss,263.0,425.0,126,8,99,0,99,20
895563068,plcc,loss,232.0,348.0,20,0,0,0,20,0
895563077,plcc,loss,159.0,238.0,40,0,0,0,20,0
895549876,mikdiet,loss,254.0,367.0,118,0,118,0,99,0
895549889,mikdiet,win,202.0,196.0,0,0,78,0,0,0
895563107,mikdiet,loss,385.0,478.0,78,19,20,0,20,0
895563124,mikdiet,loss,223.0,251.0,40,0,59,0,39,0
895563140,mikdiet,loss,148.0,352.0,0,0,0,0,0,0
895563153,mikdiet,loss,274.0,431.0,98,0,78,0,0,0
895563179,mikdiet,win,207.0,180.0,97,0,77,0,58,0
895563195,mikdiet,win,228.0,129.0,58,0,20,0,0,0
895563200,mikdiet,loss,169.0,291.0,58,0,58,0,19,0
895563218,mikdiet,loss,258.0,444.0,39,0,39,0,39,0
895563227,mikdiet,loss,284.0,354.0,19,0,0,0,20,0
895563245,mikdiet,loss,233.0,304.0,0,0,0,0,0,0
895563265,mikdiet,win,284.0,233.0,116,0,81,20,38,0
895563277,mikdiet,win,330.0,109.0,38,0,51,32,39,20
895563286,mikdiet,loss,187.0,219.0,58,0,39,0,39,0
895563300,mikdiet,loss,322.0,418.0,0,0,113,36,97,40
895563318,mikdiet,loss,278.0,390.0,78,0,57,0,0,0
895549908,kurigen,loss,319.0,372.0,20,0,55,16,20,0
895549929,kurigen,loss,244.0,288.0,57,0,104,8,77,0
