game,opp_id,won,my_score,opp_score,t,total,ours,opp,uncertain,dead,created_exposed,own_half_exposed,cfg_margin,cfg_future_seed,cfg_created_near_tent_r,cfg_farm_r,raw
895549961,boss,False,229.0,284.0,5,296,144,148,4,0,0,4,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,10,317,36,199,82,0,0,122,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,15,342,163,163,16,0,0,8,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,20,360,192,152,16,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,25,372,170,186,16,0,0,16,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,30,374,171,187,16,0,0,16,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,35,380,207,59,114,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,40,386,175,193,18,0,0,18,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,45,388,137,212,39,0,0,57,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,50,390,253,39,98,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,55,390,195,176,19,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,60,390,97,79,214,0,0,98,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,65,379,79,184,116,0,0,97,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,70,375,59,234,82,0,4,101,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,75,372,117,168,87,0,8,28,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,80,400,78,204,118,0,12,71,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,85,414,137,233,44,0,4,4,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,90,412,117,228,67,0,8,8,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,95,408,59,255,94,0,0,58,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,100,392,44,271,77,0,0,77,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,105,386,125,221,40,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,110,394,39,98,257,0,0,117,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,115,395,0,195,200,0,4,121,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,120,396,153,136,107,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,125,408,0,307,101,0,4,101,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,130,401,105,172,124,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,135,385,97,79,209,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,140,392,58,193,141,0,4,43,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,145,384,0,99,285,0,0,97,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,150,365,77,201,87,0,4,24,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,155,369,77,233,59,0,0,20,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,160,357,0,190,167,0,0,97,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,165,345,58,165,122,0,4,43,3,1,2,2,data/boss5_games/boss/game_895549961.raw
