maps from the slice local_claude_1/third-troll/smoke-maps-seed0.jsonl: 24
  OK  7b515d6db8085355 harvester          draw [2, 3, 8, 8, 4]  arm 2nd 1 2 1 1 @18  3rd 2 3 0 3 @132 (funding 114 turns, idle max arm/resident [0, 0] after horizon [0, 0])  resident 2nd 1 2 0 1 @18  own 224 vs 154  telemetry 0
  OK  64b1d4b14f026f9f chopper_aggressor  draw [7, 8, 6, 6, 6]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @102 (funding 101 turns, idle max arm/resident [0, 0] after horizon [0, 50])  resident 2nd 2 2 0 2 @1  own 116 vs 130  telemetry 0
  OK  c84154d29ea19fbc harvester          draw [10, 2, 2, 2, 6]  arm 2nd 3 1 1 3 @10  3rd 2 3 0 3 @86 (funding 76 turns, idle max arm/resident [0, 0] after horizon [0, 50])  resident 2nd 3 1 0 3 @10  own 92 vs 60  telemetry 0
  OK  b086e0e6163a45ac chopper_aggressor  draw [3, 4, 4, 4, 7]  arm 2nd 1 2 1 2 @8  3rd 2 3 0 3 @106 (funding 98 turns, idle max arm/resident [0, 0] after horizon [0, 80])  resident 2nd 1 2 0 2 @8  own 112 vs 96  telemetry 0
  OK  89e906123ff36a86 harvester          draw [7, 7, 10, 10, 8]  arm 2nd 2 2 1 3 @14  3rd 2 3 0 3 @89 (funding 75 turns, idle max arm/resident [1, 0] after horizon [0, 0])  resident 2nd 2 2 0 3 @14  own 220 vs 212  telemetry 0
  OK  a6062948c27575a8 chopper_aggressor  draw [7, 5, 6, 3, 3]  arm 2nd 3 2 1 1 @21  3rd 2 3 0 3 @199 (funding 178 turns, idle max arm/resident [0, 35] after horizon [0, 80])  resident 2nd 3 2 0 1 @21  own 84 vs 116  telemetry 0
  OK  50bcce5e7ae4a14c harvester          draw [5, 2, 6, 4, 8]  arm 2nd 2 2 1 2 @20  3rd 2 3 0 3 @77 (funding 57 turns, idle max arm/resident [3, 0] after horizon [0, 80])  resident 2nd 2 2 0 2 @20  own 124 vs 112  telemetry 0
  OK  daadbfd7e8423f86 chopper_aggressor  draw [7, 3, 2, 8, 4]  arm 2nd 2 1 1 2 @10  3rd 2 3 0 3 @116 (funding 106 turns, idle max arm/resident [0, 0] after horizon [0, 50])  resident 2nd 2 1 0 2 @10  own 120 vs 100  telemetry 0
  OK  b6a5501980dd849a harvester          draw [6, 2, 4, 8, 6]  arm 2nd 2 1 1 2 @1  3rd 2 3 0 3 @128 (funding 127 turns, idle max arm/resident [0, 0] after horizon [0, 80])  resident 2nd 2 1 0 2 @1  own 136 vs 96  telemetry 0
  OK  19111bc9b90011bb chopper_aggressor  draw [5, 7, 3, 10, 5]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @89 (funding 88 turns, idle max arm/resident [0, 12] after horizon [0, 50])  resident 2nd 2 2 0 2 @1  own 100 vs 121  telemetry 0
  OK  b91f102962423ddd harvester          draw [2, 2, 2, 3, 8]  arm 2nd 1 1 1 2 @1  3rd 2 3 0 3 @161 (funding 160 turns, idle max arm/resident [0, 0] after horizon [0, 71])  resident 2nd 1 1 0 2 @1  own 156 vs 80  telemetry 0
  OK  6d81a00871f22f23 chopper_aggressor  draw [9, 10, 9, 9, 9]  arm 2nd 2 3 1 3 @16  3rd 2 3 0 3 @93 (funding 77 turns, idle max arm/resident [1, 0] after horizon [0, 50])  resident 2nd 2 3 0 3 @16  own 168 vs 198  telemetry 0
  OK  c14dea6aa5d28951 harvester          draw [2, 9, 9, 8, 5]  arm 2nd 1 2 1 2 @1  3rd - @- (funding None turns, idle max arm/resident [0, 0] after horizon [0, 47])  resident 2nd 1 2 0 2 @1  own 98 vs 148  telemetry 0
  OK  78e4df84516e04d1 chopper_aggressor  draw [10, 8, 8, 8, 6]  arm 2nd 3 3 1 2 @10  3rd - @- (funding None turns, idle max arm/resident [120, 102] after horizon [50, 50])  resident 2nd 3 3 0 2 @10  own 122 vs 168  telemetry 0
  OK  33261cf926f7a3eb harvester          draw [2, 6, 3, 7, 10]  arm 2nd 1 2 1 3 @1  3rd - @- (funding None turns, idle max arm/resident [0, 0] after horizon [0, 58])  resident 2nd 1 2 0 3 @1  own 126 vs 137  telemetry 0
  OK  2433a442a41ce6cb chopper_aggressor  draw [2, 6, 8, 4, 5]  arm 2nd 1 2 1 2 @1  3rd 2 3 0 3 @182 (funding 181 turns, idle max arm/resident [0, 1] after horizon [0, 50])  resident 2nd 1 2 0 2 @1  own 104 vs 136  telemetry 0
  OK  7a082aa227d4192a harvester          draw [6, 9, 8, 8, 6]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @83 (funding 82 turns, idle max arm/resident [1, 0] after horizon [0, 64])  resident 2nd 2 2 0 2 @1  own 176 vs 164  telemetry 0
  OK  62694c8c0a48cf44 chopper_aggressor  draw [10, 10, 9, 7, 10]  arm 2nd 3 3 1 3 @1  3rd 2 3 0 3 @111 (funding 110 turns, idle max arm/resident [6, 0] after horizon [0, 80])  resident 2nd 3 3 0 3 @1  own 172 vs 200  telemetry 0
  OK  21d2746745cd7896 harvester          draw [5, 7, 3, 2, 9]  arm 2nd 2 2 1 3 @10  3rd 2 3 0 3 @162 (funding 152 turns, idle max arm/resident [1, 54] after horizon [0, 50])  resident 2nd 2 2 0 3 @10  own 108 vs 92  telemetry 0
  OK  2d8f315778eba2a8 chopper_aggressor  draw [3, 4, 2, 10, 9]  arm 2nd 1 2 1 2 @20  3rd - @- (funding None turns, idle max arm/resident [7, 19] after horizon [0, 50])  resident 2nd 1 2 0 2 @20  own 103 vs 124  telemetry 0
  OK  879f73412b531333 harvester          draw [6, 6, 4, 4, 6]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @116 (funding 115 turns, idle max arm/resident [0, 2] after horizon [0, 50])  resident 2nd 2 2 0 2 @1  own 108 vs 108  telemetry 0
  OK  80385f5fdcac43f7 chopper_aggressor  draw [2, 7, 8, 6, 10]  arm 2nd 2 2 1 3 @14  3rd 2 3 0 3 @74 (funding 60 turns, idle max arm/resident [0, 0] after horizon [0, 50])  resident 2nd 2 2 0 3 @14  own 160 vs 154  telemetry 0
