maps from the slice local_claude_1/third-troll/smoke-maps-seed0.jsonl: 24
  OK  7b515d6db8085355 harvester          draw [2, 3, 8, 8, 4]  arm 2nd 1 2 1 1 @18  3rd 2 3 0 3 @132 (funding 114 turns, idle max arm/resident [2, 0] after horizon [0, 0])  plants 15 (first @68)  resident 2nd 1 2 0 1 @18  own 248 vs 154  telemetry 0
  OK  64b1d4b14f026f9f chopper_aggressor  draw [7, 8, 6, 6, 6]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @76 (funding 75 turns, idle max arm/resident [2, 0] after horizon [0, 50])  plants 12 (first @4)  resident 2nd 2 2 0 2 @1  own 156 vs 130  telemetry 0
  OK  c84154d29ea19fbc harvester          draw [10, 2, 2, 2, 6]  arm 2nd 3 1 1 3 @10  3rd 2 3 0 3 @92 (funding 82 turns, idle max arm/resident [0, 2] after horizon [0, 50])  plants 5 (first @40)  resident 2nd 3 1 0 3 @10  own 116 vs 60  telemetry 0
  OK  b086e0e6163a45ac chopper_aggressor  draw [3, 4, 4, 4, 7]  arm 2nd 1 2 1 2 @8  3rd 2 3 0 3 @120 (funding 112 turns, idle max arm/resident [6, 0] after horizon [0, 80])  plants 7 (first @36)  resident 2nd 1 2 0 2 @8  own 124 vs 96  telemetry 0
  OK  89e906123ff36a86 harvester          draw [7, 7, 10, 10, 8]  arm 2nd 2 2 1 3 @14  3rd 2 3 0 3 @96 (funding 82 turns, idle max arm/resident [5, 0] after horizon [0, 0])  plants 19 (first @18)  resident 2nd 2 2 0 3 @14  own 256 vs 212  telemetry 0
  OK  a6062948c27575a8 chopper_aggressor  draw [7, 5, 6, 3, 3]  arm 2nd 3 2 1 1 @21  3rd 2 3 0 2 @117 (funding 96 turns, idle max arm/resident [6, 0] after horizon [0, 80])  plants 9 (first @79)  resident 2nd 3 2 0 1 @21  own 136 vs 116  telemetry 0
  OK  50bcce5e7ae4a14c harvester          draw [5, 2, 6, 4, 8]  arm 2nd 2 2 1 2 @20  3rd 2 3 0 3 @81 (funding 61 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 9 (first @46)  resident 2nd 2 2 0 2 @20  own 152 vs 112  telemetry 0
  OK  daadbfd7e8423f86 chopper_aggressor  draw [7, 3, 2, 8, 4]  arm 2nd 2 1 1 2 @10  3rd 2 3 0 3 @130 (funding 120 turns, idle max arm/resident [2, 0] after horizon [0, 50])  plants 13 (first @16)  resident 2nd 2 1 0 2 @10  own 144 vs 100  telemetry 0
  OK  b6a5501980dd849a harvester          draw [6, 2, 4, 8, 6]  arm 2nd 2 1 1 2 @1  3rd 2 3 0 3 @110 (funding 109 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 12 (first @58)  resident 2nd 2 1 0 2 @1  own 160 vs 96  telemetry 0
  OK  19111bc9b90011bb chopper_aggressor  draw [5, 7, 3, 10, 5]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @98 (funding 97 turns, idle max arm/resident [1, 21] after horizon [0, 50])  plants 12 (first @8)  resident 2nd 2 2 0 2 @1  own 112 vs 121  telemetry 0
  OK  b91f102962423ddd harvester          draw [2, 2, 2, 3, 8]  arm 2nd 1 1 1 2 @1  3rd 2 3 0 2 @118 (funding 117 turns, idle max arm/resident [0, 0] after horizon [0, 71])  plants 7 (first @54)  resident 2nd 1 1 0 2 @1  own 176 vs 80  telemetry 0
