map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9866000	0	resident	116	120	-4	314	260	54	58	29	57	30	65	151	301	14	14	2	2	12	0	0	0	0	0	0	0
9866000	0	gold_adaptive	260	195	65	398	251	147	82	65	70	46	58	255	301	14	14	2	2	4	3	138	136	0	0	0	0
9866000	0	compact_gold	292	300	-8	412	333	79	87	73	69	72	80	276	301	14	14	2	2	4	0	19	22	0	0	0	0
9866000	0	norx_native_three	280	198	82	388	178	210	128	70	63	5	1	301	301	14	14	2	2	29	0	47	93	0	0	0	0
9866000	0	legend_balanced	312	300	12	412	322	90	78	78	69	71	72	301	301	14	14	2	2	0	0	151	74	0	0	0	0
9866000	0	mybot	240	194	46	348	266	82	36	60	65	42	34	259	301	14	14	2	2	3	3	141	31	0	0	0	0
9866000	1	resident	115	112	3	333	252	81	78	28	62	28	63	132	301	14	14	2	2	8	3	0	0	0	0	0	0
9866000	1	gold_adaptive	220	143	77	416	158	258	181	55	71	31	35	228	301	14	14	2	2	3	3	116	143	0	0	0	0
9866000	1	compact_gold	152	103	49	316	135	181	132	38	52	19	24	156	301	14	14	2	2	0	3	24	13	0	0	0	0
9866000	1	norx_native_three	269	140	129	388	238	150	21	67	63	4	4	301	301	14	14	2	2	4	3	18	6	0	0	0	0
9866000	1	legend_balanced	320	341	-21	421	194	227	248	80	71	82	27	301	301	14	14	2	2	4	3	93	242	0	0	0	0
9866000	1	mybot	264	207	57	353	286	67	10	66	68	34	28	270	301	14	14	2	2	4	3	213	69	0	0	0	0
9866001	0	resident	60	60	0	61	60	1	1	15	15	15	15	112	121	10	10	2	2	5	0	0	0	0	0	0	0
9866001	0	gold_adaptive	80	24	56	84	24	60	4	20	21	5	5	301	179	10	10	2	2	4	3	152	53	0	0	0	0
9866001	0	compact_gold	120	164	-44	144	207	-63	-19	30	36	40	51	253	286	10	10	2	2	4	3	13	27	0	0	0	0
9866001	0	norx_native_three	116	107	9	124	120	4	-5	29	31	1	2	301	301	10	10	2	2	4	3	38	32	0	0	0	0
9866001	0	legend_balanced	112	12	100	108	12	96	-4	28	27	0	0	250	256	10	10	2	2	4	3	88	91	0	0	0	0
9866001	0	mybot	128	71	57	156	138	18	-39	32	39	16	32	253	301	10	10	2	2	6	0	32	37	0	0	0	0
9866001	1	resident	60	64	-4	45	56	-11	-7	15	10	16	14	120	112	10	10	2	2	8	0	0	0	0	0	0	0
9866001	1	gold_adaptive	80	22	58	84	16	68	10	20	21	4	2	171	193	10	10	2	2	0	3	18	19	0	0	0	0
9866001	1	compact_gold	128	187	-59	132	199	-67	-8	32	33	46	49	263	283	10	10	2	2	4	3	17	11	0	0	0	0
9866001	1	norx_native_three	120	110	10	116	126	-10	-20	30	29	0	1	301	301	10	10	2	2	5	0	95	27	0	0	0	0
9866001	1	legend_balanced	124	12	112	116	11	105	-7	31	29	0	0	290	301	10	10	2	2	7	3	102	109	0	0	0	0
9866001	1	mybot	132	86	46	144	108	36	-10	33	36	20	25	285	301	10	10	2	2	3	3	45	37	0	0	0	0
9866002	0	resident	172	188	-16	168	160	8	24	43	42	47	40	261	301	10	10	2	2	90	4	0	0	0	0	0	0
9866002	0	gold_adaptive	196	126	70	217	382	-165	-235	49	54	31	95	301	301	10	10	2	2	62	0	119	154	0	0	0	0
9866002	0	compact_gold	225	356	-131	232	356	-124	7	56	57	87	87	301	301	10	10	2	2	3	3	41	41	0	0	0	0
9866002	0	norx_native_three	195	63	132	229	28	201	69	48	57	1	0	301	301	10	10	2	2	5	0	3	172	0	0	0	0
9866002	0	legend_balanced	234	131	103	247	116	131	28	58	61	15	8	301	301	10	10	2	2	3	0	64	42	0	0	0	0
9866002	0	mybot	226	158	68	222	133	89	21	56	55	14	15	301	301	10	10	2	2	3	3	42	129	0	0	0	0
9866002	1	resident	188	172	16	192	172	20	4	47	48	43	43	261	249	10	10	2	2	3	3	0	0	0	0	0	0
9866002	1	gold_adaptive	200	190	10	223	234	-11	-21	50	55	47	58	285	301	10	10	2	2	4	3	158	116	0	0	0	0
9866002	1	compact_gold	218	380	-162	231	361	-130	32	54	57	93	88	301	301	10	10	2	2	3	3	24	13	0	0	0	0
9866002	1	norx_native_three	197	233	-36	218	230	-12	24	49	54	46	45	301	301	10	10	2	2	5	4	99	101	0	0	0	0
9866002	1	legend_balanced	219	313	-94	234	291	-57	37	54	58	65	67	301	301	10	10	2	2	3	3	58	70	0	0	0	0
9866002	1	mybot	237	124	113	235	122	113	0	59	58	23	23	301	301	10	10	2	2	3	0	68	60	0	0	0	0
9866003	0	resident	206	239	-33	225	124	101	134	38	32	32	31	301	301	16	16	2	2	0	0	0	0	0	0	0	0
9866003	0	gold_adaptive	251	91	160	253	95	158	-2	29	32	19	23	301	301	16	16	2	2	23	0	67	45	0	0	0	0
9866003	0	compact_gold	248	394	-146	253	422	-169	-23	28	29	98	105	301	301	16	16	2	2	8	3	24	22	0	0	0	0
9866003	0	norx_native_three	231	43	188	234	40	194	6	23	24	3	3	301	301	16	16	2	2	3	0	0	0	0	0	0	0
9866003	0	legend_balanced	256	89	167	261	61	200	33	30	31	12	0	301	301	16	16	2	2	3	0	37	0	0	0	0	0
9866003	0	mybot	152	119	33	208	102	106	73	38	24	25	6	301	301	16	16	2	2	4	0	35	3	0	0	0	0
9866003	1	resident	192	253	-61	238	203	35	96	42	25	31	36	301	301	14	14	2	2	0	3	0	0	0	0	0	0
9866003	1	gold_adaptive	210	109	101	256	107	149	48	38	33	24	23	301	301	14	14	2	2	3	0	190	44	0	0	0	0
9866003	1	compact_gold	144	378	-234	257	410	-153	81	36	30	94	102	301	301	14	14	2	2	5	0	19	15	0	0	0	0
9866003	1	norx_native_three	228	113	115	249	55	194	79	29	28	4	4	301	301	14	14	2	2	6	0	25	0	0	0	0	0
9866003	1	legend_balanced	144	105	39	254	117	137	98	36	29	5	10	301	301	14	14	2	2	5	0	24	64	0	0	0	0
9866003	1	mybot	157	112	45	191	108	83	38	36	17	21	9	301	301	14	14	2	2	3	0	45	0	0	0	0	0
9866004	0	resident	225	223	2	224	224	0	-2	20	20	19	20	301	301	1	1	2	2	3	3	0	0	0	0	0	0
9866004	0	gold_adaptive	229	18	211	232	17	215	4	20	21	0	0	301	301	1	1	2	2	0	0	0	0	0	0	0	0
9866004	0	compact_gold	232	301	-69	230	281	-51	18	21	20	73	68	301	301	1	1	2	2	0	3	27	24	0	0	0	0
9866004	0	norx_native_three	237	57	180	237	62	175	-5	22	22	3	4	301	301	1	1	2	2	0	3	0	0	0	0	0	0
9866004	0	legend_balanced	236	73	163	236	74	162	-1	22	22	0	0	301	301	1	1	2	2	3	0	0	0	0	0	0	0
9866004	0	mybot	154	121	33	199	110	89	56	26	18	17	6	301	301	1	1	2	2	3	0	16	0	0	0	0	0
9866004	1	resident	223	225	-2	223	224	-1	1	19	19	20	20	301	301	1	1	2	2	3	0	0	0	0	0	0	0
9866004	1	gold_adaptive	225	18	207	229	17	212	5	19	20	0	0	301	301	1	1	2	2	3	0	4	1	0	0	0	0
9866004	1	compact_gold	232	285	-53	227	211	16	69	21	21	66	48	301	301	1	1	2	2	0	3	17	18	0	0	0	0
9866004	1	norx_native_three	221	56	165	224	162	62	-103	18	19	5	5	301	301	1	1	2	2	0	0	10	8	0	0	0	0
9866004	1	legend_balanced	232	75	157	232	68	164	7	21	21	0	0	301	301	1	1	2	2	3	0	0	0	0	0	0	0
9866004	1	mybot	144	145	-1	210	114	96	97	28	21	25	9	301	301	1	1	2	2	4	0	42	0	0	0	0	0
9866005	0	resident	48	48	0	100	100	0	0	11	25	11	25	301	186	13	13	2	2	237	0	0	0	0	0	0	0
9866005	0	gold_adaptive	116	41	75	116	37	79	4	29	29	8	7	217	196	13	13	2	2	3	0	40	15	0	0	0	0
