map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9866000	0	resident	116	120	-4	322	260	62	66	29	59	30	65	151	301	14	14	2	2	12	0	0	0	0	0	0	0
9866000	0	gold_adaptive	260	195	65	398	251	147	82	65	70	46	58	255	301	14	14	2	2	4	0	138	136	0	0	0	0
9866000	0	compact_gold	292	300	-8	412	333	79	87	73	69	72	80	276	301	14	14	2	2	4	0	19	22	0	0	0	0
9866000	0	norx_native_three	280	198	82	388	178	210	128	70	63	5	1	301	301	14	14	2	2	29	0	47	93	0	0	0	0
9866000	0	legend_balanced	312	300	12	412	322	90	78	78	69	71	72	301	301	14	14	2	2	0	0	151	74	0	0	0	0
9866000	0	mybot	240	194	46	349	266	83	37	60	65	42	34	259	301	14	14	2	2	3	0	141	31	0	0	0	0
9866000	1	resident	115	112	3	329	248	81	78	28	61	28	62	132	301	14	14	2	2	8	0	0	0	0	0	0	0
9866000	1	gold_adaptive	220	143	77	412	155	257	180	55	70	31	34	228	301	14	14	2	2	3	0	116	146	0	0	0	0
9866000	1	compact_gold	152	103	49	318	135	183	134	38	53	19	24	156	301	14	14	2	2	0	0	24	12	0	0	0	0
9866000	1	norx_native_three	269	140	129	388	238	150	21	67	63	4	4	301	301	14	14	2	2	4	0	18	6	0	0	0	0
9866000	1	legend_balanced	320	341	-21	421	194	227	248	80	71	82	27	301	301	14	14	2	2	4	0	93	242	0	0	0	0
9866000	1	mybot	264	207	57	353	286	67	10	66	68	34	28	270	301	14	14	2	2	4	0	213	69	0	0	0	0
9866001	0	resident	60	60	0	61	60	1	1	15	15	15	15	112	121	10	10	2	2	5	0	0	0	0	0	0	0
9866001	0	gold_adaptive	80	24	56	84	25	59	3	20	21	5	5	301	180	10	10	2	2	4	0	152	53	0	0	0	0
9866001	0	compact_gold	120	164	-44	120	109	11	55	30	30	40	26	253	233	10	10	2	2	4	0	13	11	0	0	0	0
9866001	0	norx_native_three	116	107	9	116	123	-7	-16	29	29	1	0	301	301	10	10	2	2	4	0	38	33	0	0	0	0
9866001	0	legend_balanced	112	12	100	108	11	97	-3	28	27	0	0	250	301	10	10	2	2	4	0	88	114	0	0	0	0
9866001	0	mybot	128	71	57	156	138	18	-39	32	39	16	32	253	301	10	10	2	2	6	0	32	37	0	0	0	0
9866001	1	resident	60	64	-4	45	56	-11	-7	15	10	16	14	120	112	10	10	2	2	8	0	0	0	0	0	0	0
9866001	1	gold_adaptive	80	22	58	84	16	68	10	20	21	4	2	171	193	10	10	2	2	0	0	18	19	0	0	0	0
9866001	1	compact_gold	128	187	-59	132	199	-67	-8	32	33	46	49	263	283	10	10	2	2	4	0	17	11	0	0	0	0
9866001	1	norx_native_three	120	110	10	116	126	-10	-20	30	29	0	1	301	301	10	10	2	2	5	0	95	27	0	0	0	0
9866001	1	legend_balanced	124	12	112	116	11	105	-7	31	29	0	0	290	301	10	10	2	2	7	0	102	109	0	0	0	0
9866001	1	mybot	132	86	46	144	107	37	-9	33	36	20	25	285	301	10	10	2	2	3	0	45	36	0	0	0	0
9866002	0	resident	172	188	-16	148	152	-4	12	43	37	47	38	261	243	10	10	2	2	90	0	0	1	0	0	0	0
9866002	0	gold_adaptive	196	126	70	217	382	-165	-235	49	54	31	95	301	301	10	10	2	2	62	0	119	154	0	0	0	0
9866002	0	compact_gold	225	356	-131	229	360	-131	0	56	56	87	88	301	301	10	10	2	2	3	0	41	36	0	0	0	0
9866002	0	norx_native_three	195	63	132	229	28	201	69	48	57	1	0	301	301	10	10	2	2	5	0	3	172	0	0	0	0
9866002	0	legend_balanced	234	131	103	247	116	131	28	58	61	15	8	301	301	10	10	2	2	3	0	64	42	0	0	0	0
9866002	0	mybot	226	158	68	219	111	108	40	56	54	14	16	301	301	10	10	2	2	3	0	42	181	0	0	0	0
9866002	1	resident	188	172	16	176	160	16	0	47	44	43	40	261	234	10	10	2	2	3	0	0	0	0	0	0	0
9866002	1	gold_adaptive	200	190	10	222	243	-21	-31	50	55	47	60	285	301	10	10	2	2	4	0	158	73	0	0	0	0
9866002	1	compact_gold	218	380	-162	231	345	-114	48	54	57	93	84	301	301	10	10	2	2	3	0	24	20	0	0	0	0
9866002	1	norx_native_three	197	233	-36	214	238	-24	12	49	53	46	42	301	301	10	10	2	2	5	0	99	94	0	0	0	0
9866002	1	legend_balanced	219	313	-94	234	291	-57	37	54	58	65	67	301	301	10	10	2	2	3	0	58	70	0	0	0	0
9866002	1	mybot	237	124	113	235	128	107	-6	59	58	23	25	301	301	10	10	2	2	3	0	68	55	0	0	0	0
9866003	0	resident	206	239	-33	225	124	101	134	38	32	32	31	301	301	16	16	2	2	0	0	0	0	0	0	0	0
9866003	0	gold_adaptive	251	91	160	253	95	158	-2	29	32	19	23	301	301	16	16	2	2	23	0	67	45	0	0	0	0
9866003	0	compact_gold	248	394	-146	244	419	-175	-29	28	27	98	104	301	301	16	16	2	2	8	0	24	25	0	0	0	0
9866003	0	norx_native_three	231	43	188	234	40	194	6	23	24	3	3	301	301	16	16	2	2	3	0	0	0	0	0	0	0
9866003	0	legend_balanced	256	89	167	261	61	200	33	30	31	12	0	301	301	16	16	2	2	3	0	37	0	0	0	0	0
9866003	0	mybot	152	119	33	208	102	106	73	38	24	25	6	301	301	16	16	2	2	4	0	35	3	0	0	0	0
9866003	1	resident	192	253	-61	238	203	35	96	42	25	31	36	301	301	14	14	2	2	0	0	0	0	0	0	0	0
9866003	1	gold_adaptive	210	109	101	256	107	149	48	38	33	24	23	301	301	14	14	2	2	3	0	190	44	0	0	0	0
9866003	1	compact_gold	144	378	-234	257	410	-153	81	36	30	94	102	301	301	14	14	2	2	5	0	19	15	0	0	0	0
9866003	1	norx_native_three	228	113	115	249	55	194	79	29	28	4	4	301	301	14	14	2	2	6	0	25	0	0	0	0	0
9866003	1	legend_balanced	144	105	39	254	117	137	98	36	29	5	10	301	301	14	14	2	2	5	0	24	64	0	0	0	0
9866003	1	mybot	157	112	45	191	108	83	38	36	17	21	9	301	301	14	14	2	2	3	0	45	0	0	0	0	0
9866004	0	resident	225	223	2	225	224	1	-1	20	19	19	20	301	301	1	1	2	2	3	0	0	0	0	0	0	0
9866004	0	gold_adaptive	229	18	211	232	17	215	4	20	21	0	0	301	301	1	1	2	2	0	0	0	0	0	0	0	0
9866004	0	compact_gold	232	301	-69	233	305	-72	-3	21	21	73	74	301	301	1	1	2	2	0	0	27	20	0	0	0	0
9866004	0	norx_native_three	237	57	180	237	57	180	0	22	22	3	3	301	301	1	1	2	2	0	0	0	0	0	0	0	0
9866004	0	legend_balanced	236	73	163	236	74	162	-1	22	22	0	0	301	301	1	1	2	2	3	0	0	0	0	0	0	0
9866004	0	mybot	154	121	33	199	110	89	56	26	18	17	6	301	301	1	1	2	2	3	0	16	0	0	0	0	0
9866004	1	resident	223	225	-2	223	224	-1	1	19	19	20	20	301	301	1	1	2	2	3	0	0	0	0	0	0	0
9866004	1	gold_adaptive	225	18	207	229	17	212	5	19	20	0	0	301	301	1	1	2	2	3	0	4	1	0	0	0	0
9866004	1	compact_gold	232	285	-53	220	204	16	69	21	19	66	44	301	301	1	1	2	2	0	0	17	10	0	0	0	0
9866004	1	norx_native_three	221	56	165	224	162	62	-103	18	19	5	5	301	301	1	1	2	2	0	0	10	8	0	0	0	0
9866004	1	legend_balanced	232	75	157	232	68	164	7	21	21	0	0	301	301	1	1	2	2	3	0	0	0	0	0	0	0
9866004	1	mybot	144	145	-1	210	114	96	97	28	21	25	9	301	301	1	1	2	2	4	0	42	0	0	0	0	0
9866005	0	resident	48	48	0	100	100	0	0	11	25	11	25	301	186	13	13	2	2	237	0	0	0	0	0	0	0
9866005	0	gold_adaptive	116	41	75	116	37	79	4	29	29	8	7	217	196	13	13	2	2	3	0	40	15	0	0	0	0
9866005	0	compact_gold	120	68	52	112	60	52	0	30	28	14	12	207	235	13	13	2	2	3	0	20	14	0	0	0	0
9866005	0	norx_native_three	188	57	131	163	36	127	-4	46	40	2	0	301	301	13	13	2	2	3	0	1	36	0	0	0	0
9866005	0	legend_balanced	176	65	111	173	48	125	14	43	42	6	5	301	301	13	13	2	2	3	0	6	14	0	0	0	0
9866005	0	mybot	172	114	58	148	86	62	4	43	37	25	18	301	268	13	13	2	2	4	0	32	3	0	0	0	0
9866005	1	resident	48	48	0	67	73	-6	-6	11	15	11	17	301	301	13	13	2	2	238	0	0	0	0	0	0	0
9866005	1	gold_adaptive	112	40	72	112	40	72	0	28	28	8	8	212	201	13	13	2	2	8	0	49	21	0	0	0	0
9866005	1	compact_gold	161	152	9	167	132	35	26	40	41	35	30	301	301	13	13	2	2	66	0	13	18	0	0	0	0
9866005	1	norx_native_three	144	30	114	148	43	105	-9	36	37	1	1	301	301	13	13	2	2	78	0	40	10	0	0	0	0
9866005	1	legend_balanced	180	52	128	162	65	97	-31	44	39	5	7	301	301	13	13	2	2	4	0	8	9	0	0	0	0
9866005	1	mybot	156	82	74	160	82	78	4	39	40	17	17	289	297	13	13	2	2	4	0	15	31	0	0	0	0
9866006	0	resident	108	108	0	108	112	-4	-4	27	27	27	28	194	211	1	1	2	2	11	0	0	1	0	0	0	0
9866006	0	gold_adaptive	144	38	106	144	44	100	-6	36	36	6	8	288	281	1	1	2	2	3	0	26	26	0	0	0	0
9866006	0	compact_gold	152	134	18	148	130	18	0	38	37	32	31	261	289	1	1	2	2	4	0	23	21	0	0	0	0
9866006	0	norx_native_three	160	53	107	163	31	132	25	39	39	5	1	301	301	1	1	2	2	5	0	1	78	0	0	0	0
9866006	0	legend_balanced	181	18	163	184	12	172	9	44	45	0	0	301	301	1	1	2	2	0	0	0	0	0	0	0	0
9866006	0	mybot	168	95	73	164	96	68	-5	41	40	21	21	301	301	1	1	2	2	4	0	15	16	0	0	0	0
9866006	1	resident	108	108	0	104	120	-16	-16	27	26	27	30	194	229	1	1	2	2	0	0	0	0	0	0	0	0
9866006	1	gold_adaptive	144	38	106	144	33	111	5	36	36	6	5	267	283	1	1	2	2	3	0	17	19	0	0	0	0
9866006	1	compact_gold	164	146	18	187	149	38	20	41	46	35	36	286	301	1	1	2	2	3	0	23	24	0	0	0	0
9866006	1	norx_native_three	156	44	112	161	44	117	5	38	39	3	4	301	301	1	1	2	2	3	0	1	1	0	0	0	0
9866006	1	legend_balanced	163	26	137	180	21	159	22	40	44	0	0	301	301	1	1	2	2	3	0	0	0	0	0	0	0
9866006	1	mybot	163	104	59	161	89	72	13	40	39	23	20	301	301	1	1	2	2	4	0	24	22	0	0	0	0
9866007	0	resident	164	168	-4	176	168	8	12	41	44	42	42	180	187	16	16	2	2	3	0	0	0	0	0	0	0
9866007	0	gold_adaptive	304	213	91	362	309	53	-38	76	90	53	77	283	301	16	16	2	2	4	0	152	93	0	0	0	0
9866007	0	compact_gold	284	229	55	352	269	83	28	71	87	54	64	260	301	16	16	2	2	3	0	9	12	0	0	0	0
9866007	0	norx_native_three	304	88	216	315	82	233	17	76	78	9	6	301	301	16	16	2	2	6	0	414	436	0	0	0	0
9866007	0	legend_balanced	319	349	-30	339	328	11	41	79	84	86	80	301	301	16	16	2	2	44	0	78	87	0	0	0	0
9866007	0	mybot	349	152	197	371	139	232	35	87	92	29	26	301	301	16	16	2	2	3	0	51	35	0	0	0	0
9866007	1	resident	168	164	4	184	172	12	8	42	46	41	43	180	190	16	16	2	2	4	0	0	0	0	0	0	0
9866007	1	gold_adaptive	354	317	37	339	249	90	53	88	84	79	62	301	301	16	16	2	2	3	0	112	158	0	0	0	0
9866007	1	compact_gold	260	221	39	244	229	15	-24	65	61	52	54	266	261	16	16	2	2	3	0	27	19	0	0	0	0
9866007	1	norx_native_three	321	197	124	355	118	237	113	80	88	32	17	301	301	16	16	2	2	4	0	173	243	0	0	0	0
9866007	1	legend_balanced	325	369	-44	331	346	-15	29	81	82	88	81	301	301	16	16	2	2	4	0	47	68	0	0	0	0
9866007	1	mybot	323	140	183	380	147	233	50	80	94	29	24	301	301	16	16	2	2	4	0	17	14	0	0	0	0
9866008	0	resident	184	172	12	188	176	12	0	46	47	43	44	226	218	1	1	2	2	3	0	0	0	0	0	0	0
9866008	0	gold_adaptive	248	43	205	244	38	206	1	62	61	7	6	299	282	1	1	2	2	6	0	7	39	0	0	0	0
9866008	0	compact_gold	224	116	108	212	114	98	-10	56	53	27	26	213	231	1	1	2	2	0	0	29	19	0	0	0	0
9866008	0	norx_native_three	290	145	145	377	55	322	177	71	93	1	2	301	301	1	1	2	2	9	0	61	22	0	0	0	0
9866008	0	legend_balanced	307	78	229	307	64	243	14	75	76	10	6	301	301	1	1	2	2	47	0	51	38	0	0	0	0
9866008	0	mybot	220	134	86	244	138	106	20	55	61	32	33	264	301	1	1	2	2	7	0	28	32	0	0	0	0
9866008	1	resident	172	184	-12	174	168	6	18	43	43	46	42	226	194	1	1	2	2	29	0	0	1	0	0	0	0
9866008	1	gold_adaptive	248	43	205	218	59	159	-46	62	54	7	11	298	301	1	1	2	2	4	0	44	22	0	0	0	0
9866008	1	compact_gold	236	143	93	228	143	85	-8	59	57	34	34	248	254	1	1	2	2	6	0	33	34	0	0	0	0
9866008	1	norx_native_three	298	147	151	352	135	217	66	73	86	2	4	301	301	1	1	2	2	50	0	19	26	0	0	0	0
9866008	1	legend_balanced	287	103	184	316	83	233	49	70	78	2	0	301	301	1	1	2	2	38	0	49	48	0	0	0	0
9866008	1	mybot	264	227	37	268	195	73	36	66	67	54	46	299	301	1	1	2	2	4	0	32	27	0	0	0	0
9866009	0	resident	184	188	-4	172	184	-12	-8	46	43	47	46	197	194	14	14	2	2	3	0	0	0	0	0	0	0
9866009	0	gold_adaptive	296	292	4	277	147	130	126	73	69	72	36	301	301	14	14	2	2	8	0	171	299	0	0	0	0
9866009	0	compact_gold	264	242	22	264	238	26	4	66	66	57	56	271	281	14	14	2	2	4	0	27	31	0	0	0	0
9866009	0	norx_native_three	278	127	151	256	132	124	-27	68	62	1	1	301	301	14	14	2	2	3	0	7	24	0	0	0	0
9866009	0	legend_balanced	337	314	23	301	277	24	1	83	74	73	66	301	301	14	14	2	2	4	0	90	128	0	0	0	0
9866009	0	mybot	318	207	111	301	217	84	-27	78	74	48	50	301	301	14	14	2	2	4	0	118	117	0	0	0	0
9866009	1	resident	184	184	0	172	168	4	4	46	43	46	42	193	189	14	14	2	2	0	0	0	0	0	0	0	0
9866009	1	gold_adaptive	252	113	139	288	159	129	-10	63	72	23	39	253	301	14	14	2	2	3	0	44	221	0	0	0	0
9866009	1	compact_gold	296	340	-44	299	292	7	51	73	73	82	70	301	301	14	14	2	2	4	0	18	14	0	0	0	0
9866009	1	norx_native_three	262	110	152	261	120	141	-11	64	63	3	3	301	301	14	14	2	2	5	0	12	39	0	0	0	0
9866009	1	legend_balanced	298	237	61	314	303	11	-50	73	77	56	67	301	301	14	14	2	2	4	0	136	82	0	0	0	0
9866009	1	mybot	312	286	26	303	244	59	33	77	74	68	55	301	301	14	14	2	2	4	0	109	77	0	0	0	0
9866010	0	resident	116	116	0	124	116	8	8	29	31	29	29	150	162	14	14	2	2	6	0	0	0	0	0	0	0
9866010	0	gold_adaptive	164	76	88	168	80	88	0	41	42	16	17	301	237	14	14	2	2	8	0	135	49	0	0	0	0
9866010	0	compact_gold	208	150	58	180	130	50	-8	52	45	36	31	231	208	14	14	2	2	4	0	24	29	0	0	0	0
9866010	0	norx_native_three	256	30	226	240	25	215	-11	64	60	1	1	301	301	14	14	2	2	7	0	74	92	0	0	0	0
9866010	0	legend_balanced	337	48	289	314	19	295	6	84	78	8	0	301	301	14	14	2	2	5	0	19	0	0	0	0	0
9866010	0	mybot	256	133	123	276	127	149	26	64	69	30	28	301	301	14	14	2	2	6	0	22	28	0	0	0	0
9866010	1	resident	120	124	-4	128	120	8	12	30	32	31	30	161	152	14	14	2	2	7	0	0	0	0	0	0	0
