map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9865000	0	resident	164	160	4	168	172	-4	-8	41	42	40	43	182	219	1	1	2	2	0	0	0	0	0	0	0	0
9865000	0	gold_adaptive	228	68	160	228	61	167	7	57	57	16	14	266	301	1	1	2	2	4	0	92	234	0	0	0	0
9865000	0	compact_gold	299	229	70	302	271	31	-39	74	75	54	65	301	301	1	1	2	2	8	0	12	22	0	0	0	0
9865000	0	norx_native_three	290	106	184	294	45	249	65	71	72	3	6	301	301	1	1	2	2	7	0	64	223	0	0	0	0
9865000	0	legend_balanced	302	357	-55	285	295	-10	45	74	70	87	69	301	301	1	1	2	2	4	0	66	72	0	0	0	0
9865000	0	mybot	252	195	57	253	198	55	-2	63	63	46	46	301	301	1	1	2	2	4	0	35	21	0	0	0	0
9865000	1	resident	160	164	-4	148	172	-24	-20	40	37	41	43	182	199	1	1	2	2	0	0	0	0	0	0	0	0
9865000	1	gold_adaptive	232	88	144	216	68	148	4	58	54	20	16	268	301	1	1	2	2	5	0	105	339	0	0	0	0
9865000	1	compact_gold	299	338	-39	273	355	-82	-43	74	67	82	86	301	301	1	1	2	2	4	0	19	16	0	0	0	0
9865000	1	norx_native_three	284	85	199	239	27	212	13	70	58	12	0	301	301	1	1	2	2	7	0	232	436	0	0	0	0
9865000	1	legend_balanced	281	110	171	257	351	-94	-265	69	63	15	85	301	301	1	1	2	2	4	0	28	90	0	0	0	0
9865000	1	mybot	232	222	10	255	198	57	47	58	63	51	47	301	301	1	1	2	2	4	0	39	27	0	0	0	0
9865001	0	resident	128	128	0	94	108	-14	-14	32	21	32	27	123	132	12	12	2	2	3	0	0	0	0	0	0	0
9865001	0	gold_adaptive	288	321	-33	248	173	75	108	72	62	80	43	285	253	12	12	2	2	4	0	146	182	0	0	0	0
9865001	0	compact_gold	188	184	4	228	240	-12	-16	47	57	43	57	198	227	12	12	2	2	5	0	20	12	0	0	0	0
9865001	0	norx_native_three	282	55	227	285	45	240	13	70	71	1	1	301	301	12	12	2	2	6	0	44	1	0	0	0	0
9865001	0	legend_balanced	304	284	20	310	274	36	16	76	77	65	59	301	301	12	12	2	2	6	0	66	89	0	0	0	0
9865001	0	mybot	212	171	41	196	131	65	24	53	49	36	24	231	209	12	12	2	2	4	0	68	77	0	0	0	0
9865001	1	resident	128	128	0	128	136	-8	-8	32	32	32	34	123	154	12	12	2	2	0	0	0	2	0	0	0	0
9865001	1	gold_adaptive	240	241	-1	220	149	71	72	60	55	60	37	242	211	12	12	2	2	5	0	131	75	0	0	0	0
9865001	1	compact_gold	176	156	20	176	156	20	0	44	44	36	36	188	181	12	12	2	2	3	0	28	21	0	0	0	0
