map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9864000	0	resident	176	176	0	152	176	-24	-24	44	38	44	44	245	271	16	16	2	2	24	0	0	0	0	0	0	0
9864000	0	gold_adaptive	187	72	115	186	60	126	11	46	46	15	12	301	301	16	16	2	2	115	0	43	66	0	0	0	0
9864000	0	compact_gold	176	180	-4	160	152	8	12	44	40	39	32	229	211	16	16	2	2	7	3	31	37	0	0	0	0
9864000	0	norx_native_three	202	148	54	209	180	29	-25	48	49	1	1	301	301	16	16	2	2	41	3	114	79	0	0	0	0
9864000	0	legend_balanced	250	113	137	251	105	146	9	60	60	8	6	301	301	16	16	2	2	44	0	35	36	0	0	0	0
9864000	0	mybot	259	107	152	223	123	100	-52	63	53	17	15	301	301	16	16	2	2	8	3	328	255	0	0	0	0
9864000	1	resident	176	176	0	168	192	-24	-24	44	42	44	48	245	281	16	16	2	2	4	0	0	0	0	0	0	0
9864000	1	gold_adaptive	204	88	116	200	92	108	-8	51	50	19	20	290	276	16	16	2	2	5	3	80	66	0	0	0	0
9864000	1	compact_gold	184	162	22	168	166	2	-20	46	42	35	36	228	291	16	16	2	2	6	3	34	45	0	0	0	0
9864000	1	norx_native_three	205	108	97	207	115	92	-5	49	49	2	1	301	301	16	16	2	2	3	0	7	16	0	0	0	0
9864000	1	legend_balanced	241	96	145	222	160	62	-83	58	53	9	28	301	301	16	16	2	2	4	0	50	64	0	0	0	0
9864000	1	mybot	276	182	94	282	160	122	28	67	68	32	24	301	301	16	16	2	2	4	3	156	115	0	0	0	0
9864001	0	resident	164	164	0	160	160	0	0	41	40	41	40	215	204	14	14	2	2	0	3	0	0	0	0	0	0
9864001	0	gold_adaptive	204	90	114	202	99	103	-11	51	50	22	24	282	299	14	14	2	2	3	0	140	143	0	0	0	0
9864001	0	compact_gold	230	372	-142	228	361	-133	9	56	55	90	87	301	301	14	14	2	2	3	0	42	33	0	0	0	0
9864001	0	norx_native_three	226	105	121	222	46	176	55	55	53	6	0	301	301	14	14	2	2	3	0	8	128	0	0	0	0
9864001	0	legend_balanced	238	341	-103	227	271	-44	59	58	55	80	57	301	301	14	14	2	2	4	0	74	74	0	0	0	0
9864001	0	mybot	224	204	20	222	185	37	17	56	55	47	43	301	301	14	14	2	2	3	0	40	42	0	0	0	0
9864001	1	resident	164	164	0	153	152	1	1	41	38	41	38	215	206	14	14	2	2	0	0	0	0	0	0	0	0
