map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9863000	0	resident	124	127	-3	144	152	-8	-5	31	36	31	38	126	165	5	5	2	2	3	3	0	0	0	0	0	0
9863000	0	gold_adaptive	216	84	132	216	65	151	19	54	54	20	14	183	206	5	5	2	2	5	3	61	95	0	0	0	0
9863000	0	compact_gold	224	156	68	228	145	83	15	56	57	35	32	196	196	5	5	2	2	4	3	23	13	0	0	0	0
9863000	0	norx_native_three	272	78	194	232	110	122	-72	68	58	16	24	237	181	5	5	2	2	4	3	284	30	0	0	0	0
9863000	0	legend_balanced	324	105	219	276	56	220	1	81	69	26	14	301	301	5	5	2	2	3	0	128	269	0	0	0	0
9863000	0	mybot	312	184	128	296	197	99	-29	78	74	40	41	291	301	5	5	2	2	3	3	141	62	0	0	0	0
9863000	1	resident	127	124	3	140	144	-4	-7	31	35	31	36	126	158	5	5	2	2	0	3	0	0	0	0	0	0
9863000	1	gold_adaptive	216	60	156	220	75	145	-11	54	55	13	17	186	183	5	5	2	2	5	0	76	42	0	0	0	0
9863000	1	compact_gold	208	130	78	216	142	74	-4	52	54	28	31	182	210	5	5	2	2	11	3	17	5	0	0	0	0
9863000	1	norx_native_three	312	36	276	309	59	250	-26	78	77	4	0	301	301	5	5	2	2	8	0	472	128	0	0	0	0
9863000	1	legend_balanced	337	269	68	336	147	189	121	84	84	64	34	301	301	5	5	2	2	6	4	100	152	0	0	0	0
9863000	1	mybot	336	220	116	284	144	140	24	84	71	48	28	297	250	5	5	2	2	3	3	137	114	0	0	0	0
9863001	0	resident	144	144	0	152	156	-4	-4	36	38	36	39	153	172	12	12	2	2	10	3	0	0	0	0	0	0
9863001	0	gold_adaptive	212	80	132	212	45	167	35	53	53	16	11	235	260	12	12	2	2	0	3	64	153	0	0	0	0
9863001	0	compact_gold	212	151	61	304	233	71	10	53	76	35	56	230	301	12	12	2	2	3	0	18	13	0	0	0	0
9863001	0	norx_native_three	256	69	187	263	77	186	-1	64	65	1	0	301	301	12	12	2	2	4	0	14	9	0	0	0	0
9863001	0	legend_balanced	312	287	25	332	251	81	56	78	83	69	55	301	301	12	12	2	2	3	0	66	38	0	0	0	0
9863001	0	mybot	308	122	186	256	87	169	-17	77	64	27	18	301	301	12	12	2	2	5	3	28	23	0	0	0	0
9863001	1	resident	144	144	0	131	144	-13	-13	36	32	36	36	153	301	12	12	2	2	10	3	0	0	0	0	0	0
9863001	1	gold_adaptive	208	73	135	204	57	147	12	52	51	14	14	219	231	12	12	2	2	0	0	31	39	0	0	0	0
9863001	1	compact_gold	228	179	49	288	266	22	-27	57	72	42	64	233	301	12	12	2	2	4	3	18	17	0	0	0	0
9863001	1	norx_native_three	324	44	280	341	64	277	-3	81	85	2	2	301	301	12	12	2	2	5	0	10	3	0	0	0	0
9863001	1	legend_balanced	292	274	18	292	281	11	-7	73	73	66	66	301	301	12	12	2	2	4	3	95	99	0	0	0	0
9863001	1	mybot	304	107	197	262	89	173	-24	76	65	23	19	301	301	12	12	2	2	3	3	46	42	0	0	0	0
9863002	0	resident	156	164	-8	184	184	0	8	39	46	41	46	202	233	16	16	2	2	6	3	0	0	0	0	0	0
9863002	0	gold_adaptive	208	86	122	208	102	106	-16	52	52	18	22	269	301	16	16	2	2	4	0	36	63	0	0	0	0
9863002	0	compact_gold	261	233	28	249	181	68	40	64	62	56	43	301	301	16	16	2	2	5	3	25	22	0	0	0	0
9863002	0	norx_native_three	286	103	183	299	46	253	70	70	73	4	2	301	301	16	16	2	2	7	3	14	8	0	0	0	0
9863002	0	legend_balanced	278	89	189	298	70	228	39	68	73	9	11	301	301	16	16	2	2	4	3	14	31	0	0	0	0
9863002	0	mybot	226	94	132	243	94	149	17	55	59	19	19	301	301	16	16	2	2	3	0	104	69	0	0	0	0
9863002	1	resident	164	156	8	172	180	-8	-16	41	43	39	45	202	250	16	16	2	2	0	3	0	0	0	0	0	0
9863002	1	gold_adaptive	196	105	91	220	105	115	24	49	55	23	23	288	297	16	16	2	2	3	3	91	100	0	0	0	0
9863002	1	compact_gold	230	249	-19	230	289	-59	-40	56	56	60	70	301	301	16	16	2	2	3	3	29	23	0	0	0	0
9863002	1	norx_native_three	280	64	216	247	33	214	-2	68	60	2	1	301	301	16	16	2	2	3	3	12	116	0	0	0	0
9863002	1	legend_balanced	256	74	182	282	46	236	54	62	69	6	2	301	301	16	16	2	2	6	0	13	4	0	0	0	0
9863002	1	mybot	223	94	129	219	82	137	8	54	53	18	17	301	301	16	16	2	2	4	3	107	118	0	0	0	0
9863003	0	resident	108	104	4	104	112	-8	-12	27	26	26	28	149	172	1	1	2	2	3	3	0	0	0	0	0	0
9863003	0	gold_adaptive	164	38	126	164	34	130	4	41	41	6	5	260	259	1	1	2	2	0	3	9	15	0	0	0	0
9863003	0	compact_gold	176	262	-86	185	255	-70	16	44	46	64	62	301	301	1	1	2	2	5	3	17	9	0	0	0	0
9863003	0	norx_native_three	174	121	53	174	132	42	-11	43	43	0	1	301	301	1	1	2	2	4	0	73	65	0	0	0	0
9863003	0	legend_balanced	194	29	165	226	11	215	50	48	56	4	0	301	301	1	1	2	2	40	3	18	0	0	0	0	0
9863003	0	mybot	209	118	91	203	106	97	6	52	50	26	25	301	301	1	1	2	2	4	3	19	17	0	0	0	0
9863003	1	resident	104	108	-4	100	104	-4	0	26	25	27	26	149	223	1	1	2	2	3	0	0	0	0	0	0	0
9863003	1	gold_adaptive	164	34	130	164	34	130	0	41	41	5	5	260	252	1	1	2	2	3	3	10	24	0	0	0	0
9863003	1	compact_gold	184	150	34	190	170	20	-14	46	47	36	41	301	301	1	1	2	2	3	3	13	10	0	0	0	0
9863003	1	norx_native_three	173	85	88	169	76	93	5	43	41	0	1	301	301	1	1	2	2	4	3	14	29	0	0	0	0
9863003	1	legend_balanced	214	11	203	226	16	210	7	53	56	0	0	301	301	1	1	2	2	5	0	0	0	0	0	0	0
9863003	1	mybot	194	100	94	196	90	106	12	48	48	23	21	301	301	1	1	2	2	3	0	31	41	0	0	0	0
9863004	0	resident	124	124	0	128	136	-8	-8	31	32	31	34	180	221	1	1	2	2	0	3	0	0	0	0	0	0
9863004	0	gold_adaptive	171	18	153	165	22	143	-10	42	39	0	1	301	299	1	1	2	2	3	0	0	24	0	0	0	0
9863004	0	compact_gold	180	362	-182	168	337	-169	13	44	40	88	82	301	301	1	1	2	2	3	4	18	19	0	0	0	0
9863004	0	norx_native_three	174	89	85	172	80	92	7	43	42	1	4	301	301	1	1	2	2	6	0	0	0	0	0	0	0
9863004	0	legend_balanced	181	66	115	183	67	116	1	44	45	0	0	301	301	1	1	2	2	5	0	0	0	0	0	0	0
9863004	0	mybot	160	131	29	170	146	24	-5	39	41	18	23	301	301	1	1	2	2	3	3	31	35	0	0	0	0
9863004	1	resident	124	124	0	132	136	-4	-4	31	33	31	34	180	251	1	1	2	2	0	3	0	0	0	0	0	0
9863004	1	gold_adaptive	174	33	141	173	21	152	11	42	42	4	1	300	301	1	1	2	2	0	0	0	0	0	0	0	0
9863004	1	compact_gold	168	389	-221	176	410	-234	-13	41	43	95	100	301	301	1	1	2	2	3	0	19	16	0	0	0	0
9863004	1	norx_native_three	173	92	81	169	84	85	4	43	41	2	2	301	301	1	1	2	2	3	0	0	0	0	0	0	0
9863004	1	legend_balanced	177	58	119	177	59	118	-1	43	43	0	0	301	301	1	1	2	2	5	0	0	0	0	0	0	0
9863004	1	mybot	177	140	37	175	151	24	-13	43	43	14	21	301	301	1	1	2	2	3	3	8	28	0	0	0	0
9863005	0	resident	128	128	0	126	124	2	2	32	31	32	31	163	179	1	1	2	2	4	0	0	0	0	0	0	0
9863005	0	gold_adaptive	180	31	149	168	19	149	0	45	41	4	1	301	300	1	1	2	2	4	0	4	26	0	0	0	0
