map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9854000	0	resident	104	100	4	96	104	-8	-12	26	24	25	26	185	204	1	1	2	2	0	0	0	0	0	0	0	0
9854000	0	gold_adaptive	100	32	68	75	8	67	-1	25	16	6	0	217	200	1	1	2	2	3	3	0	0	0	0	0	0
9854000	0	compact_gold	100	32	68	75	8	67	-1	25	16	6	0	217	200	1	1	2	2	3	3	0	0	0	0	0	0
9854000	0	norx_native_three	119	62	57	119	62	57	0	28	28	0	0	301	301	1	1	2	2	7	7	8	8	0	0	0	0
9854000	0	legend_balanced	180	63	117	188	63	125	8	44	46	7	7	301	301	1	1	2	2	5	5	2	2	0	0	0	0
9854000	0	mybot	140	77	63	116	79	37	-26	34	27	17	18	301	301	1	1	2	2	3	3	36	42	0	0	0	0
9854000	1	resident	100	104	-4	108	116	-8	-4	25	27	26	29	185	209	1	1	2	2	0	0	0	0	0	0	0	0
9854000	1	gold_adaptive	108	44	64	67	8	59	-5	27	14	9	0	231	214	1	1	2	2	3	9	4	16	0	0	0	0
9854000	1	compact_gold	108	44	64	67	8	59	-5	27	14	9	0	231	214	1	1	2	2	3	9	4	16	0	0	0	0
9854000	1	norx_native_three	140	71	69	131	71	60	-9	34	31	0	0	301	301	1	1	2	2	4	4	6	6	0	0	0	0
9854000	1	legend_balanced	180	48	132	193	49	144	12	44	47	2	2	301	301	1	1	2	2	3	3	3	1	0	0	0	0
9854000	1	mybot	128	71	57	133	78	55	-2	31	32	16	17	301	301	1	1	2	2	3	3	21	26	0	0	0	0
9854001	0	resident	176	176	0	119	152	-33	-33	29	29	29	26	301	301	1	1	2	2	76	132	0	0	0	0	0	0
9854001	0	gold_adaptive	270	102	168	154	75	79	-89	30	36	21	14	301	301	1	1	2	2	3	3	22	24	0	0	0	0
9854001	0	compact_gold	300	317	-17	197	265	-68	-51	38	48	77	64	301	301	1	1	2	2	3	5	25	27	0	0	0	0
9854001	0	norx_native_three	300	134	166	197	98	99	-67	38	48	2	2	301	301	1	1	2	2	3	4	27	75	0	0	0	0
9854001	0	legend_balanced	297	90	207	202	91	111	-96	37	49	4	9	301	301	1	1	2	2	3	4	41	67	0	0	0	0
9854001	0	mybot	223	134	89	177	93	84	-5	45	43	21	17	301	301	1	1	2	2	4	4	36	64	0	0	0	0
9854001	1	resident	176	176	0	122	180	-58	-58	29	30	29	35	301	301	1	1	2	2	77	135	0	0	0	0	0	0
9854001	1	gold_adaptive	259	92	167	148	57	91	-76	30	35	18	11	301	301	1	1	2	2	3	47	21	131	0	0	0	0
9854001	1	compact_gold	292	278	14	188	233	-45	-59	36	45	67	56	301	301	1	1	2	2	0	30	23	27	0	0	0	0
9854001	1	norx_native_three	297	110	187	171	103	68	-119	37	41	1	1	301	301	1	1	2	2	3	49	22	11	0	0	0	0
9854001	1	legend_balanced	308	93	215	195	104	91	-124	40	47	3	13	301	301	1	1	2	2	0	39	24	63	0	0	0	0
9854001	1	mybot	194	124	70	178	135	43	-27	38	42	19	23	301	301	1	1	2	2	48	30	44	47	0	0	0	0
