map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9854000	0	resident	104	100	4	80	92	-12	-16	26	20	25	23	185	203	1	35	2	2	0	8	0	0	0	0	0	0
9854000	0	gold_adaptive	100	32	68	92	36	56	-12	25	23	6	7	217	264	1	35	2	2	3	4	0	7	0	0	0	0
9854000	0	compact_gold	100	32	68	92	36	56	-12	25	23	6	7	217	264	1	35	2	2	3	4	0	7	0	0	0	0
9854000	0	norx_native_three	119	62	57	111	18	93	36	28	26	0	0	301	301	1	35	2	2	7	6	8	168	0	0	0	0
9854000	0	legend_balanced	180	63	117	98	78	20	-97	44	22	7	12	301	301	1	35	2	2	5	4	2	29	0	0	0	0
9854000	0	mybot	140	77	63	94	79	15	-48	34	21	17	18	301	301	1	35	2	2	3	4	36	18	0	0	0	0
9854000	1	resident	100	104	-4	72	104	-32	-28	25	18	26	26	185	211	1	35	2	2	0	3	0	0	0	0	0	0
9854000	1	gold_adaptive	108	44	64	92	57	35	-29	27	23	9	12	231	274	1	35	2	2	3	4	4	11	0	0	0	0
9854000	1	compact_gold	108	44	64	92	57	35	-29	27	23	9	12	231	274	1	35	2	2	3	4	4	11	0	0	0	0
9854000	1	norx_native_three	140	71	69	138	79	59	-10	34	33	0	8	301	301	1	35	2	2	4	7	6	51	0	0	0	0
9854000	1	legend_balanced	180	48	132	112	53	59	-73	44	26	2	2	301	301	1	35	2	2	3	3	3	3	0	0	0	0
9854000	1	mybot	128	71	57	104	76	28	-29	31	25	16	16	301	301	1	35	2	2	3	4	21	10	0	0	0	0
9854001	0	resident	176	176	0	144	171	-27	-27	29	36	29	27	301	272	1	24	2	2	76	3	0	0	0	0	0	0
9854001	0	gold_adaptive	270	102	168	170	83	87	-81	30	42	21	16	301	301	1	24	2	2	3	21	22	18	0	0	0	0
9854001	0	compact_gold	300	317	-17	204	249	-45	-28	38	50	77	60	301	301	1	24	2	2	3	3	25	17	0	0	0	0
9854001	0	norx_native_three	300	134	166	200	109	91	-75	38	49	2	0	301	301	1	24	2	2	3	6	27	33	0	0	0	0
9854001	0	legend_balanced	297	90	207	229	219	10	-197	37	56	4	50	301	301	1	24	2	2	3	4	41	129	0	0	0	0
9854001	0	mybot	223	134	89	202	109	93	4	45	49	21	17	301	301	1	24	2	2	4	5	36	71	0	0	0	0
9854001	1	resident	176	176	0	152	169	-17	-17	29	38	29	27	301	297	1	19	2	2	77	9	0	0	0	0	0	0
9854001	1	gold_adaptive	259	92	167	162	72	90	-77	30	40	18	14	301	301	1	19	2	2	3	55	21	77	0	0	0	0
9854001	1	compact_gold	292	278	14	190	297	-107	-121	36	46	67	72	301	301	1	19	2	2	0	34	23	14	0	0	0	0
9854001	1	norx_native_three	297	110	187	195	117	78	-109	37	47	1	1	301	301	1	19	2	2	3	29	22	16	0	0	0	0
9854001	1	legend_balanced	308	93	215	207	104	103	-112	40	50	3	11	301	301	1	19	2	2	0	35	24	7	0	0	0	0
9854001	1	mybot	194	124	70	219	131	88	18	38	54	19	24	301	301	1	19	2	2	48	7	44	40	0	0	0	0
9854002	0	resident	188	192	-4	156	172	-16	-12	47	39	48	43	221	190	6	1	2	2	4	0	0	0	0	0	0	0
9854002	0	gold_adaptive	216	69	147	188	64	124	-23	54	47	14	13	250	251	6	1	2	2	5	0	63	74	0	0	0	0
9854002	0	compact_gold	228	144	84	272	193	79	-5	57	68	31	44	229	300	6	1	2	2	4	3	21	46	0	0	0	0
9854002	0	norx_native_three	293	63	230	233	79	154	-76	72	56	2	1	301	301	6	1	2	2	5	6	1	15	0	0	0	0
9854002	0	legend_balanced	298	91	207	257	97	160	-47	73	62	6	12	301	301	6	1	2	2	4	8	21	19	0	0	0	0
9854002	0	mybot	188	114	74	216	145	71	-3	47	54	24	32	222	263	6	1	2	2	3	9	30	13	0	0	0	0
9854002	1	resident	192	188	4	156	160	-4	-8	48	39	47	40	221	202	6	1	2	2	3	10	0	0	0	0	0	0
9854002	1	gold_adaptive	208	66	142	188	73	115	-27	52	47	14	15	229	271	6	1	2	2	3	12	98	65	0	0	0	0
9854002	1	compact_gold	328	193	135	290	205	85	-50	82	71	44	47	292	301	6	1	2	2	6	3	34	20	0	0	0	0
9854002	1	norx_native_three	310	111	199	236	91	145	-54	76	57	2	1	301	301	6	1	2	2	6	4	9	25	0	0	0	0
9854002	1	legend_balanced	318	89	229	268	76	192	-37	78	65	5	6	301	301	6	1	2	2	4	13	44	21	0	0	0	0
9854002	1	mybot	208	147	61	200	103	97	36	52	50	32	20	230	266	6	1	2	2	3	4	11	92	0	0	0	0
9854003	0	resident	132	129	3	160	164	-4	-7	32	40	31	41	301	203	10	10	2	2	175	3	0	0	0	0	0	0
9854003	0	gold_adaptive	296	286	10	216	69	147	137	74	54	71	17	292	263	10	10	2	2	4	3	156	221	0	0	0	0
9854003	0	compact_gold	284	241	43	230	273	-43	-86	71	55	57	65	275	301	10	10	2	2	4	4	20	43	0	0	0	0
9854003	0	norx_native_three	320	59	261	230	35	195	-66	79	54	0	2	301	301	10	10	2	2	3	33	111	4	0	0	0	0
9854003	0	legend_balanced	323	275	48	269	277	-8	-56	80	65	62	65	301	301	10	10	2	2	3	4	72	56	0	0	0	0
9854003	0	mybot	316	150	166	247	145	102	-64	77	58	22	24	301	301	10	10	2	2	41	35	116	152	0	0	0	0
9854003	1	resident	129	132	-3	144	164	-20	-17	31	36	32	41	301	178	10	10	2	2	175	0	0	0	0	0	0	0
9854003	1	gold_adaptive	287	260	27	204	73	131	104	68	51	65	15	262	252	10	10	2	2	3	0	151	65	0	0	0	0
9854003	1	compact_gold	264	253	11	236	329	-93	-104	66	57	60	79	277	301	10	10	2	2	0	3	25	20	0	0	0	0
9854003	1	norx_native_three	301	72	229	242	64	178	-51	74	58	3	7	301	301	10	10	2	2	4	3	4	162	0	0	0	0
9854003	1	legend_balanced	296	317	-21	268	270	-2	19	73	65	75	63	301	301	10	10	2	2	3	3	92	107	0	0	0	0
9854003	1	mybot	332	137	195	256	176	80	-115	82	62	17	25	301	301	10	10	2	2	5	4	150	111	0	0	0	0
9854004	0	resident	108	108	0	125	124	1	1	27	31	27	31	174	206	16	30	2	2	3	0	0	0	0	0	0	0
9854004	0	gold_adaptive	144	85	59	180	222	-42	-101	36	45	18	55	301	298	16	30	2	2	3	3	21	78	0	0	0	0
9854004	0	compact_gold	191	248	-57	208	268	-60	-3	47	51	60	65	301	301	16	30	2	2	4	4	16	38	0	0	0	0
9854004	0	norx_native_three	160	130	30	178	76	102	72	39	43	2	1	301	301	16	30	2	2	4	6	14	0	0	0	0	0
9854004	0	legend_balanced	186	97	89	210	217	-7	-96	46	51	12	45	301	301	16	30	2	2	3	4	39	40	0	0	0	0
9854004	0	mybot	184	98	86	208	118	90	4	45	51	20	25	301	301	16	30	2	2	4	4	48	78	0	0	0	0
9854004	1	resident	108	112	-4	116	112	4	8	27	28	28	28	185	181	16	30	2	2	4	3	0	0	0	0	0	0
9854004	1	gold_adaptive	152	79	73	172	96	76	3	38	43	17	23	267	276	16	30	2	2	3	0	41	75	0	0	0	0
9854004	1	compact_gold	172	248	-76	203	300	-97	-21	43	49	60	73	283	301	16	30	2	2	4	0	29	35	0	0	0	0
9854004	1	norx_native_three	144	138	6	176	186	-10	-16	36	44	30	43	247	264	16	30	2	2	3	0	84	48	0	0	0	0
9854004	1	legend_balanced	183	95	88	204	196	8	-80	45	50	1	45	301	301	16	30	2	2	4	3	1	94	0	0	0	0
9854004	1	mybot	183	100	83	197	105	92	9	45	48	19	18	301	301	16	30	2	2	4	4	44	19	0	0	0	0
9854005	0	resident	168	160	8	168	152	16	8	42	42	40	38	210	205	1	1	2	2	0	10	0	0	0	0	0	0
9854005	0	gold_adaptive	208	32	176	196	50	146	-30	52	49	4	11	298	273	1	1	2	2	12	3	41	158	0	0	0	0
9854005	0	compact_gold	208	187	21	231	294	-63	-84	52	56	43	70	263	301	1	1	2	2	4	37	41	32	0	0	0	0
9854005	0	norx_native_three	327	160	167	199	114	85	-82	80	48	4	3	301	301	1	1	2	2	28	35	23	50	0	0	0	0
9854005	0	legend_balanced	250	149	101	266	127	139	38	61	65	0	0	301	301	1	1	2	2	36	39	1	3	0	0	0	0
9854005	0	mybot	240	171	69	196	156	40	-29	60	49	38	36	293	295	1	1	2	2	4	3	48	12	0	0	0	0
9854005	1	resident	152	156	-4	164	172	-8	-4	38	41	39	43	199	211	1	1	2	2	9	4	0	0	0	0	0	0
9854005	1	gold_adaptive	208	40	168	180	62	118	-50	52	45	6	13	283	234	1	1	2	2	4	4	9	90	0	0	0	0
9854005	1	compact_gold	234	301	-67	231	276	-45	22	58	56	72	66	301	301	1	1	2	2	4	36	37	41	0	0	0	0
9854005	1	norx_native_three	230	94	136	185	102	83	-53	56	45	0	1	301	301	1	1	2	2	38	54	15	39	0	0	0	0
9854005	1	legend_balanced	262	70	192	272	93	179	-13	64	67	0	6	301	301	1	1	2	2	6	5	48	47	0	0	0	0
9854005	1	mybot	216	195	21	216	207	9	-12	54	54	40	44	301	301	1	1	2	2	80	82	20	19	0	0	0	0
9854006	0	resident	148	136	12	88	140	-52	-64	37	22	34	35	188	211	10	35	2	2	8	3	0	0	0	0	0	0
9854006	0	gold_adaptive	148	70	78	112	72	40	-38	37	28	15	15	228	296	10	35	2	2	5	3	59	97	0	0	0	0
9854006	0	compact_gold	140	121	19	120	140	-20	-39	35	30	10	19	279	294	10	35	2	2	40	3	105	16	0	0	0	0
9854006	0	norx_native_three	192	28	164	141	57	84	-80	47	34	0	1	301	301	10	35	2	2	8	8	123	29	0	0	0	0
9854006	0	legend_balanced	231	109	122	157	98	59	-63	57	38	0	19	301	301	10	35	2	2	4	5	10	59	0	0	0	0
9854006	0	mybot	241	113	128	107	105	2	-126	60	25	22	21	301	301	10	35	2	2	5	9	59	65	0	0	0	0
9854006	1	resident	136	148	-12	92	156	-64	-52	34	23	37	39	188	222	10	35	2	2	0	3	0	0	0	0	0	0
9854006	1	gold_adaptive	152	66	86	112	91	21	-65	38	28	14	20	301	282	10	35	2	2	4	4	27	26	0	0	0	0
9854006	1	compact_gold	148	136	12	128	163	-35	-47	37	32	14	39	272	295	10	35	2	2	36	4	79	43	0	0	0	0
9854006	1	norx_native_three	198	42	156	125	122	3	-153	48	30	3	7	301	301	10	35	2	2	3	0	0	65	0	0	0	0
9854006	1	legend_balanced	234	116	118	153	94	59	-59	58	37	0	11	301	301	10	35	2	2	8	4	10	16	0	0	0	0
9854006	1	mybot	245	113	132	120	99	21	-111	61	29	23	21	301	301	10	35	2	2	5	15	82	83	0	0	0	0
9854007	0	resident	160	160	0	184	184	0	0	40	46	40	46	191	229	10	1	2	2	0	3	0	0	0	0	0	0
9854007	0	gold_adaptive	260	97	163	218	43	175	12	65	53	21	6	293	301	10	1	2	2	3	3	63	9	0	0	0	0
9854007	0	compact_gold	294	240	54	253	240	13	-41	72	61	57	57	300	301	10	1	2	2	3	3	22	34	0	0	0	0
9854007	0	norx_native_three	261	162	99	217	163	54	-45	64	52	0	5	301	301	10	1	2	2	7	0	99	47	0	0	0	0
9854007	0	legend_balanced	335	108	227	247	105	142	-85	82	59	12	2	301	301	10	1	2	2	3	0	39	81	0	0	0	0
9854007	0	mybot	248	185	63	212	173	39	-24	61	53	36	38	301	300	10	1	2	2	4	3	44	31	0	0	0	0
9854007	1	resident	160	160	0	168	224	-56	-56	40	42	40	56	191	239	10	1	2	2	0	3	0	0	0	0	0	0
9854007	1	gold_adaptive	216	96	120	217	46	171	51	54	53	21	7	273	301	10	1	2	2	0	3	55	10	0	0	0	0
9854007	1	compact_gold	289	312	-23	228	284	-56	-33	71	55	75	68	301	301	10	1	2	2	0	4	30	27	0	0	0	0
9854007	1	norx_native_three	270	134	136	224	159	65	-71	66	54	3	5	301	301	10	1	2	2	9	3	29	59	0	0	0	0
9854007	1	legend_balanced	289	105	184	236	111	125	-59	71	57	14	13	301	301	10	1	2	2	3	3	40	32	0	0	0	0
9854007	1	mybot	258	183	75	209	172	37	-38	64	52	40	36	300	301	10	1	2	2	3	3	33	41	0	0	0	0
#latency	baseline	26431	448159	5417590
#latency	candidate	26871	374010	786018
