map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9854000	0	resident	104	100	4	104	96	8	4	26	26	25	24	185	199	1	1	2	2	0	0	0	0	0	0	0	0
9854000	0	gold_adaptive	100	32	68	104	28	76	8	25	26	6	5	217	252	1	1	2	2	3	24	0	7	0	0	0	0
9854000	0	compact_gold	100	32	68	104	28	76	8	25	26	6	5	217	252	1	1	2	2	3	24	0	7	0	0	0	0
9854000	0	norx_native_three	119	62	57	119	62	57	0	28	28	0	0	301	301	1	1	2	2	7	7	8	8	0	0	0	0
9854000	0	legend_balanced	180	63	117	188	63	125	8	44	46	7	7	301	301	1	1	2	2	5	5	2	2	0	0	0	0
9854000	0	mybot	140	77	63	124	78	46	-17	34	30	17	18	301	301	1	1	2	2	3	7	36	27	0	0	0	0
9854000	1	resident	100	104	-4	104	104	0	4	25	26	26	26	185	194	1	1	2	2	0	0	0	0	0	0	0	0
9854000	1	gold_adaptive	108	44	64	108	44	64	0	27	27	9	9	231	231	1	1	2	2	3	3	4	4	0	0	0	0
9854000	1	compact_gold	108	44	64	108	44	64	0	27	27	9	9	231	231	1	1	2	2	3	3	4	4	0	0	0	0
9854000	1	norx_native_three	140	71	69	131	71	60	-9	34	31	0	0	301	301	1	1	2	2	4	4	6	6	0	0	0	0
9854000	1	legend_balanced	180	48	132	193	49	144	12	44	47	2	2	301	301	1	1	2	2	3	3	3	1	0	0	0	0
9854000	1	mybot	128	71	57	137	79	58	1	31	33	16	18	301	301	1	1	2	2	3	3	21	24	0	0	0	0
9854001	0	resident	176	176	0	158	172	-14	-14	29	39	29	33	301	301	1	1	2	2	76	8	0	0	0	0	0	0
9854001	0	gold_adaptive	270	102	168	174	87	87	-81	30	43	21	17	301	301	1	1	2	2	3	3	22	18	0	0	0	0
9854001	0	compact_gold	300	317	-17	197	265	-68	-51	38	48	77	64	301	301	1	1	2	2	3	5	25	27	0	0	0	0
9854001	0	norx_native_three	300	134	166	197	98	99	-67	38	48	2	2	301	301	1	1	2	2	3	4	27	75	0	0	0	0
9854001	0	legend_balanced	297	90	207	202	91	111	-96	37	49	4	9	301	301	1	1	2	2	3	4	41	67	0	0	0	0
9854001	0	mybot	223	134	89	177	93	84	-5	45	43	21	17	301	301	1	1	2	2	4	4	36	64	0	0	0	0
9854001	1	resident	176	176	0	168	171	-3	-3	29	42	29	33	301	301	1	1	2	2	77	8	0	0	0	0	0	0
9854001	1	gold_adaptive	259	92	167	148	65	83	-84	30	35	18	13	301	299	1	1	2	2	3	45	21	122	0	0	0	0
9854001	1	compact_gold	292	278	14	188	233	-45	-59	36	45	67	56	301	301	1	1	2	2	0	30	23	27	0	0	0	0
9854001	1	norx_native_three	297	110	187	171	103	68	-119	37	41	1	1	301	301	1	1	2	2	3	49	22	11	0	0	0	0
9854001	1	legend_balanced	308	93	215	195	104	91	-124	40	47	3	13	301	301	1	1	2	2	0	39	24	63	0	0	0	0
9854001	1	mybot	194	124	70	178	135	43	-27	38	42	19	23	301	301	1	1	2	2	48	30	44	47	0	0	0	0
9854002	0	resident	188	192	-4	204	192	12	16	47	51	48	48	221	228	6	6	2	2	4	8	0	0	0	0	0	0
9854002	0	gold_adaptive	216	69	147	216	77	139	-8	54	54	14	16	250	258	6	6	2	2	5	5	63	67	0	0	0	0
9854002	0	compact_gold	228	144	84	292	178	114	30	57	73	31	39	229	274	6	6	2	2	4	3	21	9	0	0	0	0
9854002	0	norx_native_three	293	63	230	304	65	239	9	72	74	2	1	301	301	6	6	2	2	5	4	1	6	0	0	0	0
9854002	0	legend_balanced	298	91	207	337	104	233	26	73	82	6	11	301	301	6	6	2	2	4	5	21	12	0	0	0	0
9854002	0	mybot	188	114	74	228	115	113	39	47	57	24	24	222	285	6	6	2	2	3	42	30	27	0	0	0	0
9854002	1	resident	192	188	4	184	180	4	0	48	46	47	45	221	223	6	6	2	2	3	6	0	0	0	0	0	0
9854002	1	gold_adaptive	208	66	142	220	66	154	12	52	55	14	14	229	279	6	6	2	2	3	12	98	85	0	0	0	0
9854002	1	compact_gold	328	193	135	352	212	140	5	82	87	44	48	292	301	6	6	2	2	6	5	34	14	0	0	0	0
9854002	1	norx_native_three	310	111	199	302	111	191	-8	76	74	2	2	301	301	6	6	2	2	6	11	9	9	0	0	0	0
9854002	1	legend_balanced	318	89	229	314	89	225	-4	78	77	5	5	301	301	6	6	2	2	4	3	44	35	0	0	0	0
9854002	1	mybot	208	147	61	208	146	62	1	52	52	32	32	230	278	6	6	2	2	3	41	11	28	0	0	0	0
9854003	0	resident	132	129	3	148	156	-8	-11	32	37	31	39	301	265	10	10	2	2	175	89	0	0	0	0	0	0
9854003	0	gold_adaptive	296	286	10	269	250	19	9	74	64	71	62	292	300	10	10	2	2	4	37	156	255	0	0	0	0
9854003	0	compact_gold	284	241	43	272	229	43	0	71	68	57	54	275	268	10	10	2	2	4	4	20	30	0	0	0	0
9854003	0	norx_native_three	320	59	261	326	59	267	6	79	80	0	0	301	301	10	10	2	2	3	3	111	111	0	0	0	0
9854003	0	legend_balanced	323	275	48	320	329	-9	-57	80	78	62	73	301	301	10	10	2	2	3	40	72	59	0	0	0	0
9854003	0	mybot	316	150	166	344	171	173	7	77	85	22	24	301	301	10	10	2	2	41	3	116	84	0	0	0	0
9854003	1	resident	129	132	-3	152	156	-4	-1	31	38	32	39	301	268	10	10	2	2	175	91	0	0	0	0	0	0
9854003	1	gold_adaptive	287	260	27	336	360	-24	-51	68	83	65	90	262	301	10	10	2	2	3	3	151	163	0	0	0	0
9854003	1	compact_gold	264	253	11	306	305	1	-10	66	76	60	73	277	300	10	10	2	2	0	3	25	19	0	0	0	0
9854003	1	norx_native_three	301	72	229	307	68	239	10	74	75	3	2	301	301	10	10	2	2	4	4	4	6	0	0	0	0
9854003	1	legend_balanced	296	317	-21	310	315	-5	16	73	76	75	73	301	301	10	10	2	2	3	0	92	111	0	0	0	0
9854003	1	mybot	332	137	195	332	133	199	4	82	82	17	16	301	301	10	10	2	2	5	5	150	144	0	0	0	0
9854004	0	resident	108	108	0	112	116	-4	-4	27	28	27	29	174	211	16	1	2	2	3	13	0	0	0	0	0	0
9854004	0	gold_adaptive	144	85	59	136	97	39	-20	36	34	18	21	301	301	16	1	2	2	3	4	21	32	0	0	0	0
9854004	0	compact_gold	191	248	-57	162	304	-142	-85	47	39	60	74	301	301	16	1	2	2	4	4	16	11	0	0	0	0
9854004	0	norx_native_three	160	130	30	135	173	-38	-68	39	32	2	0	301	301	16	1	2	2	4	7	14	13	0	0	0	0
9854004	0	legend_balanced	186	97	89	165	82	83	-6	46	40	12	3	301	301	16	1	2	2	3	5	39	37	0	0	0	0
