map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9854000	0	resident	104	100	4	104	96	8	4	26	26	25	24	185	199	1	1	2	2	0	0	0	0	0	0	0	0
9854000	0	gold_adaptive	100	32	68	100	32	68	0	25	25	6	6	217	217	1	1	2	2	3	3	0	0	0	0	0	0
9854000	0	compact_gold	100	32	68	100	32	68	0	25	25	6	6	217	217	1	1	2	2	3	3	0	0	0	0	0	0
9854000	0	norx_native_three	119	62	57	124	65	59	2	28	30	0	2	301	301	1	1	2	2	7	7	8	8	0	0	0	0
9854000	0	legend_balanced	180	63	117	188	71	117	0	44	46	7	9	301	301	1	1	2	2	5	7	2	6	0	0	0	0
9854000	0	mybot	140	77	63	142	83	59	-4	34	35	17	18	301	301	1	1	2	2	3	3	36	21	0	0	0	0
9854000	1	resident	100	104	-4	104	104	0	4	25	26	26	26	185	194	1	1	2	2	0	0	0	0	0	0	0	0
9854000	1	gold_adaptive	108	44	64	100	28	72	8	27	25	9	5	231	230	1	1	2	2	3	0	4	1	0	0	0	0
9854000	1	compact_gold	108	44	64	100	28	72	8	27	25	9	5	231	230	1	1	2	2	3	0	4	1	0	0	0	0
9854000	1	norx_native_three	140	71	69	118	112	6	-63	34	28	0	4	301	301	1	1	2	2	4	13	6	11	0	0	0	0
9854000	1	legend_balanced	180	48	132	137	47	90	-42	44	33	2	4	301	301	1	1	2	2	3	3	3	14	0	0	0	0
9854000	1	mybot	128	71	57	127	74	53	-4	31	31	16	17	301	301	1	1	2	2	3	3	21	15	0	0	0	0
9854001	0	resident	176	176	0	140	193	-53	-53	29	35	29	28	301	293	1	1	2	2	76	8	0	0	0	0	0	0
9854001	0	gold_adaptive	270	102	168	147	93	54	-114	30	36	21	20	301	301	1	1	2	2	3	8	22	54	0	0	0	0
9854001	0	compact_gold	300	317	-17	176	297	-121	-104	38	43	77	72	301	301	1	1	2	2	3	4	25	41	0	0	0	0
9854001	0	norx_native_three	300	134	166	181	128	53	-113	38	44	2	8	301	301	1	1	2	2	3	3	27	24	0	0	0	0
9854001	0	legend_balanced	297	90	207	163	76	87	-120	37	39	4	2	301	301	1	1	2	2	3	21	41	21	0	0	0	0
9854001	0	mybot	223	134	89	139	114	25	-64	45	32	21	20	301	301	1	1	2	2	4	8	36	104	0	0	0	0
9854001	1	resident	176	176	0	113	153	-40	-40	29	27	29	26	301	298	1	1	2	2	77	90	0	0	0	0	0	0
9854001	1	gold_adaptive	259	92	167	135	86	49	-118	30	32	18	17	301	301	1	1	2	2	3	60	21	28	0	0	0	0
9854001	1	compact_gold	292	278	14	139	205	-66	-80	36	34	67	49	301	301	1	1	2	2	0	65	23	26	0	0	0	0
9854001	1	norx_native_three	297	110	187	149	121	28	-159	37	35	1	0	301	301	1	1	2	2	3	20	22	15	0	0	0	0
9854001	1	legend_balanced	308	93	215	161	98	63	-152	40	38	3	5	301	301	1	1	2	2	0	31	24	5	0	0	0	0
9854001	1	mybot	194	124	70	149	131	18	-52	38	35	19	24	301	301	1	1	2	2	48	39	44	31	0	0	0	0
9854002	0	resident	188	192	-4	160	192	-32	-28	47	40	48	48	221	204	6	6	2	2	4	0	0	0	0	0	0	0
9854002	0	gold_adaptive	216	69	147	208	56	152	5	54	52	14	11	250	232	6	6	2	2	5	0	63	72	0	0	0	0
9854002	0	compact_gold	228	144	84	232	134	98	14	57	58	31	28	229	237	6	6	2	2	4	3	21	21	0	0	0	0
9854002	0	norx_native_three	293	63	230	290	91	199	-31	72	71	2	3	301	301	6	6	2	2	5	8	1	21	0	0	0	0
9854002	0	legend_balanced	298	91	207	310	88	222	15	73	76	6	9	301	301	6	6	2	2	4	10	21	23	0	0	0	0
9854002	0	mybot	188	114	74	192	114	78	4	47	48	24	24	222	213	6	6	2	2	3	3	30	17	0	0	0	0
9854002	1	resident	192	188	4	172	164	8	4	48	43	47	41	221	199	6	6	2	2	3	5	0	0	0	0	0	0
9854002	1	gold_adaptive	208	66	142	196	73	123	-19	52	49	14	15	229	220	6	6	2	2	3	3	98	58	0	0	0	0
9854002	1	compact_gold	328	193	135	320	211	109	-26	82	80	44	48	292	283	6	6	2	2	6	4	34	14	0	0	0	0
9854002	1	norx_native_three	310	111	199	292	97	195	-4	76	72	2	1	301	301	6	6	2	2	6	4	9	14	0	0	0	0
9854002	1	legend_balanced	318	89	229	318	83	235	6	78	78	5	12	301	301	6	6	2	2	4	0	44	51	0	0	0	0
9854002	1	mybot	208	147	61	208	147	61	0	52	52	32	32	230	230	6	6	2	2	3	3	11	11	0	0	0	0
9854003	0	resident	132	129	3	132	152	-20	-23	32	33	31	38	301	181	10	10	2	2	175	3	0	0	0	0	0	0
9854003	0	gold_adaptive	296	286	10	228	50	178	168	74	57	71	12	292	234	10	10	2	2	4	3	156	165	0	0	0	0
9854003	0	compact_gold	284	241	43	252	241	11	-32	71	63	57	57	275	283	10	10	2	2	4	5	20	29	0	0	0	0
9854003	0	norx_native_three	320	59	261	257	53	204	-57	79	62	0	1	301	301	10	10	2	2	3	33	111	4	0	0	0	0
9854003	0	legend_balanced	323	275	48	297	257	40	-8	80	73	62	60	301	301	10	10	2	2	3	6	72	88	0	0	0	0
9854003	0	mybot	316	150	166	313	147	166	0	77	76	22	24	301	301	10	10	2	2	41	25	116	126	0	0	0	0
9854003	1	resident	129	132	-3	156	152	4	7	31	39	32	38	301	179	10	10	2	2	175	0	0	0	0	0	0	0
9854003	1	gold_adaptive	287	260	27	216	65	151	124	68	54	65	13	262	222	10	10	2	2	3	0	151	50	0	0	0	0
9854003	1	compact_gold	264	253	11	276	249	27	16	66	69	60	59	277	301	10	10	2	2	0	3	25	34	0	0	0	0
9854003	1	norx_native_three	301	72	229	244	52	192	-37	74	59	3	2	301	301	10	10	2	2	4	0	4	5	0	0	0	0
9854003	1	legend_balanced	296	317	-21	313	251	62	83	73	77	75	58	301	301	10	10	2	2	3	0	92	133	0	0	0	0
9854003	1	mybot	332	137	195	312	163	149	-46	82	77	17	24	301	301	10	10	2	2	5	4	150	151	0	0	0	0
9854004	0	resident	108	108	0	104	108	-4	-4	27	26	27	27	174	183	16	1	2	2	3	4	0	0	0	0	0	0
9854004	0	gold_adaptive	144	85	59	140	92	48	-11	36	35	18	19	301	266	16	1	2	2	3	4	21	42	0	0	0	0
9854004	0	compact_gold	191	248	-57	166	320	-154	-97	47	40	60	78	301	301	16	1	2	2	4	4	16	26	0	0	0	0
9854004	0	norx_native_three	160	130	30	142	83	59	29	39	34	2	0	301	301	16	1	2	2	4	6	14	0	0	0	0	0
9854004	0	legend_balanced	186	97	89	155	169	-14	-103	46	37	12	39	301	301	16	1	2	2	3	4	39	121	0	0	0	0
9854004	0	mybot	184	98	86	172	98	74	-12	45	41	20	20	301	301	16	1	2	2	4	4	48	71	0	0	0	0
9854004	1	resident	108	112	-4	112	108	4	8	27	28	28	27	185	196	16	1	2	2	4	0	0	0	0	0	0	0
9854004	1	gold_adaptive	152	79	73	164	161	3	-70	38	41	17	39	267	301	16	1	2	2	3	4	41	85	0	0	0	0
9854004	1	compact_gold	172	248	-76	164	289	-125	-49	43	40	60	70	283	301	16	1	2	2	4	0	29	27	0	0	0	0
