map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9854000	0	resident	104	100	4	104	96	8	4	26	26	25	24	185	199	1	1	2	2	0	0	0	0	0	0	0	0
9854000	0	gold_adaptive	100	32	68	100	32	68	0	25	25	6	6	217	217	1	1	2	2	3	0	0	0	0	0	0	0
9854000	0	compact_gold	100	32	68	100	32	68	0	25	25	6	6	217	217	1	1	2	2	3	0	0	0	0	0	0	0
9854000	0	norx_native_three	119	62	57	124	60	64	7	28	30	0	1	301	301	1	1	2	2	7	4	8	6	0	0	0	0
9854000	0	legend_balanced	180	63	117	192	66	126	9	44	47	7	8	301	301	1	1	2	2	5	0	2	5	0	0	0	0
9854000	0	mybot	140	77	63	128	82	46	-17	34	31	17	19	301	301	1	1	2	2	3	3	36	17	0	0	0	0
9854000	1	resident	100	104	-4	104	104	0	4	25	26	26	26	185	194	1	1	2	2	0	0	0	0	0	0	0	0
9854000	1	gold_adaptive	108	44	64	100	20	80	16	27	25	9	3	231	230	1	1	2	2	3	0	4	7	0	0	0	0
9854000	1	compact_gold	108	44	64	100	20	80	16	27	25	9	3	231	230	1	1	2	2	3	0	4	7	0	0	0	0
9854000	1	norx_native_three	140	71	69	120	47	73	4	34	29	0	1	301	301	1	1	2	2	4	4	6	4	0	0	0	0
9854000	1	legend_balanced	180	48	132	137	43	94	-38	44	33	2	3	301	301	1	1	2	2	3	3	3	12	0	0	0	0
9854000	1	mybot	128	71	57	124	82	42	-15	31	30	16	19	301	301	1	1	2	2	3	3	21	20	0	0	0	0
9854001	0	resident	176	176	0	132	147	-15	-15	29	33	29	25	301	258	1	1	2	2	76	4	0	0	0	0	0	0
9854001	0	gold_adaptive	270	102	168	157	91	66	-102	30	38	21	18	301	301	1	1	2	2	3	4	22	20	0	0	0	0
9854001	0	compact_gold	300	317	-17	185	293	-108	-91	38	45	77	71	301	301	1	1	2	2	3	3	25	16	0	0	0	0
9854001	0	norx_native_three	300	134	166	181	103	78	-88	38	44	2	0	301	301	1	1	2	2	3	0	27	59	0	0	0	0
9854001	0	legend_balanced	297	90	207	176	77	99	-108	37	43	4	3	301	301	1	1	2	2	3	0	41	45	0	0	0	0
9854001	0	mybot	223	134	89	63	138	-75	-164	45	13	21	25	301	301	1	1	2	2	4	3	36	36	0	0	0	0
9854001	1	resident	176	176	0	70	249	-179	-179	29	14	29	25	301	301	1	1	2	2	77	3	0	0	0	0	0	0
9854001	1	gold_adaptive	259	92	167	146	77	69	-98	30	35	18	15	301	301	1	1	2	2	3	0	21	64	0	0	0	0
9854001	1	compact_gold	292	278	14	150	205	-55	-69	36	36	67	49	301	301	1	1	2	2	0	3	23	26	0	0	0	0
9854001	1	norx_native_three	297	110	187	149	149	0	-187	37	35	1	1	301	301	1	1	2	2	3	0	22	26	0	0	0	0
9854001	1	legend_balanced	308	93	215	176	91	85	-130	40	42	3	3	301	301	1	1	2	2	0	0	24	20	0	0	0	0
9854001	1	mybot	194	124	70	149	140	9	-61	38	35	19	23	301	301	1	1	2	2	48	3	44	31	0	0	0	0
9854002	0	resident	188	192	-4	172	172	0	4	47	43	48	43	221	206	6	6	2	2	4	3	0	0	0	0	0	0
9854002	0	gold_adaptive	216	69	147	208	73	135	-12	54	52	14	15	250	245	6	6	2	2	5	3	63	58	0	0	0	0
9854002	0	compact_gold	228	144	84	248	158	90	6	57	62	31	34	229	249	6	6	2	2	4	3	21	20	0	0	0	0
9854002	0	norx_native_three	293	63	230	266	81	185	-45	72	65	2	6	301	301	6	6	2	2	5	4	1	23	0	0	0	0
9854002	0	legend_balanced	298	91	207	282	101	181	-26	73	69	6	10	301	301	6	6	2	2	4	0	21	33	0	0	0	0
9854002	0	mybot	188	114	74	204	122	82	8	47	51	24	26	222	234	6	6	2	2	3	3	30	12	0	0	0	0
9854002	1	resident	192	188	4	168	172	-4	-8	48	42	47	43	221	209	6	6	2	2	3	0	0	0	0	0	0	0
9854002	1	gold_adaptive	208	66	142	192	78	114	-28	52	48	14	16	229	226	6	6	2	2	3	7	98	57	0	0	0	0
9854002	1	compact_gold	328	193	135	332	188	144	9	82	83	44	42	292	301	6	6	2	2	6	4	34	19	0	0	0	0
9854002	1	norx_native_three	310	111	199	341	57	284	85	76	84	2	2	301	301	6	6	2	2	6	5	9	24	0	0	0	0
9854002	1	legend_balanced	318	89	229	261	99	162	-67	78	64	5	12	301	301	6	6	2	2	4	0	44	64	0	0	0	0
9854002	1	mybot	208	147	61	184	129	55	-6	52	46	32	28	230	229	6	6	2	2	3	3	11	9	0	0	0	0
9854003	0	resident	132	129	3	152	152	0	-3	32	38	31	38	301	185	10	10	2	2	175	0	0	0	0	0	0	0
9854003	0	gold_adaptive	296	286	10	232	66	166	156	74	58	71	16	292	245	10	10	2	2	4	0	156	167	0	0	0	0
9854003	0	compact_gold	284	241	43	260	257	3	-40	71	65	57	61	275	284	10	10	2	2	4	0	20	38	0	0	0	0
9854003	0	norx_native_three	320	59	261	275	57	218	-43	79	66	0	1	301	301	10	10	2	2	3	4	111	4	0	0	0	0
9854003	0	legend_balanced	323	275	48	315	318	-3	-51	80	77	62	74	301	301	10	10	2	2	3	3	72	56	0	0	0	0
9854003	0	mybot	316	150	166	276	123	153	-13	77	69	22	20	301	301	10	10	2	2	41	3	116	135	0	0	0	0
9854003	1	resident	129	132	-3	140	172	-32	-29	31	35	32	43	301	171	10	10	2	2	175	0	0	0	0	0	0	0
9854003	1	gold_adaptive	287	260	27	228	65	163	136	68	57	65	13	262	301	10	10	2	2	3	0	151	174	0	0	0	0
9854003	1	compact_gold	264	253	11	288	317	-29	-40	66	71	60	76	277	301	10	10	2	2	0	3	25	27	0	0	0	0
9854003	1	norx_native_three	301	72	229	276	115	161	-68	74	68	3	17	301	301	10	10	2	2	4	3	4	313	0	0	0	0
9854003	1	legend_balanced	296	317	-21	315	309	6	27	73	77	75	72	301	301	10	10	2	2	3	0	92	75	0	0	0	0
9854003	1	mybot	332	137	195	308	146	162	-33	82	76	17	17	301	301	10	10	2	2	5	0	150	164	0	0	0	0
9854004	0	resident	108	108	0	112	116	-4	-4	27	28	27	29	174	205	16	1	2	2	3	0	0	0	0	0	0	0
9854004	0	gold_adaptive	144	85	59	144	123	21	-38	36	36	18	30	301	287	16	1	2	2	3	3	21	112	0	0	0	0
9854004	0	compact_gold	191	248	-57	140	296	-156	-99	47	34	60	72	301	301	16	1	2	2	4	3	16	40	0	0	0	0
9854004	0	norx_native_three	160	130	30	130	64	66	36	39	31	2	6	301	301	16	1	2	2	4	0	14	0	0	0	0	0
9854004	0	legend_balanced	186	97	89	147	201	-54	-143	46	35	12	40	301	301	16	1	2	2	3	3	39	51	0	0	0	0
9854004	0	mybot	184	98	86	170	106	64	-22	45	41	20	21	301	301	16	1	2	2	4	0	48	57	0	0	0	0
9854004	1	resident	108	112	-4	120	116	4	8	27	30	28	29	185	204	16	1	2	2	4	0	0	0	0	0	0	0
9854004	1	gold_adaptive	152	79	73	154	217	-63	-136	38	37	17	54	267	297	16	1	2	2	3	0	41	131	0	0	0	0
9854004	1	compact_gold	172	248	-76	157	280	-123	-47	43	38	60	68	283	301	16	1	2	2	4	0	29	28	0	0	0	0
9854004	1	norx_native_three	144	138	6	139	155	-16	-22	36	33	30	0	247	301	16	1	2	2	3	3	84	6	0	0	0	0
9854004	1	legend_balanced	183	95	88	154	125	29	-59	45	37	1	26	301	301	16	1	2	2	4	3	1	93	0	0	0	0
9854004	1	mybot	183	100	83	154	114	40	-43	45	37	19	23	301	301	16	1	2	2	4	3	44	35	0	0	0	0
9854005	0	resident	168	160	8	168	148	20	12	42	42	40	37	210	220	1	1	2	2	0	0	0	0	0	0	0	0
9854005	0	gold_adaptive	208	32	176	188	85	103	-73	52	47	4	18	298	301	1	1	2	2	12	5	41	92	0	0	0	0
9854005	0	compact_gold	208	187	21	212	210	2	-19	52	53	43	48	263	287	1	1	2	2	4	4	41	33	0	0	0	0
