map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9854000	0	resident	104	100	4	84	112	-28	-32	26	21	25	28	185	219	1	35	2	2	0	0	0	0	0	0	0	0
9854000	0	gold_adaptive	100	32	68	23	121	-98	-166	25	2	6	28	217	301	1	35	2	2	3	0	0	10	0	0	0	0
9854000	0	compact_gold	100	32	68	23	121	-98	-166	25	2	6	28	217	301	1	35	2	2	3	0	0	10	0	0	0	0
9854000	0	norx_native_three	119	62	57	131	71	60	3	28	31	0	3	301	301	1	35	2	2	7	3	8	13	0	0	0	0
9854000	0	legend_balanced	180	63	117	94	74	20	-97	44	22	7	11	301	301	1	35	2	2	5	3	2	19	0	0	0	0
9854000	0	mybot	140	77	63	76	76	0	-63	34	16	17	17	301	301	1	35	2	2	3	3	36	11	0	0	0	0
9854000	1	resident	100	104	-4	84	88	-4	0	25	21	26	22	185	207	1	35	2	2	0	0	0	0	0	0	0	0
9854000	1	gold_adaptive	108	44	64	89	52	37	-27	27	22	9	11	231	301	1	35	2	2	3	0	4	12	0	0	0	0
9854000	1	compact_gold	108	44	64	89	52	37	-27	27	22	9	11	231	301	1	35	2	2	3	0	4	12	0	0	0	0
9854000	1	norx_native_three	140	71	69	127	95	32	-37	34	30	0	5	301	301	1	35	2	2	4	3	6	40	0	0	0	0
9854000	1	legend_balanced	180	48	132	98	63	35	-97	44	23	2	3	301	301	1	35	2	2	3	3	3	8	0	0	0	0
9854000	1	mybot	128	71	57	74	71	3	-54	31	16	16	16	301	301	1	35	2	2	3	3	21	17	0	0	0	0
9854001	0	resident	176	176	0	140	184	-44	-44	29	35	29	27	301	279	1	19	2	2	76	3	0	0	0	0	0	0
9854001	0	gold_adaptive	270	102	168	173	78	95	-73	30	43	21	15	301	301	1	19	2	2	3	0	22	36	0	0	0	0
9854001	0	compact_gold	300	317	-17	181	289	-108	-91	38	43	77	70	301	301	1	19	2	2	3	3	25	22	0	0	0	0
9854001	0	norx_native_three	300	134	166	172	132	40	-126	38	41	2	1	301	301	1	19	2	2	3	0	27	13	0	0	0	0
9854001	0	legend_balanced	297	90	207	213	142	71	-136	37	52	4	24	301	301	1	19	2	2	3	0	41	95	0	0	0	0
9854001	0	mybot	223	134	89	173	110	63	-26	45	42	21	22	301	301	1	19	2	2	4	3	36	89	0	0	0	0
9854001	1	resident	176	176	0	144	176	-32	-32	29	36	29	26	301	299	1	19	2	2	77	3	0	0	0	0	0	0
9854001	1	gold_adaptive	259	92	167	166	76	90	-77	30	40	18	14	301	301	1	19	2	2	3	3	21	26	0	0	0	0
9854001	1	compact_gold	292	278	14	191	329	-138	-152	36	46	67	80	301	301	1	19	2	2	0	0	23	21	0	0	0	0
9854001	1	norx_native_three	297	110	187	188	98	90	-97	37	45	1	0	301	301	1	19	2	2	3	0	22	10	0	0	0	0
9854001	1	legend_balanced	308	93	215	221	175	46	-169	40	53	3	33	301	301	1	19	2	2	0	3	24	73	0	0	0	0
9854001	1	mybot	194	124	70	212	124	88	18	38	51	19	25	301	301	1	19	2	2	48	4	44	32	0	0	0	0
9854002	0	resident	188	192	-4	164	172	-8	-4	47	41	48	43	221	202	6	6	2	2	4	3	0	0	0	0	0	0
9854002	0	gold_adaptive	216	69	147	196	77	119	-28	54	49	14	16	250	301	6	6	2	2	5	0	63	78	0	0	0	0
9854002	0	compact_gold	228	144	84	212	151	61	-23	57	53	31	32	229	245	6	6	2	2	4	3	21	13	0	0	0	0
9854002	0	norx_native_three	293	63	230	226	67	159	-71	72	55	2	1	301	301	6	6	2	2	5	3	1	6	0	0	0	0
9854002	0	legend_balanced	298	91	207	311	107	204	-3	73	76	6	11	301	301	6	6	2	2	4	0	21	17	0	0	0	0
9854002	0	mybot	188	114	74	200	129	71	-3	47	50	24	28	222	241	6	6	2	2	3	3	30	9	0	0	0	0
9854002	1	resident	192	188	4	172	188	-16	-20	48	43	47	47	221	203	6	6	2	2	3	3	0	0	0	0	0	0
9854002	1	gold_adaptive	208	66	142	200	61	139	-3	52	50	14	12	229	268	6	6	2	2	3	3	98	109	0	0	0	0
9854002	1	compact_gold	328	193	135	298	186	112	-23	82	73	44	42	292	301	6	6	2	2	6	4	34	35	0	0	0	0
9854002	1	norx_native_three	310	111	199	290	103	187	-12	76	71	2	1	301	301	6	6	2	2	6	3	9	9	0	0	0	0
9854002	1	legend_balanced	318	89	229	286	101	185	-44	78	70	5	11	301	301	6	6	2	2	4	0	44	32	0	0	0	0
9854002	1	mybot	208	147	61	228	138	90	29	52	57	32	30	230	245	6	6	2	2	3	3	11	11	0	0	0	0
9854003	0	resident	132	129	3	148	160	-12	-15	32	37	31	40	301	196	10	10	2	2	175	3	0	0	0	0	0	0
9854003	0	gold_adaptive	296	286	10	236	102	134	124	74	59	71	25	292	260	10	10	2	2	4	3	156	167	0	0	0	0
9854003	0	compact_gold	284	241	43	237	253	-16	-59	71	59	57	60	275	301	10	10	2	2	4	3	20	32	0	0	0	0
9854003	0	norx_native_three	320	59	261	251	32	219	-42	79	60	0	2	301	301	10	10	2	2	3	0	111	5	0	0	0	0
9854003	0	legend_balanced	323	275	48	298	297	1	-47	80	72	62	71	301	301	10	10	2	2	3	3	72	116	0	0	0	0
9854003	0	mybot	316	150	166	306	160	146	-20	77	74	22	26	301	301	10	10	2	2	41	3	116	127	0	0	0	0
9854003	1	resident	129	132	-3	144	156	-12	-9	31	36	32	39	301	182	10	10	2	2	175	3	0	0	0	0	0	0
9854003	1	gold_adaptive	287	260	27	232	61	171	144	68	58	65	12	262	244	10	10	2	2	3	0	151	87	0	0	0	0
9854003	1	compact_gold	264	253	11	246	345	-99	-110	66	60	60	83	277	301	10	10	2	2	0	3	25	19	0	0	0	0
9854003	1	norx_native_three	301	72	229	256	88	168	-61	74	63	3	4	301	301	10	10	2	2	4	0	4	48	0	0	0	0
9854003	1	legend_balanced	296	317	-21	311	313	-2	19	73	76	75	70	301	301	10	10	2	2	3	3	92	65	0	0	0	0
9854003	1	mybot	332	137	195	289	167	122	-73	82	71	17	24	301	301	10	10	2	2	5	0	150	154	0	0	0	0
9854004	0	resident	108	108	0	108	120	-12	-12	27	27	27	30	174	196	16	1	2	2	3	3	0	0	0	0	0	0
9854004	0	gold_adaptive	144	85	59	140	96	44	-15	36	35	18	22	301	279	16	1	2	2	3	0	21	81	0	0	0	0
9854004	0	compact_gold	191	248	-57	148	296	-148	-91	47	36	60	72	301	301	16	1	2	2	4	3	16	37	0	0	0	0
9854004	0	norx_native_three	160	130	30	116	72	44	14	39	27	2	1	301	301	16	1	2	2	4	3	14	0	0	0	0	0
9854004	0	legend_balanced	186	97	89	140	162	-22	-111	46	34	12	31	301	301	16	1	2	2	3	3	39	56	0	0	0	0
9854004	0	mybot	184	98	86	142	87	55	-31	45	34	20	16	301	301	16	1	2	2	4	3	48	64	0	0	0	0
9854004	1	resident	108	112	-4	120	124	-4	0	27	30	28	31	185	236	16	1	2	2	4	3	0	0	0	0	0	0
9854004	1	gold_adaptive	152	79	73	144	104	40	-33	38	36	17	24	267	271	16	1	2	2	3	0	41	60	0	0	0	0
9854004	1	compact_gold	172	248	-76	160	301	-141	-65	43	39	60	73	283	301	16	1	2	2	4	3	29	32	0	0	0	0
9854004	1	norx_native_three	144	138	6	136	94	42	36	36	32	30	2	247	301	16	1	2	2	3	0	84	8	0	0	0	0
9854004	1	legend_balanced	183	95	88	141	137	4	-84	45	33	1	29	301	301	16	1	2	2	4	0	1	33	0	0	0	0
9854004	1	mybot	183	100	83	159	100	59	-24	45	38	19	19	301	301	16	1	2	2	4	3	44	44	0	0	0	0
9854005	0	resident	168	160	8	140	148	-8	-16	42	35	40	37	210	196	1	1	2	2	0	3	0	0	0	0	0	0
9854005	0	gold_adaptive	208	32	176	192	37	155	-21	52	48	4	6	298	301	1	1	2	2	12	3	41	277	0	0	0	0
9854005	0	compact_gold	208	187	21	206	313	-107	-128	52	50	43	75	263	301	1	1	2	2	4	3	41	33	0	0	0	0
