map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9854000	0	resident	104	100	4	84	112	-28	-32	26	21	25	28	185	219	1	35	2	2	0	0	0	0	0	0	0	0
9854000	0	gold_adaptive	100	32	68	23	121	-98	-166	25	2	6	28	217	301	1	35	2	2	3	0	0	10	0	0	0	0
9854000	0	compact_gold	100	32	68	23	121	-98	-166	25	2	6	28	217	301	1	35	2	2	3	0	0	10	0	0	0	0
9854000	0	norx_native_three	119	62	57	130	104	26	-31	28	31	0	6	301	301	1	35	2	2	7	0	8	31	0	0	0	0
9854000	0	legend_balanced	180	63	117	100	66	34	-83	44	23	7	8	301	301	1	35	2	2	5	3	2	31	0	0	0	0
9854000	0	mybot	140	77	63	92	75	17	-46	34	21	17	17	301	301	1	35	2	2	3	3	36	15	0	0	0	0
9854000	1	resident	100	104	-4	84	88	-4	0	25	21	26	22	185	207	1	35	2	2	0	0	0	0	0	0	0	0
9854000	1	gold_adaptive	108	44	64	96	56	40	-24	27	24	9	12	231	275	1	35	2	2	3	0	4	8	0	0	0	0
9854000	1	compact_gold	108	44	64	96	56	40	-24	27	24	9	12	231	275	1	35	2	2	3	0	4	8	0	0	0	0
9854000	1	norx_native_three	140	71	69	119	129	-10	-79	34	28	0	10	301	301	1	35	2	2	4	3	6	33	0	0	0	0
9854000	1	legend_balanced	180	48	132	101	53	48	-84	44	23	2	3	301	301	1	35	2	2	3	3	3	26	0	0	0	0
9854000	1	mybot	128	71	57	85	69	16	-41	31	19	16	15	301	301	1	35	2	2	3	4	21	10	0	0	0	0
#latency	baseline	3060	442149	3070899
#latency	candidate	3372	235083	438185
