map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9854000	0	resident	104	100	4	104	112	-8	-12	26	26	25	28	185	211	1	1	2	2	0	0	0	0	0	0	0	0
9854000	0	gold_adaptive	100	32	68	104	32	72	4	25	26	6	6	217	225	1	1	2	2	3	3	0	0	0	0	0	0
9854000	0	compact_gold	100	32	68	104	32	72	4	25	26	6	6	217	225	1	1	2	2	3	3	0	0	0	0	0	0
9854000	0	norx_native_three	119	62	57	113	64	49	-8	28	26	0	1	301	301	1	1	2	2	7	0	8	8	0	0	0	0
9854000	0	legend_balanced	180	63	117	164	71	93	-24	44	40	7	9	301	301	1	1	2	2	5	3	2	6	0	0	0	0
9854000	0	mybot	140	77	63	121	74	47	-16	34	29	17	17	301	301	1	1	2	2	3	3	36	20	0	0	0	0
9854000	1	resident	100	104	-4	92	96	-4	0	25	23	26	24	185	192	1	1	2	2	0	3	0	0	0	0	0	0
9854000	1	gold_adaptive	108	44	64	100	32	68	4	27	25	9	6	231	237	1	1	2	2	3	0	4	11	0	0	0	0
9854000	1	compact_gold	108	44	64	100	32	68	4	27	25	9	6	231	237	1	1	2	2	3	0	4	11	0	0	0	0
9854000	1	norx_native_three	140	71	69	111	58	53	-16	34	26	0	1	301	301	1	1	2	2	4	0	6	3	0	0	0	0
9854000	1	legend_balanced	180	48	132	125	53	72	-60	44	30	2	8	301	301	1	1	2	2	3	0	3	13	0	0	0	0
9854000	1	mybot	128	71	57	120	62	58	1	31	30	16	14	301	301	1	1	2	2	3	3	21	16	0	0	0	0
9854001	0	resident	176	176	0	156	198	-42	-42	29	39	29	30	301	296	1	19	2	2	76	3	0	0	0	0	0	0
9854001	0	gold_adaptive	270	102	168	176	86	90	-78	30	44	21	17	301	301	1	19	2	2	3	3	22	13	0	0	0	0
9854001	0	compact_gold	300	317	-17	188	305	-117	-100	38	46	77	74	301	301	1	19	2	2	3	3	25	24	0	0	0	0
9854001	0	norx_native_three	300	134	166	194	71	123	-43	38	47	2	0	301	301	1	19	2	2	3	3	27	2	0	0	0	0
9854001	0	legend_balanced	297	90	207	216	125	91	-116	37	53	4	20	301	301	1	19	2	2	3	3	41	72	0	0	0	0
9854001	0	mybot	223	134	89	194	108	86	-3	45	47	21	19	301	301	1	19	2	2	4	4	36	64	0	0	0	0
9854001	1	resident	176	176	0	162	189	-27	-27	29	40	29	31	301	301	1	19	2	2	77	0	0	0	0	0	0	0
9854001	1	gold_adaptive	259	92	167	150	71	79	-88	30	36	18	14	301	301	1	19	2	2	3	3	21	98	0	0	0	0
9854001	1	compact_gold	292	278	14	187	289	-102	-116	36	45	67	70	301	301	1	19	2	2	0	0	23	20	0	0	0	0
9854001	1	norx_native_three	297	110	187	183	105	78	-109	37	44	1	1	301	301	1	19	2	2	3	3	22	16	0	0	0	0
9854001	1	legend_balanced	308	93	215	220	178	42	-173	40	53	3	38	301	301	1	19	2	2	0	4	24	73	0	0	0	0
9854001	1	mybot	194	124	70	197	124	73	3	38	47	19	21	301	301	1	19	2	2	48	3	44	44	0	0	0	0
9854002	0	resident	188	192	-4	164	172	-8	-4	47	41	48	43	221	202	6	6	2	2	4	3	0	0	0	0	0	0
9854002	0	gold_adaptive	216	69	147	196	69	127	-20	54	49	14	14	250	253	6	6	2	2	5	0	63	49	0	0	0	0
9854002	0	compact_gold	228	144	84	204	162	42	-42	57	51	31	35	229	231	6	6	2	2	4	3	21	14	0	0	0	0
9854002	0	norx_native_three	293	63	230	253	56	197	-33	72	62	2	2	301	301	6	6	2	2	5	0	1	2	0	0	0	0
9854002	0	legend_balanced	298	91	207	311	100	211	4	73	76	6	9	301	301	6	6	2	2	4	0	21	15	0	0	0	0
9854002	0	mybot	188	114	74	200	129	71	-3	47	50	24	28	222	236	6	6	2	2	3	3	30	10	0	0	0	0
9854002	1	resident	192	188	4	188	196	-8	-12	48	47	47	49	221	211	6	6	2	2	3	3	0	0	0	0	0	0
9854002	1	gold_adaptive	208	66	142	204	61	143	1	52	51	14	12	229	270	6	6	2	2	3	3	98	110	0	0	0	0
9854002	1	compact_gold	328	193	135	272	164	108	-27	82	68	44	36	292	288	6	6	2	2	6	0	34	34	0	0	0	0
9854002	1	norx_native_three	310	111	199	296	45	251	52	76	73	2	2	301	301	6	6	2	2	6	0	9	184	0	0	0	0
9854002	1	legend_balanced	318	89	229	282	91	191	-38	78	69	5	6	301	301	6	6	2	2	4	0	44	24	0	0	0	0
9854002	1	mybot	208	147	61	228	138	90	29	52	57	32	30	230	245	6	6	2	2	3	3	11	10	0	0	0	0
9854003	0	resident	132	129	3	148	160	-12	-15	32	37	31	40	301	196	10	10	2	2	175	3	0	0	0	0	0	0
9854003	0	gold_adaptive	296	286	10	236	42	194	184	74	59	71	10	292	277	10	10	2	2	4	3	156	277	0	0	0	0
9854003	0	compact_gold	284	241	43	266	217	49	6	71	66	57	51	275	301	10	10	2	2	4	3	20	40	0	0	0	0
9854003	0	norx_native_three	320	59	261	274	36	238	-23	79	66	0	1	301	301	10	10	2	2	3	0	111	5	0	0	0	0
9854003	0	legend_balanced	323	275	48	327	338	-11	-59	80	79	62	80	301	301	10	10	2	2	3	0	72	102	0	0	0	0
9854003	0	mybot	316	150	166	323	146	177	11	77	78	22	18	301	301	10	10	2	2	41	0	116	107	0	0	0	0
9854003	1	resident	129	132	-3	160	168	-8	-5	31	40	32	42	301	187	10	16	2	2	175	0	0	0	0	0	0	0
9854003	1	gold_adaptive	287	260	27	286	302	-16	-43	68	70	65	75	262	301	10	16	2	2	3	3	151	164	0	0	0	0
9854003	1	compact_gold	264	253	11	260	273	-13	-24	66	65	60	65	277	280	10	16	2	2	0	0	25	23	0	0	0	0
9854003	1	norx_native_three	301	72	229	260	71	189	-40	74	64	3	0	301	301	10	16	2	2	4	0	4	104	0	0	0	0
9854003	1	legend_balanced	296	317	-21	293	296	-3	18	73	72	75	69	301	301	10	16	2	2	3	0	92	107	0	0	0	0
9854003	1	mybot	332	137	195	292	158	134	-61	82	72	17	24	301	301	10	16	2	2	5	4	150	163	0	0	0	0
9854004	0	resident	108	108	0	108	120	-12	-12	27	27	27	30	174	190	16	1	2	2	3	0	0	0	0	0	0	0
9854004	0	gold_adaptive	144	85	59	128	77	51	-8	36	31	18	18	301	296	16	1	2	2	3	3	21	266	0	0	0	0
9854004	0	compact_gold	191	248	-57	142	297	-155	-98	47	34	60	72	301	301	16	1	2	2	4	0	16	32	0	0	0	0
9854004	0	norx_native_three	160	130	30	118	44	74	44	39	28	2	0	301	301	16	1	2	2	4	0	14	145	0	0	0	0
9854004	0	legend_balanced	186	97	89	154	218	-64	-153	46	37	12	42	301	301	16	1	2	2	3	3	39	40	0	0	0	0
9854004	0	mybot	184	98	86	154	82	72	-14	45	37	20	15	301	301	16	1	2	2	4	3	48	81	0	0	0	0
9854004	1	resident	108	112	-4	120	124	-4	0	27	30	28	31	185	236	16	1	2	2	4	3	0	0	0	0	0	0
9854004	1	gold_adaptive	152	79	73	144	104	40	-33	38	36	17	24	267	271	16	1	2	2	3	0	41	60	0	0	0	0
9854004	1	compact_gold	172	248	-76	160	317	-157	-81	43	39	60	77	283	301	16	1	2	2	4	0	29	21	0	0	0	0
9854004	1	norx_native_three	144	138	6	139	87	52	46	36	33	30	0	247	301	16	1	2	2	3	0	84	48	0	0	0	0
9854004	1	legend_balanced	183	95	88	141	137	4	-84	45	33	1	29	301	301	16	1	2	2	4	0	1	33	0	0	0	0
9854004	1	mybot	183	100	83	159	100	59	-24	45	38	19	19	301	301	16	1	2	2	4	3	44	44	0	0	0	0
9854005	0	resident	168	160	8	140	148	-8	-16	42	35	40	37	210	190	1	1	2	2	0	0	0	0	0	0	0	0
9854005	0	gold_adaptive	208	32	176	101	20	81	-95	52	22	4	2	298	301	1	1	2	2	12	0	41	349	0	0	0	0
9854005	0	compact_gold	208	187	21	230	247	-17	-38	52	57	43	58	263	301	1	1	2	2	4	3	41	38	0	0	0	0
9854005	0	norx_native_three	327	160	167	198	108	90	-77	80	48	4	1	301	301	1	1	2	2	28	0	23	19	0	0	0	0
9854005	0	legend_balanced	250	149	101	206	108	98	-3	61	50	0	6	301	301	1	1	2	2	36	0	1	44	0	0	0	0
9854005	0	mybot	240	171	69	200	205	-5	-74	60	50	38	47	293	301	1	1	2	2	4	3	48	8	0	0	0	0
9854005	1	resident	152	156	-4	160	164	-4	0	38	40	39	41	199	221	1	1	2	2	9	3	0	0	0	0	0	0
9854005	1	gold_adaptive	208	40	168	176	25	151	-17	52	44	6	2	283	301	1	1	2	2	4	0	9	29	0	0	0	0
9854005	1	compact_gold	234	301	-67	73	331	-258	-191	58	15	72	76	301	301	1	1	2	2	4	3	37	31	0	0	0	0
