map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9868000	0	resident	156	156	0	156	156	0	0	39	39	39	39	205	205	1	1	2	2	4	4	0	0	0	0	0	0
9868000	0	gold_adaptive	244	84	160	244	84	160	0	61	61	17	17	301	301	1	1	2	2	6	6	33	33	0	0	0	0
9868000	0	compact_gold	348	251	97	348	251	97	0	85	85	59	59	301	301	1	1	2	2	4	4	38	38	0	0	0	0
9868000	0	norx_native_three	232	66	166	232	66	166	0	56	56	1	1	301	301	1	1	2	2	3	3	17	17	0	0	0	0
9868000	0	legend_balanced	353	145	208	353	145	208	0	86	86	36	36	301	301	1	1	2	2	4	4	69	69	0	0	0	0
9868000	0	mybot	221	142	79	221	142	79	0	55	55	31	31	301	301	1	1	2	2	3	3	17	17	0	0	0	0
9868000	1	resident	156	156	0	156	156	0	0	39	39	39	39	205	205	1	1	2	2	0	0	0	0	0	0	0	0
9868000	1	gold_adaptive	268	84	184	268	84	184	0	67	67	17	17	301	301	1	1	2	2	3	3	28	28	0	0	0	0
9868000	1	compact_gold	344	255	89	344	255	89	0	84	84	60	60	301	301	1	1	2	2	0	0	13	13	0	0	0	0
9868000	1	norx_native_three	312	122	190	312	122	190	0	76	76	3	3	301	301	1	1	2	2	3	3	20	20	0	0	0	0
9868000	1	legend_balanced	347	78	269	347	78	269	0	85	85	6	6	301	301	1	1	2	2	4	4	31	31	0	0	0	0
9868000	1	mybot	226	178	48	226	178	48	0	56	56	38	38	301	301	1	1	2	2	3	3	8	8	0	0	0	0
9868001	0	resident	49	48	1	49	48	1	0	12	12	12	12	301	301	18	18	2	2	232	232	0	0	0	0	0	0
9868001	0	gold_adaptive	281	80	201	281	80	201	0	52	52	16	16	301	301	18	18	2	2	3	3	23	23	0	0	0	0
9868001	0	compact_gold	275	169	106	275	169	106	0	57	57	40	40	301	301	18	18	2	2	4	4	17	17	0	0	0	0
9868001	0	norx_native_three	351	151	200	351	151	200	0	55	55	2	2	301	301	18	18	2	2	3	3	27	27	0	0	0	0
9868001	0	legend_balanced	351	264	87	351	264	87	0	55	55	56	56	301	301	18	18	2	2	3	3	35	35	0	0	0	0
9868001	0	mybot	152	71	81	152	71	81	0	38	38	13	13	204	204	18	18	2	2	4	4	35	35	0	0	0	0
9868001	1	resident	48	49	-1	48	49	-1	0	12	12	12	12	301	301	18	18	2	2	233	233	0	0	0	0	0	0
9868001	1	gold_adaptive	128	40	88	128	40	88	0	32	32	6	6	178	178	18	18	2	2	4	4	50	50	0	0	0	0
9868001	1	compact_gold	140	88	52	140	88	52	0	35	35	20	20	188	188	18	18	2	2	3	3	10	10	0	0	0	0
9868001	1	norx_native_three	256	138	118	256	138	118	0	64	64	4	4	301	301	18	18	2	2	5	5	15	15	0	0	0	0
9868001	1	legend_balanced	363	81	282	363	81	282	0	61	61	7	7	301	301	18	18	2	2	0	0	15	15	0	0	0	0
9868001	1	mybot	243	153	90	243	153	90	0	59	59	31	31	301	301	18	18	2	2	4	4	49	49	0	0	0	0
9868002	0	resident	164	180	-16	164	180	-16	0	41	41	45	45	237	237	6	6	2	2	3	3	0	0	0	0	0	0
9868002	0	gold_adaptive	204	282	-78	204	282	-78	0	50	50	69	69	301	301	6	6	2	2	9	9	87	87	0	0	0	0
9868002	0	compact_gold	206	393	-187	206	393	-187	0	50	50	96	96	301	301	6	6	2	2	5	5	29	29	0	0	0	0
9868002	0	norx_native_three	201	211	-10	201	211	-10	0	50	50	44	44	301	301	6	6	2	2	7	7	29	29	0	0	0	0
9868002	0	legend_balanced	218	130	88	218	130	88	0	53	53	12	12	301	301	6	6	2	2	3	3	81	81	0	0	0	0
9868002	0	mybot	202	122	80	202	122	80	0	49	49	10	10	301	301	6	6	2	2	3	3	2	2	0	0	0	0
9868002	1	resident	156	156	0	156	156	0	0	39	39	39	39	218	218	6	6	2	2	4	4	0	0	0	0	0	0
9868002	1	gold_adaptive	204	218	-14	204	218	-14	0	51	51	53	53	301	301	6	6	2	2	4	4	124	124	0	0	0	0
9868002	1	compact_gold	211	357	-146	211	357	-146	0	52	52	87	87	301	301	6	6	2	2	8	8	22	22	0	0	0	0
9868002	1	norx_native_three	192	193	-1	192	193	-1	0	48	48	44	44	270	270	6	6	2	2	3	3	202	202	0	0	0	0
9868002	1	legend_balanced	214	150	64	214	150	64	0	52	52	15	15	301	301	6	6	2	2	4	4	40	40	0	0	0	0
9868002	1	mybot	199	184	15	199	184	15	0	48	48	10	10	301	301	6	6	2	2	29	29	58	58	0	0	0	0
9868003	0	resident	148	144	4	148	144	4	0	37	37	36	36	177	177	1	1	2	2	3	3	0	0	0	0	0	0
9868003	0	gold_adaptive	196	249	-53	196	249	-53	0	49	49	62	62	301	301	1	1	2	2	3	3	180	180	0	0	0	0
9868003	0	compact_gold	188	358	-170	188	358	-170	0	46	46	88	88	301	301	1	1	2	2	4	4	48	48	0	0	0	0
9868003	0	norx_native_three	185	47	138	185	47	138	0	45	45	1	1	301	301	1	1	2	2	4	4	0	0	0	0	0	0
9868003	0	legend_balanced	192	119	73	192	119	73	0	47	47	15	15	301	301	1	1	2	2	3	3	31	31	0	0	0	0
9868003	0	mybot	186	131	55	186	131	55	0	46	46	20	20	301	301	1	1	2	2	4	4	52	52	0	0	0	0
9868003	1	resident	144	148	-4	144	148	-4	0	36	36	37	37	177	177	1	1	2	2	3	3	0	0	0	0	0	0
9868003	1	gold_adaptive	191	304	-113	191	304	-113	0	47	47	76	76	301	301	1	1	2	2	3	3	145	145	0	0	0	0
9868003	1	compact_gold	202	394	-192	202	394	-192	0	50	50	97	97	301	301	1	1	2	2	3	3	25	25	0	0	0	0
9868003	1	norx_native_three	177	56	121	177	56	121	0	43	43	2	2	301	301	1	1	2	2	3	3	61	61	0	0	0	0
9868003	1	legend_balanced	184	84	100	184	84	100	0	45	45	0	0	301	301	1	1	2	2	3	3	0	0	0	0	0	0
9868003	1	mybot	172	121	51	172	121	51	0	42	42	12	12	301	301	1	1	2	2	3	3	1	1	0	0	0	0
9868004	0	resident	231	233	-2	231	233	-2	0	23	23	23	23	301	301	10	10	2	2	3	3	0	0	0	0	0	0
9868004	0	gold_adaptive	231	52	179	231	52	179	0	23	23	10	10	301	301	10	10	2	2	3	3	295	295	0	0	0	0
9868004	0	compact_gold	239	325	-86	239	325	-86	0	25	25	80	80	301	301	10	10	2	2	3	3	46	46	0	0	0	0
9868004	0	norx_native_three	231	83	148	231	83	148	0	23	23	2	2	301	301	10	10	2	2	3	3	0	0	0	0	0	0
9868004	0	legend_balanced	239	102	137	239	102	137	0	25	25	2	2	301	301	10	10	2	2	3	3	48	48	0	0	0	0
9868004	0	mybot	161	129	32	161	129	32	0	28	28	22	22	301	301	10	10	2	2	33	33	62	62	0	0	0	0
9868004	1	resident	233	231	2	233	231	2	0	23	23	23	23	301	301	10	10	2	2	3	3	0	0	0	0	0	0
9868004	1	gold_adaptive	233	51	182	233	51	182	0	23	23	10	10	301	301	10	10	2	2	4	4	148	148	0	0	0	0
9868004	1	compact_gold	241	348	-107	241	348	-107	0	25	25	86	86	301	301	10	10	2	2	3	3	34	34	0	0	0	0
9868004	1	norx_native_three	233	97	136	233	97	136	0	23	23	0	0	301	301	10	10	2	2	3	3	0	0	0	0	0	0
9868004	1	legend_balanced	241	131	110	241	131	110	0	25	25	8	8	301	301	10	10	2	2	3	3	29	29	0	0	0	0
9868004	1	mybot	157	129	28	157	129	28	0	27	27	14	14	301	301	10	10	2	2	39	39	6	6	0	0	0	0
9868005	0	resident	156	156	0	156	156	0	0	39	39	39	39	190	190	1	1	2	2	3	3	0	0	0	0	0	0
9868005	0	gold_adaptive	180	76	104	180	76	104	0	45	45	17	17	208	208	1	1	2	2	0	0	123	123	0	0	0	0
9868005	0	compact_gold	184	108	76	184	108	76	0	46	46	24	24	186	186	1	1	2	2	4	4	16	16	0	0	0	0
9868005	0	norx_native_three	247	107	140	247	107	140	0	60	60	1	1	301	301	1	1	2	2	5	5	52	52	0	0	0	0
9868005	0	legend_balanced	315	98	217	315	98	217	0	77	77	8	8	301	301	1	1	2	2	7	7	42	42	0	0	0	0
