map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9867000	0	resident	136	136	0	136	136	0	0	34	34	34	34	169	169	14	14	2	2	52	52	0	0	0	0	0	0
9867000	0	gold_adaptive	252	104	148	252	104	148	0	63	63	26	26	239	239	14	14	2	2	6	6	179	179	0	0	0	0
9867000	0	compact_gold	264	198	66	264	198	66	0	66	66	47	47	256	256	14	14	2	2	4	4	30	30	0	0	0	0
9867000	0	norx_native_three	348	189	159	348	189	159	0	87	87	0	0	301	301	14	14	2	2	5	5	40	40	0	0	0	0
9867000	0	legend_balanced	322	220	102	322	220	102	0	80	80	55	55	301	301	14	14	2	2	47	47	246	246	0	0	0	0
9867000	0	mybot	184	135	49	184	135	49	0	46	46	30	30	205	205	14	14	2	2	5	5	27	27	0	0	0	0
9867000	1	resident	136	136	0	136	136	0	0	34	34	34	34	169	169	14	14	2	2	59	59	0	0	0	0	0	0
9867000	1	gold_adaptive	224	50	174	224	50	174	0	56	56	12	12	216	216	14	14	2	2	4	4	94	94	0	0	0	0
9867000	1	compact_gold	328	230	98	328	230	98	0	82	82	55	55	277	277	14	14	2	2	4	4	22	22	0	0	0	0
9867000	1	norx_native_three	232	150	82	232	150	82	0	58	58	33	33	229	229	14	14	2	2	3	3	128	128	0	0	0	0
9867000	1	legend_balanced	366	115	251	366	115	251	0	91	91	15	15	301	301	14	14	2	2	29	29	52	52	0	0	0	0
9867000	1	mybot	208	165	43	208	165	43	0	52	52	38	38	248	248	14	14	2	2	29	29	34	34	0	0	0	0
9867001	0	resident	136	144	-8	136	144	-8	0	34	34	36	36	228	228	6	6	2	2	3	3	0	0	0	0	0	0
9867001	0	gold_adaptive	168	77	91	168	77	91	0	42	42	18	18	276	276	6	6	2	2	0	0	25	25	0	0	0	0
9867001	0	compact_gold	180	249	-69	180	249	-69	0	45	45	59	59	301	301	6	6	2	2	4	4	16	16	0	0	0	0
9867001	0	norx_native_three	176	45	131	176	45	131	0	43	43	0	0	301	301	6	6	2	2	3	3	39	39	0	0	0	0
9867001	0	legend_balanced	185	92	93	185	92	93	0	45	45	4	4	301	301	6	6	2	2	3	3	10	10	0	0	0	0
9867001	0	mybot	185	174	11	185	174	11	0	45	45	26	26	301	301	6	6	2	2	3	3	156	156	0	0	0	0
9867001	1	resident	144	136	8	144	136	8	0	36	36	34	34	228	228	6	6	2	2	0	0	0	0	0	0	0	0
9867001	1	gold_adaptive	164	81	83	164	81	83	0	41	41	16	16	269	269	6	6	2	2	3	3	36	36	0	0	0	0
9867001	1	compact_gold	170	269	-99	170	269	-99	0	41	41	64	64	301	301	6	6	2	2	4	4	12	12	0	0	0	0
9867001	1	norx_native_three	178	52	126	178	52	126	0	43	43	1	1	301	301	6	6	2	2	3	3	0	0	0	0	0	0
9867001	1	legend_balanced	176	58	118	176	58	118	0	43	43	6	6	301	301	6	6	2	2	3	3	9	9	0	0	0	0
9867001	1	mybot	180	176	4	180	176	4	0	44	44	21	21	301	301	6	6	2	2	4	4	63	63	0	0	0	0
9867002	0	resident	116	124	-8	116	124	-8	0	29	29	31	31	191	191	1	1	2	2	3	3	0	0	0	0	0	0
9867002	0	gold_adaptive	132	46	86	132	46	86	0	33	33	10	10	238	238	1	1	2	2	0	0	46	46	0	0	0	0
9867002	0	compact_gold	192	271	-79	192	271	-79	0	47	47	66	66	301	301	1	1	2	2	4	4	19	19	0	0	0	0
9867002	0	norx_native_three	155	83	72	155	83	72	0	38	38	5	5	301	301	1	1	2	2	3	3	12	12	0	0	0	0
9867002	0	legend_balanced	195	114	81	195	114	81	0	48	48	12	12	301	301	1	1	2	2	6	6	26	26	0	0	0	0
9867002	0	mybot	187	164	23	187	164	23	0	46	46	16	16	301	301	1	1	2	2	5	5	97	97	0	0	0	0
9867002	1	resident	124	116	8	124	116	8	0	31	31	29	29	191	191	1	1	2	2	3	3	0	0	0	0	0	0
9867002	1	gold_adaptive	132	46	86	132	46	86	0	33	33	10	10	234	234	1	1	2	2	3	3	51	51	0	0	0	0
9867002	1	compact_gold	175	291	-116	175	291	-116	0	43	43	71	71	301	301	1	1	2	2	0	0	23	23	0	0	0	0
9867002	1	norx_native_three	175	71	104	175	71	104	0	43	43	2	2	301	301	1	1	2	2	8	8	7	7	0	0	0	0
