agent_id,from_epoch,to_epoch,from_score,to_score,score_delta,games,wins,losses,ties,net_wins,opponent_score_mean,internal,outcome_complete,next_games,next_wins,next_losses,next_ties,next_net_wins,next_opponent_score_mean,next_outcome_complete
6479385,0,1,23.61968681949054,22.56700240054669,-1.0526844189438478,4,3,1,0,2,20.080471935766862,False,False,6,3,3,0,0,23.802451822222054,True
6479385,1,2,22.56700240054669,22.52245668492548,-0.04454571562121146,6,3,3,0,0,23.802451822222054,True,True,1,0,1,0,-1,25.253636143961657,True
6479385,2,3,22.52245668492548,23.61968681949054,1.0972301345650592,1,0,1,0,-1,25.253636143961657,True,True,72,40,32,0,8,23.229670563019994,True
6479385,3,4,23.61968681949054,24.129139047259184,0.5094522277686444,72,40,32,0,8,23.229670563019994,True,True,3,1,2,0,-1,23.035760298622517,True
6479385,4,5,24.129139047259184,23.61968681949054,-0.5094522277686444,3,1,2,0,-1,23.035760298622517,True,True,53,24,29,0,-5,25.248586310365162,True
6479385,5,6,23.61968681949054,23.62857562002315,0.008888800532609764,53,24,29,0,-5,25.248586310365162,True,True,1,1,0,0,1,14.340609514210614,True
6479385,6,7,23.62857562002315,23.53031520123803,-0.09826041878512015,1,1,0,0,1,14.340609514210614,True,True,1,0,1,0,-1,22.1704616509147,False
6479420,0,1,24.482514938498692,25.213194795512802,0.7306798570141098,2,2,0,0,2,21.02116735461713,False,False,2,1,1,0,0,16.39589329362658,True
6479420,1,2,25.213194795512802,24.482514938498692,-0.7306798570141098,2,1,1,0,0,16.39589329362658,True,True,6,2,4,0,-2,25.547269508483012,True
6479420,2,3,24.482514938498692,24.981000105858183,0.49848516735949033,6,2,4,0,-2,25.547269508483012,True,True,5,2,3,0,-1,25.725250044236283,True
6479420,3,4,24.981000105858183,25.067095123521682,0.08609501766349936,5,2,3,0,-1,25.725250044236283,True,True,1,1,0,0,1,23.802451822222054,True
6479420,4,5,25.067095123521682,24.951383595394848,-0.11571152812683394,1,1,0,0,1,23.802451822222054,True,True,6,2,4,0,-2,25.253636143961657,True
6479420,5,6,24.951383595394848,24.98329190868332,0.0319083132884721,6,2,4,0,-2,25.253636143961657,True,True,2,1,1,0,0,26.30605586442285,True
6479420,6,7,24.98329190868332,24.482514938498692,-0.5007769701846279,2,1,1,0,0,26.30605586442285,True,True,56,31,25,0,6,25.21474625981055,True
6479420,7,8,24.482514938498692,25.25995099430884,0.7774360558101492,56,31,25,0,6,25.21474625981055,True,True,10,4,6,0,-2,25.314475476488173,True
6479420,8,9,25.25995099430884,24.482514938498692,-0.7774360558101492,10,4,6,0,-2,25.314475476488173,True,True,48,16,32,0,-16,26.680125961317202,True
6479420,9,10,24.482514938498692,24.550730416695572,0.06821547819687979,48,16,32,0,-16,26.680125961317202,True,True,1,1,0,0,1,22.1704616509147,False
6479421,0,1,21.25719993588378,20.87455663014413,-0.38264330573964855,23,11,12,0,-1,20.80895089478084,False,False,3,0,3,0,-3,23.260858532063047,True
6479421,1,2,20.87455663014413,21.25719993588378,0.38264330573964855,3,0,3,0,-3,23.260858532063047,True,True,13,7,6,0,1,21.352939486071488,True
6479421,2,3,21.25719993588378,20.87455663014413,-0.38264330573964855,13,7,6,0,1,21.352939486071488,True,True,5,2,3,0,-1,21.163083839914353,True
6479421,3,4,20.87455663014413,21.25719993588378,0.38264330573964855,5,2,3,0,-1,21.163083839914353,True,True,69,31,38,0,-7,22.491246063700196,True
6479421,4,5,21.25719993588378,20.87455663014413,-0.38264330573964855,69,31,38,0,-7,22.491246063700196,True,True,1,1,0,0,1,26.911805447017525,True
6479421,5,6,20.87455663014413,21.25719993588378,0.38264330573964855,1,1,0,0,1,26.911805447017525,True,True,3,2,1,0,1,21.179184524224294,True
6479421,6,7,21.25719993588378,20.87455663014413,-0.38264330573964855,3,2,1,0,1,21.179184524224294,True,True,4,1,3,0,-2,22.357853280285056,True
6479421,7,8,20.87455663014413,21.25719993588378,0.38264330573964855,4,1,3,0,-2,22.357853280285056,True,True,14,9,5,0,4,21.104265311709423,True
6479421,8,9,21.25719993588378,21.184730652394542,-0.07246928348923731,14,9,5,0,4,21.104265311709423,True,True,26,12,14,0,-2,20.895918701050995,False
6479460,0,1,28.21943365313769,26.437274313585654,-1.7821593395520345,2,0,2,0,-2,25.507843694555344,False,False,10,8,2,0,6,25.792057563099036,False
6479460,1,2,26.437274313585654,28.21943365313769,1.7821593395520345,10,8,2,0,6,25.792057563099036,True,False,135,77,58,0,19,27.22847482632227,False
6479532,0,1,22.36758667008764,21.829072136512412,-0.5385145335752277,56,35,21,0,14,21.300972052639963,False,False,1,1,0,0,1,20.143510698463064,True
6479532,1,2,21.829072136512412,21.82700949590941,-0.002062640603000432,1,1,0,0,1,20.143510698463064,True,True,1,1,0,0,1,21.401016665958227,True
