opponent_id,pseudos,games_full,games_early_60,games_late_60,first_game_id,last_game_id,mean_contemporaneous_score,current_active,current_rank,current_score
6479385,Meruem,3,2,0,896347981,896352625,23.62,True,27,23.53
6479388,Kheopsian,1,1,0,896348809,896348809,20.47,True,59,20.09
6479532,aangairbender,2,2,0,896347518,896347795,21.87,True,32,23.02
6479542,xSkyline,2,1,0,896349895,896350131,23.51,True,28,23.45
6479553,Wld,3,2,0,896347586,896351244,20.8,True,45,21.76
6479658,eulerscheZahl,1,0,0,896351124,896351124,20.99,True,44,21.93
6479750,mehdi_ayari,6,1,0,896348265,896351902,22.3,True,35,22.83
6479814,yamo,1,0,0,896350293,896350293,24.61,True,16,24.7
6479840,siman,3,0,0,896350156,896352683,23.5,True,26,23.61
6479842,icecuber,1,1,0,896348868,896348868,20.96,True,53,20.63
6479863,R1FA,8,0,0,896351071,896352494,22.54,True,38,22.67
6479914,FinkPloyd,4,0,0,896352056,896352596,22.74,True,29,23.27
6480507,RinSakamichi,2,2,0,896348456,896348671,20.88,True,46,21.49
6480515,FredericBautista,1,1,0,896349986,896349986,23.1,True,33,22.98
6480516,Ztrk,5,0,0,896350195,896352541,21.93,True,34,22.87
6480520,skotz,4,2,0,896349736,896350102,25.62,True,9,25.57
6480541,yaichi,1,1,0,896347357,896347357,26.62,True,7,26.62
6480544,m4l0s4n,1,1,0,896348623,896348623,20.46,True,60,20.04
6480545,BoatBuilder,5,2,0,896349546,896352634,22.74,True,31,23.02
6480943,Dridriun,16,3,0,896348043,896352580,22.37,True,43,22.17
6480945,Halphas,1,1,0,896349002,896349002,20.5,True,62,19.81
6480947,khanh-alice,5,0,0,896350530,896352675,22.85,True,30,23.23
6480948,dabino,2,2,0,896347649,896348742,19.68,True,67,19.62
6481139,uta_ccc,2,1,0,896349970,896350026,24.03,True,21,24.14
6481142,XSpace,6,3,0,896348189,896352760,24.22,True,20,24.28
6481143,Pafin,3,1,0,896347930,896351828,21.83,True,37,22.78
6481144,Sequo,1,1,0,896347362,896347362,20.19,True,52,20.88
6481225,mikmak,2,1,0,896349841,896352724,23.76,True,24,23.66
6481252,DaNinja,2,0,0,896351310,896352461,21.96,True,48,21.24
6481269,AndreMarasca,1,1,0,896347363,896347363,19.21,True,70,19.52
6481270,zasmu,6,1,0,896349382,896352750,23.44,True,25,23.61
6481547,bl4sterino,5,2,0,896349904,896352586,24.08,True,22,23.92
6482016,DoubtinGiyov,5,3,0,896347359,896352189,22.77,True,40,22.49
6483325,Pech1,6,1,0,896349042,896352273,22.35,True,41,22.23
6483491,VINCE_MX,2,1,0,896347361,896351292,21.19,True,58,20.1
6491198,Renatys,1,1,0,896347364,896347364,19.28,True,68,19.59
6491404,daaskare,2,2,0,896348573,896349215,21.62,True,50,21.12
6491563,Stounate,2,1,0,896349920,896350051,26.41,True,8,26.5
6491567,_H3R0_,1,1,0,896349174,896349174,21.83,True,42,22.18
6493247,sZoom,1,1,0,896347366,896347366,16.23,True,103,16.48
6499915,LeRenard,1,1,0,896347365,896347365,16.77,True,104,16.34
6512040,celeria,8,2,0,896348406,896352205,21.2,True,36,22.82
6512056,a76a44,7,3,0,896347360,896351874,22.44,True,39,22.62
6520935,goq,1,0,0,896350059,896350059,23.28,False,,
6541379,GoodDevel,4,2,0,896347862,896352110,21.72,True,57,20.12
6557104,Bubaptik,2,2,0,896347358,896350020,26.91,False,,
6557848,FreZzz,10,3,0,896349330,896352481,22.17,False,,
6563190,Bubaptik,4,0,0,896399089,896399705,26.91,False,,
6563484,Bubaptik,2,0,0,896409635,896410101,26.91,False,,
6563637,Bubaptik,4,0,0,896420875,896422596,26.91,False,,
6563744,Bubaptik,1,0,0,896423810,896423810,26.91,False,,
6565274,Bubaptik,1,0,0,896478463,896478463,26.91,False,,
6565503,Bubaptik,1,0,0,896484682,896484682,26.91,False,,
6565556,Bubaptik,1,0,0,896491787,896491787,26.91,False,,
6565654,Bubaptik,1,0,0,896504994,896504994,26.91,False,,
6566050,FreZzz,7,0,0,896525380,896526856,22.17,False,,
6566077,IlyaPol,1,0,1,896529307,896529307,17.35,False,,
6566112,FreZzz,3,0,3,896547892,896548356,22.17,False,,
6566509,Bubaptik,1,0,1,896569360,896569360,26.91,False,,
6567585,Bubaptik,1,0,1,896580977,896580977,26.91,False,,
6567667,Bubaptik,2,0,2,896585749,896586095,26.91,False,,
6567772,Bubaptik,2,0,2,896588124,896588235,26.91,False,,
6567909,Bubaptik,1,0,1,896606028,896606028,26.91,False,,
6568027,FreZzz,4,0,4,896626900,896629488,22.17,False,,
6568324,FreZzz,5,0,5,896648845,896649188,22.17,False,,
6568588,FreZzz,3,0,3,896651228,896651429,22.17,False,,
6579750,FreZzz,5,0,5,897186510,897188452,22.17,False,,
6580001,goq,5,0,5,897218489,897219440,23.28,True,54,20.44
6580130,FreZzz,5,0,5,897230691,897243738,22.17,False,,
6581650,FreZzz,5,0,5,897263984,897265726,22.17,False,,
6582020,FreZzz,9,0,9,897303947,897309299,22.17,False,,
6582186,FreZzz,8,0,8,897320189,897324011,22.17,True,51,21.05
