pseudo,exact_ids,games,cap_games,cap_share,mean_turns,cap_mean_margin,noncap_mean_margin
AndreMarasca,1,1,0,0.0,202,,84.0
BoatBuilder,1,5,5,1.0,300,-77.2,
Bubaptik,14,24,21,0.875,294.875,0.5714285714285714,-46.333333333333336
DaNinja,1,2,1,0.5,295.5,85.0,6.0
DoubtinGiyov,1,5,0,0.0,179.4,,5.6
Dridriun,1,16,4,0.25,209.1875,-22.0,-10.916666666666666
FinkPloyd,1,4,3,0.75,279.25,66.33333333333333,-8.0
FreZzz,11,64,17,0.265625,261.65625,5.529411764705882,-7.212765957446808
FredericBautista,1,1,1,1.0,300,-168.0,
GoodDevel,1,4,3,0.75,268.25,-7.0,23.0
Halphas,1,1,0,0.0,226,,-12.0
IlyaPol,1,1,0,0.0,127,,26.0
Kheopsian,1,1,0,0.0,179,,17.0
LeRenard,1,1,1,1.0,300,69.0,
Meruem,1,3,3,1.0,300,-19.0,
Pafin,1,3,3,1.0,300,111.0,
Pech1,1,6,6,1.0,300,-51.833333333333336,
R1FA,1,8,5,0.625,282.125,-26.4,-64.66666666666667
Renatys,1,1,0,0.0,219,,76.0
RinSakamichi,1,2,2,1.0,300,111.0,
Sequo,1,1,0,0.0,221,,48.0
Stounate,1,2,0,0.0,278,,-60.5
VINCE_MX,1,2,1,0.5,298,33.0,67.0
Wld,1,3,3,1.0,300,61.666666666666664,
XSpace,1,6,4,0.6666666666666666,276.6666666666667,21.0,1.5
Ztrk,1,5,5,1.0,300,-33.8,
_H3R0_,1,1,1,1.0,300,207.0,
a76a44,1,7,7,1.0,300,14.142857142857142,
aangairbender,1,2,2,1.0,300,184.5,
bl4sterino,1,5,1,0.2,265,156.0,102.75
celeria,1,8,4,0.5,278.375,-13.5,-37.5
daaskare,1,2,2,1.0,300,-11.0,
dabino,1,2,1,0.5,230,-6.0,24.0
eulerscheZahl,1,1,1,1.0,300,104.0,
goq,2,6,3,0.5,291,12.0,50.666666666666664
icecuber,1,1,1,1.0,300,248.0,
khanh-alice,1,5,1,0.2,183.8,-459.0,-4.5
m4l0s4n,1,1,1,1.0,300,-108.0,
mehdi_ayari,1,6,0,0.0,195.5,,21.5
mikmak,1,2,2,1.0,300,35.0,
sZoom,1,1,1,1.0,300,-166.0,
siman,1,3,1,0.3333333333333333,275.3333333333333,-231.0,116.5
skotz,1,4,3,0.75,258.75,-65.66666666666667,38.0
uta_ccc,1,2,2,1.0,300,-12.5,
xSkyline,1,2,2,1.0,300,-98.5,
yaichi,1,1,0,0.0,134,,19.0
yamo,1,1,0,0.0,182,,-20.0
zasmu,1,6,1,0.16666666666666666,254.16666666666666,-24.0,-3.0
