iter,env_steps,margin,win_rate,my_wood,opp_wood,ep_return,n_trolls,entropy,v_loss,pg_loss,grad_norm
1,2400,3.5,0.625,1.5,0.0,1.2,1.62,1.71,0.1057,0.0006,0.248
2,4800,9.62,0.875,2.38,0.0,2.64,1.38,1.707,0.0608,-0.0119,0.324
3,7200,8.25,0.875,0.75,0.0,2.27,1.12,1.699,0.0238,-0.003,0.217
4,9600,6.25,0.875,1.25,0.0,1.73,1.38,1.689,0.0473,-0.0241,0.194
5,12000,10.0,0.875,2.12,0.0,2.7,1.38,1.673,0.0731,-0.0243,0.225
6,14400,8.62,1.0,2.0,0.0,2.61,1.5,1.65,0.0985,-0.01,0.207
7,16800,14.88,1.0,1.62,0.0,3.86,1.12,1.648,0.0528,-0.0206,0.197
8,19200,15.25,1.0,3.38,0.0,4.45,1.38,1.626,0.132,-0.0507,0.308
9,21600,11.62,1.0,2.12,0.0,3.27,1.38,1.611,0.0758,-0.0825,0.274
10,24000,10.5,1.0,0.88,0.0,2.75,1.12,1.602,0.0358,-0.0463,0.311
11,26400,10.25,1.0,0.75,0.0,2.89,1.12,1.588,0.0388,-0.0351,0.309
12,28800,14.25,1.0,2.38,0.0,3.86,1.38,1.558,0.0882,-0.0992,0.235
13,31200,23.0,1.0,4.88,0.0,6.02,1.5,1.526,0.142,-0.1034,0.383
14,33600,18.25,1.0,2.62,0.0,4.8,1.25,1.533,0.0709,-0.0787,0.198
15,36000,17.75,1.0,1.88,0.0,4.7,1.25,1.538,0.0714,-0.1201,0.232
16,38400,24.5,1.0,5.0,0.0,6.36,1.5,1.474,0.1206,-0.0926,0.359
17,40800,15.25,1.0,1.12,0.0,4.05,1.12,1.514,0.0484,-0.0506,0.301
18,43200,17.75,1.0,4.12,0.0,5.08,1.62,1.457,0.1408,-0.1235,0.28
19,45600,19.5,1.0,3.25,0.0,5.25,1.38,1.484,0.1038,-0.1582,0.258
20,48000,20.62,1.0,3.62,0.0,5.47,1.62,1.474,0.1504,-0.066,0.297
21,50400,25.0,1.0,4.5,0.0,6.56,1.5,1.457,0.1567,-0.1381,0.301
22,52800,42.0,1.0,10.38,0.0,11.09,1.88,1.403,0.3103,-0.1369,0.773
23,55200,27.0,1.0,4.88,0.0,6.92,1.5,1.443,0.1246,-0.132,0.364
24,57600,26.88,1.0,3.38,0.0,6.91,1.38,1.441,0.0928,-0.1217,0.24
25,60000,28.75,1.0,5.75,0.0,7.47,1.62,1.412,0.1583,-0.1029,0.205
26,62400,36.0,1.0,8.38,0.0,9.5,1.75,1.329,0.25,-0.0687,0.267
27,64800,29.88,1.0,3.62,0.0,7.95,1.62,1.314,0.1461,-0.0043,0.465
28,67200,48.25,1.0,8.0,0.0,12.16,1.62,1.33,0.2158,-0.1556,0.546
29,69600,43.38,1.0,9.75,0.0,11.11,1.75,1.291,0.3223,-0.1273,0.259
30,72000,40.62,1.0,10.0,0.0,10.56,1.75,1.25,0.2861,-0.056,0.316
31,74400,36.75,1.0,8.25,0.0,9.58,1.62,1.285,0.1995,-0.0431,0.444
32,76800,24.0,1.0,2.75,0.0,6.03,1.25,1.393,0.1051,-0.0304,0.341
33,79200,25.62,1.0,1.88,0.0,6.53,1.25,1.406,0.0961,0.1357,0.344
34,81600,33.38,1.0,4.75,0.0,8.66,1.25,1.402,0.0985,-0.1552,0.423
35,84000,51.25,1.0,8.25,0.0,12.94,1.38,1.388,0.2205,-0.2837,0.925
36,86400,48.5,1.0,10.0,0.0,12.41,1.62,1.36,0.2938,-0.2254,0.664
37,88800,46.62,1.0,10.5,0.0,11.7,1.62,1.393,0.2996,-0.2213,0.609
38,91200,35.38,1.0,6.12,0.0,9.02,1.38,1.407,0.1563,-0.2094,0.306
39,93600,40.62,1.0,8.38,0.0,10.8,1.62,1.362,0.2129,0.0082,0.412
40,96000,49.75,1.0,9.62,0.0,12.72,1.5,1.379,0.2153,-0.1657,0.416
41,98400,53.88,1.0,11.5,0.0,13.62,1.62,1.363,0.3682,-0.1586,0.446
42,100800,43.25,1.0,8.25,0.0,10.86,1.38,1.414,0.1909,-0.1487,0.291
43,103200,48.62,1.0,10.12,0.0,12.33,1.62,1.382,0.2667,-0.0597,0.4
44,105600,38.62,1.0,7.38,0.0,10.12,1.38,1.43,0.2052,-0.1463,0.375
45,108000,68.12,1.0,16.62,0.0,17.36,1.88,1.319,0.3984,-0.167,0.373
46,110400,64.62,1.0,16.25,0.0,16.39,1.62,1.406,0.4004,-0.2604,0.649
47,112800,52.62,1.0,13.12,0.0,13.56,1.75,1.4,0.3777,-0.0762,0.404
48,115200,51.38,1.0,12.5,0.0,13.08,1.75,1.414,0.3527,-0.1468,0.322
49,117600,54.75,1.0,12.62,0.0,13.95,1.5,1.465,0.28,-0.2319,0.516
50,120000,52.38,1.0,12.12,0.0,13.19,1.62,1.474,0.2804,-0.1199,0.309
51,122400,33.5,1.0,6.62,0.0,8.64,1.38,1.478,0.1584,0.0623,0.585
52,124800,54.88,1.0,14.88,0.0,14.06,1.75,1.461,0.3749,-0.0102,0.295
53,127200,46.88,1.0,10.25,0.0,12.05,1.5,1.502,0.2768,-0.1373,0.355
54,129600,36.25,1.0,7.12,0.0,9.28,1.38,1.545,0.2122,-0.0966,0.295
55,132000,55.75,1.0,13.88,0.0,14.08,1.62,1.463,0.2573,-0.066,0.323
56,134400,53.5,1.0,13.0,0.0,13.72,1.62,1.49,0.3971,-0.03,0.492
57,136800,52.5,1.0,13.75,0.0,13.34,1.62,1.44,0.2293,0.0562,0.3
58,139200,46.38,1.0,12.25,0.0,11.78,1.62,1.466,0.3034,-0.1264,0.295
59,141600,53.75,1.0,13.25,0.0,13.73,1.62,1.477,0.3394,-0.0601,0.338
60,144000,59.75,1.0,14.5,0.0,15.38,1.5,1.465,0.3796,-0.3498,0.612
61,146400,36.25,1.0,7.0,0.0,9.2,1.25,1.535,0.1556,-0.1437,0.391
62,148800,55.62,1.0,13.12,0.0,14.09,1.5,1.451,0.2723,-0.2633,0.355
63,151200,68.62,1.0,17.88,0.0,17.3,1.88,1.389,0.4457,-0.0549,0.286
64,153600,61.0,1.0,14.5,0.0,15.59,1.5,1.43,0.2111,-0.3814,0.349
65,156000,57.0,1.0,13.5,0.0,14.64,1.62,1.434,0.5001,-0.1236,0.314
66,158400,43.0,1.0,8.25,0.0,10.78,1.38,1.497,0.2652,0.0057,0.318
67,160800,73.0,1.0,17.62,0.0,18.75,1.75,1.373,0.2828,-0.2523,0.289
68,163200,64.62,1.0,14.75,0.0,16.62,1.5,1.426,0.2462,-0.1386,0.329
69,165600,96.0,1.0,26.0,0.0,24.25,2.0,1.289,0.4498,-0.0885,0.469
70,168000,36.62,1.0,6.38,0.0,9.19,1.25,1.526,0.2875,-0.1072,0.289
71,170400,71.5,1.0,16.88,0.0,18.14,1.62,1.411,0.3293,-0.1457,0.475
72,172800,51.5,1.0,12.12,0.0,12.88,1.5,1.437,0.3161,0.029,0.467
73,175200,42.75,1.0,9.12,0.0,10.98,1.38,1.447,0.2509,-0.0011,0.72
74,177600,93.0,1.0,23.62,0.0,23.56,1.75,1.338,0.4099,-0.1685,0.78
75,180000,67.62,1.0,16.25,0.0,16.91,1.5,1.427,0.2349,-0.1756,0.406
76,182400,39.38,1.0,7.75,0.0,9.91,1.25,1.516,0.1966,-0.0917,0.235
77,184800,68.62,1.0,16.38,0.0,17.44,1.62,1.377,0.4812,0.2115,0.397
78,187200,68.75,1.0,16.5,0.0,17.44,1.75,1.365,0.6541,0.1731,0.51
79,189600,28.0,1.0,3.5,0.0,7.16,1.25,1.551,0.1988,0.0389,0.314
80,192000,61.75,1.0,14.12,0.0,15.61,1.5,1.452,0.3708,0.097,0.574
