iter,env_steps,margin,win_rate,my_wood,opp_wood,ep_return,n_trolls,entropy,v_loss,pg_loss,grad_norm
1,2400,-82.75,0.0,1.62,10.12,-20.42,1.38,1.71,1.0111,0.0043,1.863
2,4800,-73.5,0.0,1.38,12.12,-18.28,1.38,1.709,0.9003,0.006,1.632
3,7200,-69.75,0.0,0.62,8.0,-17.34,1.25,1.706,0.6861,0.0019,1.517
4,9600,-60.62,0.0,1.5,6.5,-15.0,1.38,1.703,0.5561,0.0074,1.307
5,12000,-95.88,0.0,1.0,16.75,-23.88,1.38,1.7,1.3221,-0.0043,2.34
6,14400,-85.12,0.0,1.75,15.5,-21.09,1.62,1.695,1.2819,-0.0013,2.261
7,16800,-52.75,0.0,1.62,4.0,-12.92,1.12,1.688,0.3444,-0.0172,1.053
8,19200,-81.0,0.0,1.88,17.0,-20.19,1.5,1.683,1.2644,0.0019,2.166
9,21600,-77.75,0.0,0.75,12.12,-19.34,1.38,1.668,0.9913,0.0059,1.994
10,24000,-73.25,0.0,0.88,11.12,-18.23,1.12,1.65,0.7397,-0.0057,1.723
11,26400,-58.38,0.0,0.12,8.38,-14.53,1.12,1.64,0.5333,0.004,0.979
12,28800,-83.0,0.0,0.5,13.5,-20.67,1.25,1.617,1.0988,0.0035,1.977
13,31200,-71.5,0.0,1.88,14.0,-17.53,1.5,1.593,0.9464,0.0501,1.188
14,33600,-55.0,0.0,1.12,7.5,-13.47,1.5,1.581,0.6043,-0.0249,0.303
15,36000,-67.75,0.0,1.62,13.88,-16.92,1.12,1.578,0.9053,0.0164,0.836
16,38400,-60.62,0.0,2.25,11.38,-15.11,1.5,1.552,0.8086,0.0969,0.537
17,40800,-64.38,0.0,1.62,9.5,-16.0,1.12,1.558,0.8323,-0.0373,0.448
18,43200,-58.62,0.0,2.12,10.25,-14.39,1.75,1.562,0.9797,0.0141,0.65
19,45600,-45.12,0.0,1.38,3.5,-10.88,1.38,1.533,0.5899,0.0097,1.711
20,48000,-56.25,0.0,0.88,8.75,-13.75,1.5,1.542,0.7749,0.0165,0.988
21,50400,-77.12,0.0,0.88,15.12,-18.97,1.5,1.551,1.1257,0.0145,0.632
22,52800,-62.38,0.0,1.75,11.38,-15.45,1.5,1.542,0.9092,0.0395,0.819
23,55200,-51.0,0.0,0.88,8.75,-12.55,1.38,1.542,0.8051,0.0661,1.284
24,57600,-54.25,0.0,0.88,2.88,-13.3,1.25,1.528,0.4995,0.0563,1.386
25,60000,-51.62,0.0,1.38,7.25,-12.44,1.5,1.543,0.6989,0.0079,1.409
26,62400,-69.38,0.0,1.88,11.88,-16.92,1.62,1.559,0.8713,0.0546,0.482
27,64800,-59.0,0.0,2.0,8.5,-14.56,1.62,1.552,0.859,0.0258,0.926
28,67200,-63.75,0.0,2.75,6.5,-15.7,1.5,1.557,0.5881,0.0306,0.739
29,69600,-60.5,0.0,1.75,9.0,-14.7,1.75,1.559,0.7817,0.0303,0.845
30,72000,-58.62,0.0,3.12,7.88,-14.34,1.88,1.562,0.6516,0.022,1.025
31,74400,-70.25,0.0,1.62,13.75,-17.53,1.5,1.592,0.8223,0.0774,0.707
32,76800,-44.25,0.0,1.0,4.0,-10.95,1.12,1.586,0.4089,0.0175,1.111
33,79200,-64.75,0.0,0.75,7.12,-16.05,1.25,1.591,0.5419,0.0257,0.458
34,81600,-69.62,0.0,1.62,11.88,-17.3,1.38,1.602,0.8215,0.0319,0.857
35,84000,-67.0,0.0,1.88,8.5,-16.52,1.38,1.6,0.6582,0.0205,0.589
36,86400,-82.0,0.0,2.0,14.5,-20.39,1.5,1.602,0.9114,0.0023,1.405
37,88800,-80.5,0.0,1.38,14.25,-19.8,1.5,1.6,0.8499,0.0391,1.458
38,91200,-70.75,0.0,1.62,14.0,-17.64,1.38,1.598,0.9898,0.0281,1.128
39,93600,-68.88,0.0,1.75,12.12,-17.03,1.5,1.593,0.8413,0.0576,0.974
40,96000,-58.75,0.0,1.62,7.88,-14.62,1.25,1.582,0.5503,0.0298,0.319
