iter,env_steps,margin,win_rate,my_wood,opp_wood,ep_return,n_trolls,entropy,v_loss,pg_loss,grad_norm
1,2400,-2.88,0.375,14.25,7.75,-0.7,1.38,1.416,1.8753,-0.0236,5.489
2,4800,8.5,0.25,16.62,9.0,2.41,1.62,1.351,1.8619,0.1642,4.301
3,7200,-0.88,0.5,13.75,9.75,-0.19,1.38,1.441,1.3127,-0.131,2.706
4,9600,44.38,0.625,23.75,5.75,11.36,1.75,1.315,1.3162,0.1673,1.904
5,12000,-28.25,0.375,10.88,14.25,-7.03,1.38,1.45,1.5706,-0.1005,3.292
6,14400,-14.5,0.375,15.12,14.5,-3.41,1.62,1.371,1.9627,0.0117,3.075
7,16800,-15.62,0.25,5.12,4.0,-3.86,1.12,1.468,0.4209,-0.0468,0.86
8,19200,-8.0,0.25,14.88,13.25,-1.98,1.62,1.353,1.5465,0.0917,2.274
9,21600,-8.62,0.375,15.0,10.0,-1.97,1.62,1.357,1.4077,0.0546,2.024
10,24000,-27.25,0.25,6.0,10.88,-6.8,1.12,1.441,1.0769,-0.0801,0.732
11,26400,-23.75,0.125,7.75,9.88,-5.89,1.25,1.433,0.9016,-0.0195,0.607
12,28800,-13.0,0.25,13.75,11.5,-3.09,1.5,1.365,1.2159,0.0236,0.905
13,31200,4.0,0.5,19.0,13.25,1.0,1.62,1.354,1.0216,-0.0138,0.941
14,33600,1.25,0.25,11.12,8.38,0.45,1.25,1.387,1.2461,-0.0912,1.854
15,36000,-21.25,0.25,11.38,14.12,-5.14,1.38,1.405,1.3727,-0.057,0.862
16,38400,-6.62,0.5,15.12,12.5,-1.59,1.5,1.38,1.1736,0.0314,1.017
17,40800,-52.5,0.0,2.62,9.75,-13.12,1.12,1.455,1.1227,-0.0344,0.692
18,43200,42.25,0.5,29.0,10.5,10.59,2.0,1.329,1.5286,-0.1612,2.171
19,45600,12.12,0.375,10.5,2.88,3.33,1.25,1.386,1.1052,-0.2141,2.664
20,48000,-4.75,0.25,13.0,9.5,-1.03,1.5,1.387,1.3536,0.0167,1.314
21,50400,-23.12,0.25,13.5,15.75,-5.75,1.5,1.394,1.1829,0.0002,0.88
22,52800,11.62,0.5,20.0,10.38,2.95,1.75,1.371,1.0964,0.0186,1.15
23,55200,7.38,0.375,15.0,8.62,1.97,1.5,1.399,0.9339,0.0155,1.278
24,57600,-4.12,0.25,9.88,3.12,-0.98,1.25,1.398,0.5749,-0.076,1.416
25,60000,8.88,0.375,14.62,9.38,2.36,1.38,1.4,1.1896,-0.1871,1.869
26,62400,32.62,0.5,27.62,12.25,8.3,1.88,1.343,1.1584,-0.0792,1.234
27,64800,24.25,0.75,21.5,9.25,6.11,1.75,1.362,1.0871,-0.1424,1.354
28,67200,37.62,0.625,25.12,6.88,9.56,1.62,1.35,0.833,-0.0885,1.583
29,69600,35.62,0.75,20.88,6.62,9.05,1.75,1.34,0.7994,-0.0219,1.154
30,72000,55.62,0.5,26.5,5.5,14.11,1.75,1.292,0.6957,-0.0408,1.551
31,74400,3.88,0.5,16.5,11.25,1.0,1.62,1.365,0.7352,0.1215,0.902
32,76800,2.0,0.375,6.62,3.12,0.66,1.25,1.418,0.4065,0.0782,0.886
33,79200,-4.5,0.375,13.38,9.0,-1.05,1.38,1.402,0.9297,-0.2321,0.895
